问题: 对金蝶国际 (00268)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close  ema5 ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow   inst_5ma     ind_5ma
2026-07-23  7.18 7.168 6.911  8.409 10.041         0.618         0.2569      Golden          0.77          4,147,600      -6,648,780   -924,150   3,694,660
2026-07-24  6.99 7.108 6.918  8.381 10.011         0.557         0.2016      Golden          0.62         10,431,610     -10,809,890 12,059,114     817,306
2026-07-27  7.18 7.132 6.943  8.357  9.983         0.774         0.1817      Golden          0.78         -2,505,800     -10,342,970 10,358,168   2,608,842
2026-07-28  7.39 7.218 6.986  8.338  9.957         1.584         0.1871      Golden          1.37        -19,526,700     -11,098,700  3,885,382  -1,991,264
2026-07-29  7.94 7.459 7.077  8.330  9.937         1.647         0.2512      Golden          1.57        -36,901,050      52,587,320 -8,870,868   2,737,396
2026-07-30  8.07 7.663 7.171  8.325  9.918         1.327         0.2944      Golden          1.36           -372,590      -8,832,440 -9,774,906   2,300,664
2026-07-31  8.33 7.885 7.282  8.325  9.902         2.287         0.3383      Golden          2.61         47,392,690     125,702,640 -2,382,690  29,603,170
2026-08-03  8.65 8.140 7.412  8.332  9.890         1.225         0.3871      Golden          1.88         11,218,645      75,120,420    362,199  46,695,848
2026-08-04  8.56 8.280 7.521  8.336  9.877         0.892         0.3833      Golden          1.57         43,252,715       6,436,715 12,918,082  50,202,931
2026-08-05  8.78 8.447 7.641  8.345  9.866         0.730         0.3853      Golden          1.31         32,680,515      20,760,395 26,834,395  43,837,546
2026-08-06  8.49 8.461 7.722  8.348  9.852         0.486         0.3250      Golden          0.85          9,659,350       3,123,475 28,840,783  46,228,729
2026-08-07  8.54 8.487 7.800  8.352  9.839         0.669         0.2714      Golden          1.10         12,698,175       6,288,045 21,901,880  22,345,810
2026-08-10  8.76 8.578 7.891  8.360  9.828         0.713         0.2458      Golden          0.96        -14,465,690      19,645,365 16,765,013  11,250,799
2026-08-11  8.99 8.716 7.996  8.372  9.820         1.016         0.2400      Golden          1.18         43,733,095      35,146,430 16,861,089  16,992,742
2026-08-12  8.21 8.547 8.016  8.369  9.804         1.900         0.1173      Golden          2.05         15,934,195      -4,211,840 13,511,825  11,998,295
2026-08-13  7.86 8.318 8.001  8.359  9.785         1.849        -0.0176       Death          2.27         78,625,265       5,764,475 27,305,008  12,526,495
2026-08-14  7.85 8.162 7.987  8.349  9.765         0.901        -0.1096       Death          1.36         -6,564,960      -8,313,815 23,452,381   9,606,123
2026-08-17  7.97 8.098 7.985  8.341  9.748         0.636        -0.1530       Death          0.99         -5,141,780      -6,640,720 25,317,163   4,348,906
2026-08-18  7.76 7.985 7.964  8.330  9.728         0.876        -0.2055       Death          1.37          1,358,765      34,661,990 16,842,297   4,252,018
2026-08-19  7.72 7.897 7.941  8.318  9.708         0.659        -0.2388       Death          1.06          2,498,465     -18,459,480 14,155,151   1,402,490
2026-08-20  8.31 8.035 7.976  8.318  9.694         1.649        -0.1773       Death          2.33         18,241,720     -32,700,185  2,078,442  -6,290,442
2026-08-21  8.25 8.106 8.002  8.316  9.680         0.608        -0.1423       Death          0.86         14,372,160     -33,427,470  6,265,866 -11,313,173
2026-08-24  8.15 8.121 8.016  8.313  9.664         0.645        -0.1303       Death          0.85         -4,088,525       1,152,750  6,476,517  -9,754,479
2026-08-25  8.49 8.244 8.061  8.317  9.653         2.191        -0.0771       Death          2.84         -3,412,395      -9,878,140  5,522,285 -18,662,505
2026-08-26  8.24 8.243 8.078  8.315  9.639         0.933        -0.0759       Death          1.48          1,511,560       2,008,285  5,324,904 -14,568,952
2026-08-27  8.43 8.305 8.112  8.317  9.627         0.737        -0.0510       Death          1.23         25,349,485      21,070,275  6,746,457  -3,814,860
2026-08-28  8.95 8.520 8.192  8.330  9.620         1.809         0.0296      Golden          2.63        139,669,130      43,906,535 31,805,851  11,651,941
2026-08-31  8.66 8.567 8.236  8.336  9.610         5.469         0.0375      Golden          9.89        145,657,485      40,725,270 61,755,053  19,566,445
2026-09-01  8.84 8.658 8.294  8.346  9.603         0.631         0.0593      Golden          2.28          4,763,740      65,895,910 63,390,280  34,721,255
2026-09-02  8.13 8.482 8.278  8.342  9.588         0.444        -0.0250       Death          1.56        -35,059,920     -30,040,870 56,075,984  28,311,424

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:17
