问题: 对中软国际 (00354)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close  ema5 ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow    inst_5ma     ind_5ma
2026-07-23  3.44 3.444 3.281  3.652  4.129         0.353         0.1572      Golden          1.98         -7,257,840     -16,434,800  -6,607,384   7,402,868
2026-07-24  3.26 3.383 3.279  3.645  4.121         0.287         0.1164      Golden          1.69         -2,917,060     -22,828,180  -3,512,664   4,173,608
2026-07-27  3.35 3.372 3.286  3.639  4.113         0.239         0.0970      Golden          1.44         10,970,680      -6,890,380    -276,060  -5,898,532
2026-07-28  3.51 3.418 3.307  3.636  4.107         1.197         0.1007      Golden          4.52         32,376,180       7,778,360   8,588,548  -5,233,204
2026-07-29  3.54 3.459 3.329  3.634  4.102         0.630         0.1018      Golden          1.86         -4,473,600       2,280,140   5,739,672  -7,218,972
2026-07-30  3.69 3.536 3.364  3.636  4.097         1.136         0.1165      Golden          2.61         36,118,040      -6,273,680  14,414,848  -5,186,748
2026-07-31  3.93 3.667 3.418  3.641  4.096         1.695         0.1499      Golden          4.11         30,683,400      55,470,000  21,134,940  10,472,888
2026-08-03  3.78 3.705 3.452  3.644  4.093         0.821         0.1434      Golden          2.39        -14,095,180     -47,400,130  16,121,768   2,370,938
2026-08-04  3.79 3.733 3.484  3.647  4.090         0.347         0.1322      Golden          1.08         -4,061,150      -9,480,020   8,834,302  -1,080,738
2026-08-05  3.76 3.742 3.511  3.649  4.086         1.178         0.1132      Golden          2.84        -11,792,780     -20,758,970   7,370,466  -5,688,560
2026-08-06  3.70 3.728 3.529  3.650  4.082         0.407         0.0863      Golden          1.06         -5,282,580      -7,230,900    -909,658  -5,880,004
2026-08-07  3.62 3.692 3.537  3.650  4.078         0.703         0.0531      Golden          1.61         -3,306,410     -25,139,310  -7,707,620 -22,001,866
2026-08-10  3.56 3.648 3.539  3.648  4.073         0.947         0.0201      Golden          1.70         -8,897,710     -26,362,410  -6,668,126 -17,794,322
2026-08-11  3.46 3.585 3.532  3.644  4.067         0.748        -0.0162       Death          1.24        -28,010,880     -17,358,040 -11,458,072 -19,369,926
2026-08-12  3.52 3.564 3.531  3.642  4.061         0.424        -0.0321       Death          0.72         -3,744,350      -1,069,700  -9,848,386 -15,432,072
2026-08-13  3.48 3.536 3.526  3.638  4.055         0.428        -0.0473       Death          0.54         -5,639,810      -7,461,490  -9,919,832 -15,478,190
2026-08-14  3.48 3.517 3.522  3.635  4.050         0.485        -0.0558       Death          0.56           -586,580      -1,931,800  -9,375,866 -10,836,688
2026-08-17  3.50 3.511 3.520  3.633  4.044         0.632        -0.0572       Death          0.60           -858,840        -925,800  -7,768,092  -5,749,366
2026-08-18  3.50 3.508 3.518  3.630  4.039         4.395        -0.0563       Death          3.22          7,104,990      12,575,960    -744,918     237,434
2026-08-19  3.34 3.452 3.501  3.624  4.032         1.106        -0.0744       Death          1.25         -7,437,500      -5,918,570  -1,483,548    -732,340
2026-08-20  3.44 3.448 3.495  3.621  4.026         0.672        -0.0701       Death          0.83            961,180         289,060    -163,350     817,770
2026-08-21  3.73 3.542 3.517  3.623  4.023         2.154        -0.0276       Death          2.79         39,921,970      22,446,330   7,938,360   5,693,396
2026-08-24  3.80 3.628 3.544  3.626  4.021         0.911         0.0086      Golden          1.58         13,305,030       8,440,140  10,771,134   7,566,584
2026-08-25  3.90 3.719 3.578  3.632  4.020         0.593         0.0429      Golden          1.15          2,703,520         348,420   9,890,840   5,121,076
2026-08-26  3.76 3.732 3.595  3.634  4.017         0.866         0.0433      Golden          1.32         -6,311,930     -20,053,000  10,115,954   2,294,190
2026-08-27  3.76 3.742 3.611  3.637  4.014         0.485         0.0403      Golden          0.74         -5,692,060      -6,206,260   8,785,306     995,126
2026-08-28  3.90 3.794 3.639  3.642  4.013         1.015         0.0531      Golden          1.54          2,160,290       2,435,930   1,232,970  -3,006,954
2026-08-31  3.82 3.803 3.656  3.646  4.011         1.259         0.0469      Golden          1.59          9,556,700     -21,493,080     483,304  -8,993,598
2026-09-01  3.96 3.855 3.685  3.652  4.011         1.380         0.0570      Golden          1.75         29,840,730      -4,724,640   5,910,746 -10,008,210
2026-09-02  3.88 3.864 3.703  3.656  4.010         1.160         0.0488      Golden          1.61         -2,591,510     -25,056,270   6,654,830 -11,008,864

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:17
