问题: 对腾讯控股 (00700)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date  close    ema5   ema20  ema100  ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow     inst_5ma      ind_5ma
2026-07-23 445.20 456.060 456.188 479.380 503.967         0.579        -1.5441       Death          0.25        263,924,480    -401,947,780 -612,763,492 -490,298,076
2026-07-24 434.60 448.907 454.132 478.493 503.277         0.646        -4.6794       Death          0.25        296,923,940    -158,218,180 -379,225,808 -370,761,248
2026-07-27 443.00 446.938 453.072 477.790 502.677         0.440        -5.3909       Death          0.16        103,204,540     358,301,160 -445,367,236 -284,474,028
2026-07-28 447.20 447.025 452.513 477.184 502.125         0.613        -5.0698       Death          0.20        395,204,240     144,588,540 -332,867,788 -128,901,792
2026-07-29 466.40 453.484 453.835 476.971 501.770         1.250        -2.1922       Death          0.40      1,701,327,680     963,451,760  552,116,976  181,235,100
2026-07-30 471.80 459.589 455.546 476.868 501.472         1.386         0.3806      Golden          0.35        829,773,240     519,087,500  665,286,728  365,442,156
2026-07-31 475.20 464.793 457.418 476.835 501.210         1.259         2.3713      Golden          0.34        469,399,880   1,294,444,020  699,781,916  655,974,596
2026-08-03 490.40 473.328 460.559 477.104 501.103         1.467         5.3935      Golden          0.43      1,342,379,580   1,717,251,080  947,616,924  927,764,580
2026-08-04 487.60 478.086 463.135 477.312 500.968         0.797         6.5940      Golden          0.27       -235,779,340     -18,149,300  821,420,208  895,217,012
2026-08-05 492.20 482.790 465.903 477.607 500.881         0.789         7.5194      Golden          0.28        426,151,920    -778,789,600  566,385,056  546,768,740
2026-08-06 479.20 481.594 467.169 477.638 500.665         0.717         5.9602      Golden          0.24        271,158,260  -1,636,182,780  454,662,060  115,714,684
2026-08-07 478.80 480.662 468.277 477.661 500.448         0.574         4.5201      Golden          0.18         21,180,340    -593,090,520  365,018,152 -261,792,224
2026-08-10 481.40 480.908 469.527 477.735 500.258         0.609         3.6027      Golden          0.17        481,248,200      39,490,500  192,791,876 -597,344,340
2026-08-11 470.80 477.539 469.648 477.598 499.965         0.939         1.3681      Golden          0.22        673,789,000    -495,567,240  374,705,544 -692,827,928
2026-08-12 461.60 472.226 468.881 477.281 499.583         1.396        -1.3995       Death          0.30        310,838,720     143,531,020  351,642,904 -508,363,804
2026-08-13 441.00 461.817 466.226 476.563 499.001         3.295        -5.8078       Death          0.73     -3,459,109,660   1,050,747,020 -394,410,680   29,022,156
2026-08-14 440.00 454.545 463.728 475.839 498.413         1.052        -8.4986       Death          0.34         77,220,200     319,912,000 -383,202,708  211,622,660
2026-08-17 446.40 451.830 462.078 475.256 497.896         0.621        -9.0079       Death          0.22        -32,441,060     662,137,160 -485,940,560  336,151,992
2026-08-18 442.40 448.687 460.204 474.605 497.344         0.708        -9.4301       Death          0.26       -551,503,960    -554,622,740 -730,999,152  324,340,892
2026-08-19 447.20 448.191 458.965 474.062 496.845         0.590        -8.6309       Death          0.22        372,424,580     563,468,700 -718,681,980  408,328,428
2026-08-20 451.40 449.261 458.245 473.614 496.393         0.614        -7.1649       Death          0.22        251,656,620      98,392,080   23,471,276  217,857,440
2026-08-21 457.00 451.840 458.126 473.285 496.001         0.987        -5.1628       Death          0.24        -56,669,720     248,430,260   -3,306,708  203,561,092
2026-08-24 440.00 447.894 456.400 472.625 495.443         1.392        -5.8025       Death          0.32       -173,913,940     409,743,520  -31,601,284  153,082,364
2026-08-25 442.00 445.929 455.029 472.019 494.912         0.571        -5.6261       Death          0.14         79,931,660     -65,493,400   94,685,840  250,908,232
2026-08-26 445.40 445.753 454.112 471.492 494.419         0.704        -4.7560       Death          0.16        168,921,640     209,481,920   53,985,252  180,110,876
2026-08-27 447.80 446.435 453.511 471.023 493.955         0.581        -3.6135       Death          0.13        180,045,660     -12,050,980   39,663,060  158,022,264
2026-08-28 455.20 449.357 453.671 470.709 493.569         1.530        -1.7137       Death          0.30      1,376,518,700     235,106,760  326,300,744  155,357,564
2026-08-31 453.00 450.571 453.607 470.359 493.166         1.049        -0.6603       Death          0.22        316,142,660     463,627,760  424,312,064  166,134,412
2026-09-01 441.40 447.514 452.445 469.785 492.651         1.165        -1.3908       Death          0.22       -636,038,580     -85,592,980  281,118,016  162,114,496
2026-09-02 438.20 444.409 451.088 469.160 492.109         1.131        -2.1258       Death          0.23       -384,399,800     193,885,480  170,453,728  158,995,208

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:18
