问题: 对中国铁塔 (00788)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close  ema5 ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow   inst_5ma     ind_5ma
2026-07-23  9.83 9.631 9.404 10.030 10.365         1.017         0.2327      Golden          0.26         11,331,570      23,494,535  8,721,961   2,912,994
2026-07-24  9.60 9.620 9.423 10.021 10.357         0.612         0.2032      Golden          0.16          3,191,280      -7,745,610  7,994,928   3,208,731
2026-07-27  9.64 9.627 9.444 10.014 10.350         1.023         0.1804      Golden          0.23         -7,985,615      -1,033,885  3,558,580   3,975,321
2026-07-28  9.78 9.678 9.476 10.009 10.344         0.926         0.1754      Golden          0.20          1,467,405      20,244,525  3,065,516   7,594,277
2026-07-29  9.90 9.752 9.516 10.007 10.340         1.026         0.1789      Golden          0.22           -108,330      11,114,315  1,579,262   9,214,776
2026-07-30 10.05 9.851 9.567 10.008 10.337         1.060         0.1910      Golden          0.23          6,823,260       1,204,705    677,600   4,756,810
2026-07-31 10.03 9.911 9.611 10.008 10.334         4.411         0.1856      Golden          0.91        -20,746,670     -12,909,455 -4,109,990   3,724,041
2026-08-03 10.00 9.941 9.648 10.008 10.331         0.829         0.1679      Golden          0.30         14,400,548      -7,865,058    367,242   2,357,806
2026-08-04  9.88 9.920 9.670 10.006 10.326         0.843         0.1315      Golden          0.31         -6,344,218       1,046,985 -1,195,082  -1,481,702
2026-08-05  9.96 9.934 9.698 10.005 10.322         0.779         0.1106      Golden          0.31          2,752,978      -2,723,488   -622,820  -4,249,262
2026-08-06  9.80 9.889 9.707 10.001 10.317         0.652         0.0695      Golden          0.27         11,424,010      -3,231,182    297,330  -5,136,440
2026-08-07  9.74 9.839 9.711  9.995 10.312         0.604         0.0306      Golden          0.25            789,710       8,224,690  4,604,606    -909,610
2026-08-10  9.74 9.806 9.713  9.990 10.306         0.573         0.0027      Golden          0.16         -3,174,905       7,096,992  1,089,515   2,082,800
2026-08-11  9.72 9.778 9.714  9.985 10.300         1.092        -0.0195       Death          0.29         11,475,598       6,595,745  4,653,478   3,192,552
2026-08-12  9.32 9.625 9.676  9.972 10.290         4.114        -0.0853       Death          1.05        -20,532,580      51,807,645     -3,634  14,098,778
2026-08-13  9.32 9.523 9.643  9.959 10.281         1.170        -0.1238       Death          0.47         16,662,492      -2,545,198  1,044,063  14,235,975
2026-08-14  9.30 9.449 9.610  9.946 10.271         0.746        -0.1454       Death          0.33         40,240,448     -21,206,468  8,934,210   8,349,744
2026-08-17  9.44 9.446 9.594  9.936 10.263         1.053        -0.1345       Death          0.49         -2,310,182     -22,709,720  9,107,155   2,388,401
2026-08-18  9.32 9.404 9.568  9.924 10.253         0.702        -0.1368       Death          0.37         36,086,995     -19,788,935 14,029,434  -2,888,535
2026-08-19  9.21 9.339 9.534  9.910 10.243         1.559        -0.1455       Death          0.85        -21,053,360     -47,986,048 13,925,278 -22,847,274
2026-08-20  9.20 9.293 9.502  9.895 10.232         0.335        -0.1448       Death          0.17          3,712,205      -7,985,478 11,335,221 -23,935,330
2026-08-21  9.35 9.312 9.487  9.885 10.224         0.494        -0.1174       Death          0.22         36,320,342       1,032,520 10,551,200 -19,487,532
2026-08-24  9.35 9.325 9.474  9.874 10.215         0.663        -0.0937       Death          0.28         47,378,525      -9,498,065 20,488,942 -16,845,201
2026-08-25  9.26 9.303 9.454  9.862 10.205         0.760        -0.0847       Death          0.29         21,531,548      -8,638,545 17,577,852 -14,615,123
2026-08-26  9.25 9.285 9.434  9.850 10.196         0.983        -0.0750       Death          0.35        -13,402,435     -22,940,770 19,108,037  -9,606,068
2026-08-27  9.18 9.250 9.410  9.837 10.186         0.735        -0.0729       Death          0.19         -7,351,415      -3,694,475 16,895,313  -8,747,867
2026-08-28  9.14 9.214 9.384  9.823 10.175         0.680        -0.0717       Death          0.18           -283,472      -5,055,160  9,574,550  -9,965,403
2026-08-31  9.12 9.182 9.359  9.809 10.165         1.819        -0.0684       Death          0.47         24,916,305     -18,855,040  5,082,106 -11,836,798
2026-09-01  9.18 9.182 9.342  9.796 10.155         1.450        -0.0535       Death          0.43          7,683,315      -2,499,260  2,312,460 -10,608,941
2026-09-02  9.15 9.171 9.324  9.784 10.145         1.150        -0.0436       Death          0.37         16,936,328      11,767,572  8,380,212  -3,667,272

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:17
