问题: 对石药集团 (01093)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close  ema5 ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow    inst_5ma      ind_5ma
2026-07-23  8.37 8.370 7.996  8.014  8.088         0.308         0.0886      Golden          0.26         25,010,620      34,620,640  10,474,056   44,514,928
2026-07-24  8.55 8.430 8.048  8.025  8.092         1.786         0.0797      Golden          1.18         96,042,740      72,445,620  24,609,968   83,349,328
2026-07-27  8.30 8.386 8.072  8.030  8.094         1.047         0.0332      Golden          0.68         25,706,620      -4,524,320  27,759,144   56,245,556
2026-07-28  8.49 8.421 8.112  8.040  8.098         0.979         0.0215      Golden          0.62         47,138,100      58,774,480  34,968,692   49,721,952
2026-07-29  8.76 8.534 8.174  8.054  8.105         1.231         0.0425      Golden          0.82        -25,806,620      99,778,500  33,618,292   52,218,984
2026-07-30  8.55 8.539 8.210  8.064  8.109         0.948         0.0215      Golden          0.67         40,335,140     -22,010,400  36,683,196   40,892,776
2026-07-31  8.58 8.553 8.245  8.074  8.114         0.608         0.0059      Golden          0.48         21,208,440     -38,657,240  21,716,336   18,672,204
2026-08-03  8.46 8.522 8.265  8.082  8.118         0.698        -0.0247       Death          0.46          6,281,430      19,871,100  17,831,298   23,551,288
2026-08-04  8.48 8.508 8.286  8.089  8.121         0.777        -0.0452       Death          0.47          3,047,660      34,645,140   9,013,210   18,725,420
2026-08-05  8.38 8.465 8.295  8.095  8.124         1.114        -0.0734       Death          0.65         25,254,650     -66,588,140  19,225,464  -14,547,908
2026-08-06  8.50 8.477 8.314  8.103  8.127         0.874        -0.0768       Death          0.48            688,170      69,059,310  11,296,070    3,666,034
2026-08-07  8.69 8.548 8.350  8.115  8.133         1.302        -0.0553       Death          0.66         50,892,890      80,183,260  17,232,960   27,434,134
2026-08-10  8.62 8.572 8.376  8.125  8.138         1.381        -0.0525       Death          0.75          7,100,170     -60,748,490  17,396,708   11,310,216
2026-08-11  8.70 8.615 8.407  8.136  8.143         1.041        -0.0421       Death          0.63         17,723,810      37,268,220  20,331,938   11,834,832
2026-08-12  8.68 8.636 8.433  8.147  8.149         0.699        -0.0404       Death          0.44           -952,630      17,562,820  15,090,482   28,665,024
2026-08-13  8.85 8.708 8.472  8.161  8.156         1.551        -0.0197       Death          0.92         41,820,730     112,010,600  23,316,994   37,255,282
2026-08-14  8.69 8.702 8.493  8.171  8.161         0.503        -0.0303       Death          0.34         -4,635,940     -28,032,740  12,211,228   15,612,082
2026-08-17  8.76 8.721 8.519  8.183  8.167         0.993        -0.0306       Death          0.61         30,243,350      28,073,190  16,839,864   33,376,418
2026-08-18  8.80 8.747 8.545  8.195  8.173         0.729        -0.0281       Death          0.43         28,604,650      18,760,680  19,016,032   29,674,910
2026-08-19  8.68 8.725 8.558  8.205  8.178         1.066        -0.0444       Death          0.58        -63,836,130     -64,899,530   6,439,332   13,182,440
2026-08-20  9.52 8.990 8.650  8.231  8.192         6.617         0.0510      Golden          3.82        446,822,800    -238,793,060  87,439,746  -56,978,292
2026-08-21  9.19 9.057 8.701  8.250  8.202         1.016         0.0620      Golden          1.18         57,347,040     -73,053,620  99,836,342  -65,982,468
2026-08-24  9.40 9.171 8.768  8.273  8.214         0.929         0.0883      Golden          1.23        -16,310,630      32,939,200  90,525,546  -65,009,266
2026-08-25  9.41 9.251 8.829  8.295  8.226         0.760         0.0971      Golden          1.10         -6,070,600    -223,215,370  83,590,496 -113,404,476
2026-08-26  9.52 9.340 8.895  8.319  8.238         1.045         0.1070      Golden          1.65        -40,819,970     -59,755,960  88,193,728 -112,375,762
2026-08-27  9.68 9.454 8.970  8.346  8.253         0.589         0.1231      Golden          1.06         24,889,390     -76,749,010   3,807,046  -79,966,952
2026-08-28  9.53 9.479 9.023  8.370  8.265         0.520         0.1026      Golden          0.65        -56,899,560     -72,851,730 -19,042,274  -79,926,574
2026-08-31  9.24 9.399 9.044  8.387  8.275         1.042         0.0419      Golden          1.18        -51,705,070    -127,721,220 -26,121,162 -112,058,658
2026-09-01  9.23 9.343 9.061  8.404  8.285         0.458        -0.0050       Death          0.52         19,426,920      14,845,590 -21,021,658  -64,446,466
2026-09-02  9.17 9.285 9.072  8.419  8.293         0.565        -0.0472       Death          0.57         26,237,590         386,380  -7,610,146  -52,417,998

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:18
