问题: 对中生制药 (01177)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close  ema5 ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow    inst_5ma     ind_5ma
2026-07-23  5.19 5.194 5.002  5.330  5.615         0.455         0.0799      Golden          0.28        -15,086,310      10,369,810  15,933,792  22,342,774
2026-07-24  5.15 5.180 5.016  5.326  5.610         0.531         0.0556      Golden          0.29         -3,220,480      20,442,290  19,859,208  47,725,914
2026-07-27  5.09 5.150 5.023  5.322  5.605         0.362         0.0282      Golden          0.16        -13,792,290      -7,822,230  11,253,006  36,563,024
2026-07-28  5.09 5.130 5.030  5.317  5.600         0.495         0.0077      Golden          0.20         -3,314,230       1,579,110   8,157,368  34,469,986
2026-07-29  5.23 5.163 5.049  5.315  5.596         1.005         0.0105      Golden          0.34          9,870,850      45,889,020  -5,108,492  14,091,600
2026-07-30  5.06 5.129 5.050  5.310  5.591         2.260        -0.0118       Death          0.57        -24,457,870     -51,206,940  -6,982,804   1,776,250
2026-07-31  5.03 5.096 5.048  5.305  5.585         1.050        -0.0308       Death          0.33        -15,432,060     -21,898,380  -9,425,120  -6,691,884
2026-08-03  4.94 5.044 5.038  5.298  5.579         0.969        -0.0543       Death          0.31        -10,532,360     -38,990,285  -8,773,134 -12,925,495
2026-08-04  4.94 5.009 5.028  5.290  5.573         0.736        -0.0678       Death          0.26          3,344,530     -30,164,630  -7,441,382 -19,274,243
2026-08-05  4.88 4.966 5.014  5.282  5.566         0.878        -0.0818       Death          0.32           -640,505     -32,678,440  -9,543,653 -34,987,735
2026-08-06  4.93 4.954 5.006  5.275  5.559         1.008        -0.0812       Death          0.36         12,684,550         706,025  -2,115,169 -24,605,142
2026-08-07  5.10 5.003 5.015  5.272  5.555         1.500        -0.0560       Death          0.47         52,659,870      66,594,000  11,503,217  -6,906,666
2026-08-10  5.05 5.018 5.018  5.268  5.550         1.343        -0.0445       Death          0.46          2,543,540      23,394,155  14,118,397   5,570,222
2026-08-11  5.00 5.012 5.017  5.262  5.544         1.136        -0.0423       Death          0.43         13,554,300     -23,985,330  16,160,351   6,806,082
2026-08-12  4.92 4.982 5.008  5.255  5.538         0.673        -0.0496       Death          0.27          9,404,205     -13,846,600  18,169,293  10,572,450
2026-08-13  4.87 4.944 4.994  5.248  5.531         0.953        -0.0586       Death          0.38         21,372,235      -7,977,685  19,906,830   8,835,708
2026-08-14  4.78 4.890 4.974  5.239  5.524         0.601        -0.0732       Death          0.24          5,947,290     -20,137,310  10,564,314  -8,510,554
2026-08-17  4.81 4.863 4.958  5.230  5.517         0.656        -0.0750       Death          0.24        -15,445,930      16,707,860   6,966,420  -9,847,813
2026-08-18  4.80 4.842 4.943  5.222  5.510         0.805        -0.0737       Death          0.25         14,545,060      17,214,800   7,164,572  -1,607,787
2026-08-19  4.79 4.825 4.929  5.213  5.503         0.925        -0.0702       Death          0.26          3,118,305     -18,577,685   5,907,392  -2,554,004
2026-08-20  5.39 5.013 4.973  5.217  5.501         7.489         0.0123      Golden          2.05        118,910,890      58,769,895  25,415,123  10,795,512
2026-08-21  5.60 5.209 5.032  5.224  5.502         1.260         0.0904      Golden          0.76         25,885,205      18,724,315  29,402,706  18,567,837
2026-08-24  5.58 5.333 5.085  5.231  5.503         0.710         0.1319      Golden          0.50        -17,649,615      41,536,225  28,961,969  23,533,510
2026-08-25  5.62 5.428 5.136  5.239  5.504         0.514         0.1558      Golden          0.39        -18,702,820       7,527,755  22,312,393  21,596,101
2026-08-26  5.74 5.532 5.193  5.249  5.507         1.218         0.1771      Golden          0.97        -40,381,370     -14,945,525  13,612,458  22,322,533
2026-08-27  5.64 5.568 5.236  5.257  5.508         0.429         0.1673      Golden          0.40          2,711,950     -34,342,070  -9,627,330   3,700,140
2026-08-28  5.60 5.579 5.270  5.263  5.509         0.464         0.1458      Golden          0.28         13,836,460     -11,767,790 -12,037,079  -2,398,281
2026-08-31  5.45 5.536 5.287  5.267  5.508         0.976         0.1037      Golden          0.50         21,293,970      42,911,310  -4,248,362  -2,123,264
2026-09-01  5.26 5.444 5.285  5.267  5.506         0.700         0.0455      Golden          0.36         26,775,890     -34,565,420   4,847,380 -10,541,899
2026-09-02  5.26 5.383 5.282  5.267  5.503         0.439         0.0044      Golden          0.22         18,810,560       1,907,490  16,685,766  -7,171,296

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:18
