问题: 对锦鑫生殖 (01951)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close  ema5 ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow   inst_5ma    ind_5ma
2026-07-23  2.23 2.209 2.147  2.242  2.372         0.442         0.0429      Golden          0.32         -2,075,770      -1,699,865 -2,605,926 -2,040,629
2026-07-24  2.21 2.209 2.153  2.241  2.371         0.570         0.0365      Golden          0.25         -1,219,245      -1,616,540 -2,362,904 -1,412,169
2026-07-27  2.21 2.210 2.159  2.241  2.369         0.382         0.0304      Golden          0.14             68,875         265,615 -1,876,287 -1,071,352
2026-07-28  2.23 2.216 2.165  2.241  2.368         0.439         0.0273      Golden          0.14              9,305        -202,975   -622,436   -595,484
2026-07-29  2.25 2.228 2.174  2.241  2.367         0.688         0.0262      Golden          0.18          1,086,125      -1,233,605   -426,142   -897,474
2026-07-30  2.21 2.222 2.177  2.240  2.365         1.493         0.0187      Golden          0.31           -689,345      -4,449,205   -148,857 -1,447,342
2026-07-31  2.17 2.204 2.176  2.239  2.363         2.216         0.0075      Golden          0.45         -5,789,690      -4,988,315 -1,062,946 -2,121,697
2026-08-03  2.22 2.210 2.180  2.238  2.362         0.917         0.0061      Golden          0.22            695,045       1,434,562   -937,712 -1,887,908
2026-08-04  2.17 2.196 2.179  2.237  2.360         0.888        -0.0019       Death          0.23           -652,228      -1,638,642 -1,070,018 -2,175,041
2026-08-05  2.18 2.191 2.180  2.236  2.358         0.639        -0.0060       Death          0.18                           -389,852 -1,287,244 -2,006,290
2026-08-06  2.17 2.184 2.179  2.235  2.356         1.199        -0.0099       Death          0.33          2,047,042        -384,105   -739,966 -1,193,270
2026-08-07  2.21 2.193 2.182  2.234  2.355         1.102        -0.0071       Death          0.31          2,530,948         972,320    924,162     -1,144
2026-08-10  2.16 2.182 2.180  2.233  2.353         2.214        -0.0117       Death          0.56         -1,675,618      -2,760,448    450,029   -840,146
2026-08-11  2.14 2.168 2.176  2.231  2.351         1.391        -0.0169       Death          0.45           -750,075       2,631,228    430,460     13,828
2026-08-12  2.12 2.152 2.170  2.229  2.348         1.273        -0.0221       Death          0.47         -3,135,740      -3,930,298   -196,688   -694,260
2026-08-13  2.11 2.138 2.165  2.226  2.346         1.286        -0.0257       Death          0.55          3,102,880      -1,436,882     14,479   -904,816
2026-08-14  2.08 2.119 2.157  2.223  2.343         1.519        -0.0307       Death          0.71         -4,634,938      -6,477,205 -1,418,698 -2,394,721
2026-08-17  2.12 2.119 2.153  2.221  2.341         0.803        -0.0272       Death          0.44          3,410,435         790,912   -401,488 -1,684,449
2026-08-18  2.08 2.106 2.146  2.219  2.338         0.774        -0.0287       Death          0.40           -660,438      -2,207,502   -383,560 -2,652,195
2026-08-19  2.09 2.101 2.141  2.216  2.336         0.708        -0.0269       Death          0.36          1,003,940      -1,178,385    444,376 -2,101,812
2026-08-20  2.14 2.114 2.141  2.215  2.334         1.210        -0.0179       Death          0.60          7,584,058       1,306,365  1,340,612 -1,553,163
2026-08-21  2.23 2.153 2.149  2.215  2.333         1.288         0.0003      Golden          0.65          6,479,302       5,595,662  3,563,460    861,410
2026-08-24  2.24 2.182 2.158  2.215  2.332         1.603         0.0130      Golden          0.79          4,552,445       2,187,545  3,791,862  1,140,737
2026-08-25  2.26 2.208 2.168  2.216  2.331         1.439         0.0230      Golden          0.80          2,594,625       1,468,670  4,442,874  1,875,972
2026-08-26  2.35 2.255 2.185  2.219  2.332         2.907         0.0395      Golden          1.86         17,017,395       2,539,825  7,645,565  2,619,614
2026-08-27  2.28 2.263 2.194  2.220  2.331         0.885         0.0388      Golden          0.83         -1,129,618      -1,780,568  5,902,830  2,002,227
2026-08-28  2.27 2.266 2.201  2.221  2.330         0.593         0.0349      Golden          0.58         -1,436,570      -1,320,420  4,319,656    619,010
2026-08-31  2.22 2.250 2.203  2.221  2.329         0.709         0.0240      Golden          0.69          1,281,172       4,184,612  3,665,401  1,018,424
2026-09-01  2.23 2.244 2.206  2.221  2.328         0.526         0.0169      Golden          0.50          3,796,708       2,480,018  3,905,818  1,220,694
2026-09-02  2.17 2.219 2.202  2.220  2.327         0.596         0.0036      Golden          0.53          2,459,762       3,378,470    994,291  1,388,422

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:17
