问题: 对港股万科企业 (02202)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close  ema5 ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow   inst_5ma    ind_5ma
2026-07-23  2.48 2.435 2.402  2.848  3.396         0.783         0.0680      Golden          0.92          4,349,220       4,669,503 -1,516,850  1,977,635
2026-07-24  2.41 2.427 2.403  2.839  3.386         0.443         0.0577      Golden          0.44         -4,746,455      -5,018,330 -1,286,650   -962,247
2026-07-27  2.39 2.415 2.402  2.830  3.376         0.585         0.0465      Golden          0.42           -812,703        -476,924 -1,070,338   -857,127
2026-07-28  2.40 2.410 2.402  2.822  3.366         0.736         0.0391      Golden          0.51         -3,180,905          91,664 -1,426,388   -357,928
2026-07-29  2.48 2.433 2.409  2.815  3.358         1.711         0.0432      Golden          1.12          2,010,715       5,923,197   -476,026  1,037,822
2026-07-30  2.47 2.445 2.415  2.808  3.349         0.873         0.0428      Golden          0.60         -2,432,819      -1,782,616 -1,832,433   -252,602
2026-07-31  2.48 2.457 2.421  2.802  3.340         1.135         0.0421      Golden          0.70         -1,067,086       3,019,068 -1,096,560  1,354,878
2026-08-03  2.52 2.478 2.431  2.796  3.332         0.768         0.0448      Golden          0.51          1,842,932      -1,669,000   -565,432  1,116,463
2026-08-04  2.46 2.472 2.433  2.790  3.323         1.196         0.0368      Golden          0.82         -7,400,989      -7,317,768 -1,409,449   -365,424
2026-08-05  2.51 2.485 2.441  2.784  3.315         0.908         0.0364      Golden          0.68          5,286,846       4,105,572   -754,223   -728,949
2026-08-06  2.49 2.486 2.445  2.778  3.307         1.310         0.0318      Golden          0.87          1,119,083        -606,074    -43,843   -493,640
2026-08-07  2.50 2.491 2.451  2.773  3.299         0.897         0.0285      Golden          0.64         -1,459,721         159,195   -122,370 -1,065,615
2026-08-10  2.52 2.501 2.457  2.768  3.291         1.299         0.0275      Golden          0.92         -4,362,598      -2,653,148 -1,363,476 -1,262,445
2026-08-11  2.44 2.480 2.456  2.761  3.283         0.908         0.0151      Golden          0.71         -4,493,790      -5,439,516   -782,036   -886,794
2026-08-12  2.53 2.497 2.463  2.757  3.275         1.735         0.0178      Golden          1.33          2,117,942       3,992,096 -1,415,817   -909,490
2026-08-13  2.46 2.485 2.462  2.751  3.267         1.251         0.0095      Golden          1.12         -8,264,543      -1,847,618 -3,292,542 -1,157,798
2026-08-14  2.42 2.463 2.458  2.744  3.259         0.711        -0.0015       Death          0.67            174,132         671,550 -2,965,772 -1,055,328
2026-08-17  2.40 2.442 2.453  2.737  3.250         0.383        -0.0111       Death          0.36          1,241,185        -774,118 -1,845,015   -679,522
2026-08-18  2.38 2.421 2.446  2.730  3.242         0.579        -0.0193       Death          0.48         -1,873,826      -2,379,590 -1,321,022    -67,536
2026-08-19  2.37 2.404 2.439  2.723  3.233         0.894        -0.0248       Death          0.71            413,119         597,042 -1,661,987   -746,547
2026-08-20  2.44 2.416 2.439  2.718  3.225         1.822        -0.0181       Death          1.22          5,751,138       8,733,001  1,141,150  1,369,577
2026-08-21  2.44 2.424 2.439  2.712  3.217         0.607        -0.0130       Death          0.42          1,346,432         400,202  1,375,610  1,315,308
2026-08-24  2.36 2.403 2.431  2.705  3.209         0.840        -0.0193       Death          0.54         -3,167,954      -1,674,698    493,782  1,135,192
2026-08-25  2.42 2.408 2.430  2.699  3.201         1.454        -0.0146       Death          0.98          3,065,631       4,269,070  1,481,673  2,464,924
2026-08-26  2.44 2.419 2.431  2.694  3.193         0.893        -0.0083       Death          0.69          2,431,275       7,491,449  1,885,304  3,843,805
2026-08-27  2.43 2.423 2.431  2.689  3.186         0.598        -0.0050       Death          0.46         -1,029,953        -502,482    529,086  1,996,708
2026-08-28  2.49 2.445 2.437  2.685  3.179         2.000         0.0050      Golden          1.23          2,983,662         988,174    856,532  2,114,302
2026-08-31  2.40 2.430 2.433  2.679  3.171         3.948        -0.0004       Death          3.08        -10,517,328       6,601,673   -613,342  3,769,577
2026-09-01  2.37 2.410 2.427  2.673  3.163         0.889        -0.0074       Death          1.15          5,798,724      -3,951,672    -66,724  2,125,428
2026-09-02  2.33 2.383 2.418  2.667  3.155         0.597        -0.0165       Death          0.79         -1,495,648       1,897,517   -852,108  1,006,642

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:17
