问题: 对港股万物云 (02602)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close   ema5  ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow  inst_5ma   ind_5ma
2026-07-23 17.49 17.558 17.512 17.762 18.406         0.636         0.0802      Golden          0.05            681,140       2,095,161  -415,490 1,611,657
2026-07-24 17.20 17.439 17.482 17.751 18.394         0.450         0.0173      Golden          0.03           -278,518         627,990  -409,510 1,475,338
2026-07-27 16.41 17.096 17.380 17.725 18.375         4.499        -0.1237       Death          0.30             -5,410        -586,472   -35,970   879,660
2026-07-28 16.50 16.897 17.296 17.700 18.356         0.312        -0.1936       Death          0.03            486,197        -211,975   -11,205   432,395
2026-07-29 16.76 16.852 17.245 17.682 18.340         0.894        -0.1932       Death          0.08          4,838,269       2,407,677 1,144,336   866,476
2026-07-30 16.71 16.804 17.194 17.663 18.324         0.773        -0.1879       Death          0.08             74,692         414,778 1,023,046   530,400
2026-07-31 16.90 16.836 17.166 17.648 18.310         0.667        -0.1486       Death          0.07          2,726,398         -79,697 1,624,029   388,862
2026-08-03 17.20 16.957 17.169 17.639 18.299         0.384        -0.0759       Death          0.04            300,825       2,628,235 1,685,276 1,031,804
2026-08-04 17.01 16.975 17.154 17.626 18.286         0.621        -0.0483       Death          0.04           -358,176         146,173 1,516,402 1,103,433
2026-08-05 17.10 17.017 17.149 17.616 18.274         0.765        -0.0145       Death          0.05           -747,869       2,161,519   399,174 1,054,202
2026-08-06 17.04 17.024 17.139 17.604 18.262         1.087         0.0021      Golden          0.06         -1,175,382          10,912   149,159   973,428
2026-08-07 17.21 17.086 17.145 17.597 18.251         0.808         0.0366      Golden          0.04             30,717         989,125  -389,977 1,187,193
2026-08-10 17.92 17.364 17.219 17.603 18.248         1.283         0.1492      Golden          0.06            724,120         440,798  -305,318   749,705
2026-08-11 17.64 17.456 17.259 17.604 18.242         0.854         0.1782      Golden          0.04            181,455          75,000  -197,392   735,471
2026-08-12 18.20 17.704 17.349 17.616 18.242         1.364         0.2602      Golden          0.07          2,351,342       3,801,112   422,450 1,063,389
2026-08-13 17.88 17.763 17.399 17.621 18.238         0.721         0.2580      Golden          0.04          1,262,400        -501,507   910,007   960,906
2026-08-14 18.15 17.892 17.471 17.631 18.237         2.377         0.2780      Golden          0.12         -2,592,047         844,768   385,454   932,034
2026-08-17 18.02 17.935 17.523 17.639 18.235         0.641         0.2592      Golden          0.04            384,362         679,092   317,502   979,693
2026-08-18 18.16 18.010 17.584 17.649 18.234         1.313         0.2508      Golden          0.08          1,190,704         449,798   519,352 1,054,653
2026-08-19 17.90 17.973 17.614 17.654 18.231         0.506         0.1979      Golden          0.04           -544,705        -304,272   -59,857   233,576
2026-08-20 17.92 17.955 17.643 17.659 18.228         1.245         0.1550      Golden          0.08          1,314,516        -880,719   -49,434   157,733
2026-08-21 17.95 17.954 17.672 17.665 18.225         0.453         0.1217      Golden          0.03            132,708         335,923   495,517    55,964
2026-08-24 18.10 18.002 17.713 17.674 18.224         0.370         0.1111      Golden          0.02                          1,016,633   418,645   123,473
2026-08-25 18.55 18.185 17.793 17.691 18.227         1.702         0.1533      Golden          0.08         -2,159,071        -494,817  -251,310   -65,450
2026-08-26 19.10 18.490 17.917 17.719 18.236         2.990         0.2389      Golden          0.15            577,870        -253,589   -26,795   -55,314
2026-08-27 19.18 18.720 18.038 17.748 18.245         1.315         0.2866      Golden          0.10          1,634,796        -625,040    37,261    -4,178
2026-08-28 19.43 18.957 18.170 17.781 18.257         1.197         0.3291      Golden          0.09           -108,099         360,034   -10,901       644
2026-08-31 19.13 19.014 18.262 17.808 18.266         1.782         0.2952      Golden          0.16         -2,557,334       3,513,640  -522,368   500,046
2026-09-01 19.65 19.226 18.394 17.845 18.279         1.022         0.3191      Golden          0.12          1,179,779       3,345,348   145,402 1,268,079
2026-09-02 19.45 19.301 18.494 17.876 18.291         0.468         0.2855      Golden          0.06            427,271       1,320,834   115,283 1,582,963

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:18
