问题: 对国泰海通 (02611)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close   ema5  ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow   inst_5ma     ind_5ma
2026-07-23 15.28 15.077 14.883 14.536 14.430         1.034        -0.0183       Death          0.34         27,050,556      53,879,958 13,216,916  25,624,470
2026-07-24 15.24 15.131 14.917 14.550 14.438         0.768        -0.0016       Death          0.27         -1,933,898      37,262,010 12,226,753  25,393,630
2026-07-27 15.13 15.131 14.937 14.562 14.445         0.448        -0.0084       Death          0.14         -2,393,570       2,038,770  8,159,077  25,950,462
2026-07-28 14.79 15.017 14.923 14.566 14.448         1.123        -0.0590       Death          0.29         -6,496,840       8,443,404  4,719,067  26,146,508
2026-07-29 15.10 15.045 14.940 14.577 14.455         0.608        -0.0512       Death          0.16         -5,198,290      -9,376,816  2,205,592  18,449,465
2026-07-30 15.08 15.057 14.954 14.587 14.461         0.781        -0.0492       Death          0.19         -2,845,142      -5,024,290 -3,773,548   6,668,616
2026-07-31 14.93 15.014 14.951 14.594 14.466         0.822        -0.0675       Death          0.17          5,807,656      -6,656,474 -2,225,237  -2,115,081
2026-08-03 14.72 14.916 14.929 14.596 14.468         1.273        -0.1050       Death          0.24         -8,036,608       9,707,200 -3,353,845    -581,395
2026-08-04 14.54 14.791 14.892 14.595 14.469         0.888        -0.1485       Death          0.19         -1,314,646      -3,469,552 -2,317,406  -2,963,986
2026-08-05 14.63 14.737 14.867 14.596 14.470         1.613        -0.1588       Death          0.31         13,963,676     -34,742,968  1,514,987  -8,037,217
2026-08-06 14.36 14.611 14.819 14.591 14.469         1.988        -0.1932       Death          0.43         20,017,474     -53,290,982  6,087,510 -17,690,555
2026-08-07 14.42 14.548 14.781 14.588 14.469         0.817        -0.1984       Death          0.22          3,159,880     -26,279,080  5,557,955 -21,615,076
2026-08-10 14.47 14.522 14.751 14.585 14.469         1.245        -0.1858       Death          0.35         13,784,126     -13,134,024  9,922,102 -26,183,321
2026-08-11 14.18 14.408 14.697 14.577 14.466         1.030        -0.2057       Death          0.31         11,977,890     -14,676,540 12,580,609 -28,424,719
2026-08-12 14.25 14.355 14.654 14.571 14.464         0.643        -0.1986       Death          0.21         12,378,276      -4,357,918 12,263,529 -22,347,709
2026-08-13 14.42 14.377 14.632 14.568 14.463         0.567        -0.1616       Death          0.17         -3,601,354        -463,686  7,539,764 -11,782,250
2026-08-14 14.24 14.331 14.595 14.561 14.461         0.496        -0.1522       Death          0.12          2,643,182     -11,795,398  7,436,424  -8,885,513
2026-08-17 14.35 14.337 14.571 14.557 14.460         0.446        -0.1231       Death          0.10         10,356,056      -3,171,694  6,750,810  -6,893,047
2026-08-18 14.42 14.365 14.557 14.555 14.460         0.733        -0.0882       Death          0.13          7,906,278       5,420,006  5,936,488  -2,873,738
2026-08-19 14.61 14.447 14.562 14.556 14.461         2.302        -0.0358       Death          0.34         16,139,576       7,638,574  6,688,748    -474,440
2026-08-20 14.75 14.548 14.580 14.559 14.464         1.761         0.0184      Golden          0.31         -6,666,372       5,100,894  6,075,744     638,476
2026-08-21 15.03 14.709 14.623 14.569 14.470         1.390         0.0888      Golden          0.28          9,689,452     -15,667,294  7,484,998    -135,903
2026-08-24 15.18 14.866 14.676 14.581 14.477         1.194         0.1488      Golden          0.28          2,574,850     -16,690,778  5,928,757  -2,839,720
2026-08-25 15.16 14.964 14.722 14.592 14.484         1.063         0.1772      Golden          0.29        -17,805,916     -15,495,222    786,318  -7,022,765
2026-08-26 15.76 15.229 14.821 14.615 14.496         3.353         0.2629      Golden          1.00        -11,183,888     -43,343,290 -4,678,375 -17,219,138
2026-08-27 15.72 15.393 14.906 14.637 14.508         0.675         0.2978      Golden          0.29         -8,120,582      22,264,282 -4,969,217 -13,786,460
2026-08-28 15.69 15.492 14.981 14.658 14.520         0.912         0.2997      Golden          0.39          7,730,960     -37,618,648 -5,360,915 -18,176,731
2026-08-31 15.20 15.395 15.002 14.669 14.527         1.194         0.2213      Golden          0.54        -11,794,608     -32,680,826 -8,234,807 -21,374,741
2026-09-01 15.22 15.336 15.023 14.680 14.534         0.725         0.1613      Golden          0.36         19,035,738     -25,244,874   -866,476 -23,324,671
2026-09-02 14.99 15.221 15.020 14.686 14.538         0.659         0.0838      Golden          0.34         -8,333,318       8,238,528   -296,362 -13,008,308

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:18
