问题: 对南方恒生科技 (03033)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close  ema5 ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow    inst_5ma     ind_5ma
2026-07-23  4.61 4.624 4.587  4.790  4.971         0.815         0.0376      Golden         23.01        924,353,652      90,537,292 650,983,217 295,770,104
2026-07-24  4.54 4.596 4.583  4.785  4.966         0.704         0.0204      Golden         19.66        892,794,452     270,083,288 702,888,419 228,057,682
2026-07-27  4.62 4.604 4.586  4.781  4.963         0.737         0.0187      Golden         19.09        416,174,061    -257,810,066 628,338,525 216,251,429
2026-07-28  4.64 4.616 4.591  4.779  4.960         1.027         0.0193      Golden         23.50        670,015,455     971,451,918 739,446,986 288,872,766
2026-07-29  4.77 4.667 4.608  4.778  4.958         1.100         0.0352      Golden         24.26        463,252,714    -272,771,883 673,318,067 160,298,110
2026-07-30  4.72 4.685 4.619  4.777  4.955         1.292         0.0368      Golden         28.44        417,975,179      40,530,044 572,042,372 150,296,660
2026-07-31  4.73 4.700 4.630  4.776  4.953         0.809         0.0369      Golden         18.58        759,396,707      52,184,029 545,362,823 106,716,809
2026-08-03  4.78 4.727 4.644  4.776  4.952         0.846         0.0412      Golden         19.58        353,359,607     350,794,308 532,799,932 228,437,683
2026-08-04  4.79 4.748 4.658  4.777  4.950         0.870         0.0426      Golden         20.38        508,924,407     -54,136,813 500,581,723  23,319,937
2026-08-05  4.84 4.778 4.675  4.778  4.949         1.017         0.0471      Golden         23.28        526,817,998    -276,779,503 513,294,780  22,518,413
2026-08-06  4.73 4.762 4.680  4.777  4.947         0.603         0.0328      Golden         13.48        357,880,435      38,881,986 501,275,831  22,188,801
2026-08-07  4.77 4.765 4.689  4.777  4.945         1.002         0.0266      Golden         19.25        960,059,129     409,418,783 541,408,315  93,635,752
2026-08-10  4.82 4.783 4.701  4.778  4.944         1.203         0.0270      Golden         23.34        428,058,524     444,431,295 556,348,099 112,363,150
2026-08-11  4.74 4.769 4.705  4.777  4.942         0.698         0.0148      Golden         14.01         96,659,830     312,495,492 473,895,183 185,689,610
2026-08-12  4.68 4.739 4.703  4.775  4.939         0.880        -0.0021       Death         16.48        750,568,915     262,907,192 518,645,367 293,626,950
2026-08-13  4.70 4.726 4.702  4.774  4.937         0.905        -0.0108       Death         15.85         20,284,660     155,923,018 451,126,212 317,035,156
2026-08-14  4.62 4.691 4.695  4.771  4.933         1.135        -0.0267       Death         20.53        424,031,486     292,881,461 343,920,683 293,727,692
2026-08-17  4.70 4.694 4.695  4.769  4.931         0.918        -0.0258       Death         16.71        379,520,685     408,435,286 334,213,115 286,528,490
2026-08-18  4.65 4.679 4.691  4.767  4.928         0.920        -0.0310       Death         15.54        493,249,766     409,577,956 413,531,103 305,944,983
2026-08-19  4.60 4.653 4.682  4.763  4.925         0.891        -0.0395       Death         15.33        537,076,860     102,552,722 370,832,692 273,874,088
2026-08-20  4.61 4.639 4.675  4.760  4.922         1.136        -0.0421       Death         19.25        111,215,249    -223,780,591 389,018,809 197,933,367
2026-08-21  4.67 4.649 4.675  4.759  4.919         0.975        -0.0342       Death         17.07       -395,118,831     -40,572,126 225,188,746 131,242,649
2026-08-24  4.50 4.599 4.658  4.754  4.915         0.982        -0.0495       Death         16.60         80,951,002     223,824,817 165,474,809  94,320,555
2026-08-25  4.50 4.566 4.643  4.748  4.911         1.258        -0.0568       Death         21.18      1,013,017,728    -115,160,888 269,428,402 -10,627,213
2026-08-26  4.53 4.554 4.632  4.744  4.907         0.857        -0.0546       Death         15.05        400,105,081     146,987,296 242,034,046  -1,740,299
2026-08-27  4.54 4.549 4.624  4.740  4.904         0.502        -0.0491       Death          8.78        266,320,959     167,868,042 273,055,188  76,589,428
2026-08-28  4.52 4.540 4.614  4.736  4.900         0.629        -0.0454       Death          9.85        255,113,714     231,822,755 403,101,697 131,068,404
2026-08-31  4.53 4.536 4.606  4.732  4.896         0.882        -0.0392       Death         12.64        342,833,799         380,387 455,478,256  86,379,518
2026-09-01  4.47 4.514 4.593  4.727  4.892         0.665        -0.0406       Death          9.04        335,505,108     239,621,040 319,975,732 157,335,904
2026-09-02  4.43 4.486 4.577  4.721  4.887         1.177        -0.0441       Death         13.34        375,446,428     420,608,311 315,044,002 212,060,107

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:17
