问题: 对协鑫科技 (03800)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close  ema5 ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow   inst_5ma     ind_5ma
2026-07-23  0.63 0.610 0.639  0.830  0.946         0.967         0.0096      Golden          0.77         40,692,460      18,756,250 15,238,256  11,256,458
2026-07-24  0.60 0.607 0.635  0.825  0.943         0.453         0.0097      Golden          0.36        -19,990,960     -13,576,100 13,304,224  13,246,472
2026-07-27  0.60 0.605 0.632  0.821  0.939         0.513         0.0100      Golden          0.40          2,765,400       7,831,430 14,875,572  11,166,044
2026-07-28  0.59 0.600 0.628  0.816  0.936         0.568         0.0091      Golden          0.41        -10,978,780         -47,890  8,952,672  11,891,706
2026-07-29  0.61 0.603 0.626  0.812  0.932         1.162         0.0113      Golden          0.62         28,408,170      14,312,470  8,179,258   5,455,232
2026-07-30  0.62 0.609 0.626  0.808  0.929         1.027         0.0141      Golden          0.52          7,348,740      14,807,480  1,510,514   4,665,478
2026-07-31  0.61 0.609 0.624  0.804  0.926         1.047         0.0144      Golden          0.48         -2,648,640      16,486,500  4,978,978  10,677,998
2026-08-03  0.68 0.633 0.630  0.802  0.924         3.853         0.0235      Golden          1.88         49,396,295      90,363,215 14,305,157  27,184,355
2026-08-04  0.69 0.652 0.635  0.800  0.921         1.210         0.0297      Golden          0.95         26,138,815      18,653,740 21,728,676  30,924,681
2026-08-05  0.70 0.668 0.641  0.798  0.919         0.977         0.0338      Golden          0.87         31,894,985     -17,384,855 22,426,039  24,585,216
2026-08-06  0.67 0.669 0.644  0.795  0.917         0.767         0.0312      Golden          0.72        -14,473,500      -6,791,475 18,061,591  20,265,425
2026-08-07  0.73 0.689 0.652  0.794  0.915         1.611         0.0360      Golden          1.58         44,186,850      31,473,485 27,428,689  23,262,822
2026-08-10  0.73 0.703 0.660  0.793  0.913         0.755         0.0373      Golden          0.90         11,547,890      -8,979,300 19,859,008   3,394,319
2026-08-11  0.72 0.708 0.665  0.791  0.911         0.559         0.0351      Golden          0.56          7,236,795       6,393,350 16,078,604     942,241
2026-08-12  0.76 0.726 0.674  0.790  0.910         1.382         0.0371      Golden          1.28         30,800,400       1,760,150 15,859,687   4,771,242
2026-08-13  0.74 0.730 0.681  0.789  0.908         1.022         0.0338      Golden          1.03        -31,600,400      -9,709,635 12,434,307   4,187,610
2026-08-14  0.72 0.727 0.684  0.788  0.906         0.504         0.0274      Golden          0.54         -2,718,710      -2,149,915  3,053,195  -2,537,070
2026-08-17  0.73 0.728 0.689  0.787  0.904         0.647         0.0231      Golden          0.56          8,736,980         365,405  2,491,013    -668,129
2026-08-18  0.74 0.732 0.694  0.786  0.903         0.891         0.0202      Golden          0.71         23,795,750      26,219,325  5,802,804   3,297,066
2026-08-19  0.72 0.728 0.696  0.785  0.901         0.935         0.0146      Golden          0.77        -12,667,715      16,776,740 -2,890,819   6,300,384
2026-08-20  0.71 0.722 0.698  0.783  0.899         1.061         0.0088      Golden          0.76         46,273,070       5,169,880 12,683,875   9,276,287
2026-08-21  0.72 0.721 0.700  0.782  0.897         0.989         0.0057      Golden          0.66         -4,151,535       7,625,330 12,397,310  11,231,336
2026-08-24  0.70 0.714 0.700  0.780  0.895         0.858         0.0006      Golden          0.59          3,935,685      -7,964,525 11,437,051   9,565,350
2026-08-25  0.70 0.709 0.700  0.779  0.893         1.246        -0.0029       Death          0.87            599,120      14,416,300  6,797,725   7,204,745
2026-08-26  0.73 0.716 0.703  0.778  0.892         1.692        -0.0014       Death          1.24         46,706,720      18,034,865 18,672,612   7,456,370
2026-08-27  0.74 0.724 0.706  0.777  0.890         1.074         0.0006      Golden          0.89         45,228,005      23,224,200 18,463,599  11,067,234
2026-08-28  0.79 0.746 0.714  0.777  0.889         1.170         0.0079      Golden          1.00         30,817,775      71,266,510 25,457,461  23,795,470
2026-08-31  0.70 0.731 0.713  0.776  0.887         8.652         0.0003      Golden          7.94        -37,481,120     -97,953,830 17,174,100   5,797,609
2026-09-01  0.72 0.727 0.713  0.775  0.886         0.753        -0.0023       Death          1.80          6,168,215     -30,464,890 18,287,919  -3,178,629
2026-09-02  0.70 0.718 0.712  0.773  0.884         0.298        -0.0066       Death          0.77        -10,159,980     -45,086,520  6,914,579 -15,802,906

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:18
