问题: 对众安在线 (06060)近日走势进行复盘分析，复盘区间：2026年07月23日 – 2026年09月02日

      date close   ema5  ema20 ema100 ema200 volume_ratio5 macd_histogram macd_status turnover_rate institutional_flow individual_flow    inst_5ma    ind_5ma
2026-07-23 10.91 10.696 10.273 11.770 13.197         0.666         0.3536      Golden          0.31           -838,062        -793,959  -2,256,889  2,517,125
2026-07-24 10.64 10.677 10.308 11.747 13.172         0.588         0.3019      Golden          0.24         -2,088,992      -5,285,074    -937,815  3,074,765
2026-07-27 10.56 10.638 10.332 11.724 13.146         1.007         0.2440      Golden          0.36         -3,073,862     -10,986,389  -1,492,872 -1,276,671
2026-07-28 10.63 10.635 10.360 11.702 13.121         0.702         0.2039      Golden          0.24          1,951,333      -1,239,375  -1,205,188 -3,449,907
2026-07-29 11.11 10.794 10.432 11.690 13.101         1.631         0.2288      Golden          0.50          1,314,739       2,556,041    -546,969 -3,149,751
2026-07-30 11.08 10.889 10.494 11.678 13.081         1.186         0.2276      Golden          0.39          2,667,597      -4,450,951     154,163 -3,881,150
2026-07-31 11.09 10.956 10.550 11.667 13.061         2.006         0.2147      Golden          0.69         -4,929,621     -18,487,031    -413,963 -6,521,541
2026-08-03 11.18 11.031 10.610 11.657 13.042         0.831         0.2049      Golden          0.36          1,671,966       8,676,407     535,203 -2,588,982
2026-08-04 11.43 11.164 10.688 11.652 13.026         1.314         0.2174      Golden          0.57          9,908,525        -957,602   2,126,641 -2,532,627
2026-08-05 11.37 11.233 10.753 11.647 13.010         0.521         0.2033      Golden          0.26          5,472,042        -852,970   2,958,102 -3,214,429
2026-08-06 11.19 11.218 10.795 11.638 12.991         0.650         0.1573      Golden          0.30           -165,999      -1,586,390   2,391,383 -2,641,517
2026-08-07 11.11 11.182 10.825 11.627 12.973         0.696         0.1063      Golden          0.30         -1,509,722      -8,836,468   3,075,362   -711,405
2026-08-10 11.10 11.155 10.851 11.617 12.954         0.570         0.0635      Golden          0.20         -1,486,754      -1,113,008   2,443,618 -2,669,288
2026-08-11 10.91 11.073 10.857 11.603 12.934         0.893         0.0049      Golden          0.29         -4,014,498     -11,317,008    -340,986 -4,741,169
2026-08-12 10.88 11.009 10.859 11.589 12.913         0.793        -0.0401       Death          0.22            257,901      -4,883,462  -1,383,814 -5,547,267
2026-08-13 10.88 10.966 10.861 11.575 12.893         1.011        -0.0703       Death          0.27         -2,131,206      -2,503,231  -1,776,856 -5,730,635
2026-08-14 10.54 10.824 10.830 11.554 12.870         1.185        -0.1329       Death          0.30          1,168,010      -3,854,203  -1,241,309 -4,734,182
2026-08-17 10.69 10.779 10.817 11.537 12.848         1.028        -0.1496       Death          0.26          6,508,162       1,890,903     357,674 -4,133,400
2026-08-18 10.49 10.683 10.786 11.516 12.825         0.751        -0.1810       Death          0.20           -727,056      -2,355,515   1,015,162 -2,341,102
2026-08-19 10.43 10.599 10.752 11.495 12.801         1.434        -0.2018       Death          0.36          2,008,028      -5,790,863   1,365,188 -2,522,582
2026-08-20 10.02 10.406 10.682 11.465 12.773         3.115        -0.2590       Death          0.87         21,033,582         -79,114   5,998,145 -2,037,758
2026-08-21 10.52 10.444 10.667 11.447 12.751         1.863        -0.2192       Death          0.75         32,100,009       8,375,313  12,184,545    408,145
2026-08-24 10.74 10.543 10.674 11.433 12.731         1.640        -0.1561       Death          0.80         19,598,147        -902,100  14,802,542   -150,456
2026-08-25 10.92 10.668 10.697 11.423 12.713         2.650        -0.0863       Death          1.58         30,146,984         658,424  20,977,350    452,332
2026-08-26 12.31 11.216 10.851 11.440 12.709         3.373         0.1386      Golden          2.94         98,848,182      -9,463,323  40,345,381   -282,160
2026-08-27 11.72 11.384 10.934 11.446 12.699         0.819         0.1959      Golden          1.14        -52,069,318      -6,063,151  25,724,801 -1,478,967
2026-08-28 11.74 11.502 11.010 11.452 12.689         0.540         0.2226      Golden          0.78           -114,247     -12,232,218  19,281,950 -5,600,474
2026-08-31 11.42 11.475 11.049 11.451 12.677         0.558         0.1848      Golden          0.81        -27,765,228     -14,770,201   9,809,275 -8,374,094
2026-09-01 11.41 11.453 11.084 11.450 12.664         0.388         0.1476      Golden          0.56         -2,468,364      -1,942,110   3,286,205 -8,894,201
2026-09-02 11.40 11.436 11.114 11.449 12.651         0.240         0.1126      Golden          0.30            -32,001        -216,801 -16,489,832 -7,044,896

--------------------------------------------------------------------------------
生成时间: 2026-09-02 17:20:18
