问题: 对中软国际 (00354)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date open high  low close week_change_pct volume_ratio turnover_rate  ema5 ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow    inst_5ma     ind_5ma
2026-02-06 4.97 4.97 4.39  4.47         -10.42%        1.465         7.11% 4.930 5.255  5.327  5.520        -0.1508        死叉延续 34.05        -51,470,000      59,222,080 -17,677,696  11,725,384
2026-02-13 4.53 4.63 4.37  4.49           0.45%        0.700         2.94% 4.783 5.182  5.311  5.510        -0.1819        死叉延续 34.55         -7,649,900       1,401,160 -19,333,676   9,997,600
2026-02-20 4.49 4.50 4.31  4.34          -3.34%        0.244         0.75% 4.635 5.102  5.291  5.498        -0.2088        死叉延续 32.56          4,180,000      -2,577,000 -25,111,676   5,884,200
2026-02-27 4.36 4.47 4.09  4.22          -2.76%        1.381         5.23% 4.497 5.018  5.270  5.486        -0.2274        死叉延续 31.02        -20,827,760     -11,395,340 -23,585,116   4,317,132
2026-03-06 4.15 4.15 3.68  3.92          -7.11%        1.352         6.19% 4.305 4.914  5.243  5.470        -0.2622        死叉延续 27.52         -1,133,420     -27,894,360 -15,380,216   3,751,308
2026-03-13 3.74 4.00 3.71  3.77          -3.83%        0.850         3.64% 4.126 4.805  5.214  5.453        -0.2857        死叉延续 25.94         -5,499,140      -6,136,140  -6,186,044  -9,320,336
2026-03-20 3.80 3.89 3.64  3.66          -2.92%        0.895         3.62% 3.971 4.696  5.183  5.435        -0.2950        死叉延续 24.82        -26,000,000     -11,318,180  -9,856,064 -11,864,204
2026-03-27 3.64 3.64 3.19  3.38          -7.65%        1.364         6.75% 3.774 4.570  5.148  5.415        -0.3161        死叉延续 22.19         43,980,000      -8,264,700  -1,896,064 -13,001,744
2026-04-03 3.30 3.42 3.19  3.42           1.18%        0.842         3.87% 3.656 4.461  5.114  5.395        -0.3018        死叉延续 23.44         21,217,780      -1,208,140   5,849,804   7,184,324
2026-04-10 3.46 3.61 3.42  3.45           0.88%        0.695         2.77% 3.587 4.365  5.081  5.376        -0.2666        死叉延续 24.42         10,170,000      -2,568,200   8,773,728  -5,899,072
2026-04-17 3.45 3.67 3.39  3.65           5.80%        0.987         3.90% 3.608 4.296  5.052  5.358        -0.1980        死叉延续 30.78         31,663,720       9,793,460  16,206,300  -2,713,152
2026-04-24 3.66 3.69 3.43  3.51          -3.84%        0.777         2.77% 3.575 4.222  5.022  5.340        -0.1549        死叉延续 28.94         10,991,880         480,000  23,604,676    -353,516
2026-05-01 3.51 3.54 3.35  3.39          -3.42%        0.610         1.82% 3.514 4.142  4.989  5.321        -0.1272        死叉延续 27.43         -5,302,500      12,276,600   6,877,304  12,694,348
2026-05-08 3.45 3.59 3.25  3.51           3.54%        1.275         4.40% 3.512 4.082  4.960  5.303        -0.0796        死叉延续 31.29         13,739,980      46,540,140  12,252,616  13,304,400
2026-05-15 3.51 3.51 3.09  3.13         -10.83%        1.113         4.08% 3.385 3.991  4.924  5.281        -0.0857        死叉延续 26.49        -44,193,520      -9,670,000   1,379,912  11,884,040
2026-05-22 3.10 3.31 3.05  3.28           4.79%        1.075         4.10% 3.350 3.924  4.891  5.261        -0.0573        死叉延续 30.99         -9,799,600       8,490,000  -6,912,752  11,623,348
2026-05-29 3.29 3.83 3.19  3.65          11.28%        1.568         8.33% 3.450 3.898  4.867  5.245         0.0194          金叉 40.66        139,870,000         550,000  18,862,872  11,637,348
