问题: 对美兰空港 (00357)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date  open  high  low close week_change_pct volume_ratio turnover_rate   ema5  ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow    inst_5ma    ind_5ma
2026-02-06 10.37 10.37 9.74  9.99          -3.66%        0.668         2.38% 10.355 10.480 10.275 11.836        -0.1458        死叉延续 37.94         10,359,830       9,961,630 -17,617,076  2,555,326
2026-02-13  9.99 10.17 9.20  9.29          -7.01%        0.676         2.07% 10.000 10.366 10.256 11.810        -0.2713        死叉延续 27.48           -175,000       8,587,270  -2,882,022  5,640,762
2026-02-20  9.29  9.44 8.88  9.02          -2.91%        0.248         0.56%  9.673 10.238 10.231 11.782        -0.3716        死叉延续 24.66            443,270       1,854,010    -476,598  5,413,436
2026-02-27  9.05  9.20 8.56  8.70          -3.55%        0.851         1.76%  9.349 10.092 10.201 11.752        -0.4562        死叉延续 21.80          1,971,520      -2,172,260    -954,746  4,519,414
2026-03-06  8.60  8.60 7.48  8.00          -8.05%        1.098         2.38%  8.899  9.892 10.158 11.714        -0.5740        死叉延续 17.12          3,081,370        -978,440   3,136,198  3,450,442
2026-03-13  7.89  8.08 7.50  7.99          -0.12%        0.742         1.43%  8.596  9.711 10.115 11.677        -0.6171        死叉延续 17.07          6,978,780       3,940,890   2,459,988  2,246,294
2026-03-20  7.99  8.05 7.06  7.15         -10.51%        0.814         1.44%  8.114  9.467 10.056 11.632        -0.7157        死叉延续 13.15          4,247,430         256,460   3,344,474    580,132
2026-03-27  7.02  7.22 6.71  6.72          -6.01%        0.937         1.60%  7.649  9.206  9.990 11.583        -0.7899        死叉延续 11.68          2,326,470      -3,452,140   3,721,114   -481,098
2026-04-03  6.66  6.69 6.05  6.32          -5.95%        0.934         1.55%  7.206  8.931  9.917 11.531        -0.8393        死叉延续 10.50           -761,120        -661,360 -13,046,494 -5,357,402
2026-04-10  6.32  6.67 6.22  6.58           4.11%        0.661         0.93%  6.998  8.707  9.851 11.482        -0.7844        死叉延续 16.41            791,580         161,100   2,716,628     48,990
2026-04-17  6.50  6.60 6.15  6.27          -4.71%        1.107         1.66%  6.755  8.475  9.780 11.430        -0.7380        死叉延续 15.13          2,361,460         945,710   1,793,164   -550,046
2026-04-24  6.27  6.35 5.93  6.06          -3.35%        0.833         1.15%  6.523  8.245  9.707 11.377        -0.6848        死叉延续 14.31            116,340        -910,200     966,946   -783,378
2026-05-01  6.10  6.59 6.07  6.13           1.16%        0.737         0.89%  6.392  8.043  9.636 11.324        -0.5930        死叉延续 15.94            706,470        -179,640 -12,737,732 -5,625,666
2026-05-08  6.13  6.41 5.99  6.03          -1.63%        1.044         1.30%  6.271  7.852  9.564 11.272        -0.5021        死叉延续 15.49          2,989,170       1,506,250   1,393,004    304,644
2026-05-15  6.03  6.04 5.65  5.80          -3.81%        0.878         1.03%  6.114  7.656  9.490 11.217        -0.4319        死叉延续 14.47             62,640      -1,117,080   1,247,216     49,008
2026-05-22  5.80  5.82 5.41  5.47          -5.69%        0.882         0.97%  5.900  7.448  9.410 11.160        -0.3902        死叉延续 13.13          1,070,400      -2,421,260     989,004   -624,386
2026-05-29  5.47  5.47 4.71  4.71         -13.89%        1.857         3.60%  5.503  7.187  9.317 11.096        -0.4226        死叉延续 10.69            565,360      -5,447,480   1,078,808 -1,531,842
2026-06-05  4.73  5.00 4.58  4.71           0.00%        0.871         1.58%  5.239  6.951  9.226 11.032        -0.4017        死叉延续 10.69          2,719,910         789,230   1,481,496 -1,338,068
2026-06-12  4.71  4.80 4.32  4.58          -2.76%        1.077         2.04%  5.019  6.726  9.134 10.968        -0.3642        死叉延续 10.31            342,240        -349,390     952,110 -1,709,196
2026-06-19  4.48  4.86 4.48  4.62           0.87%        0.692         1.14%  4.886  6.525  9.044 10.905        -0.2957        死叉延续 11.36            622,000      -1,087,160  -7,342,636 -6,189,598
2026-06-26  4.49  4.55 4.03  4.10         -11.26%        1.060         1.79%  4.624  6.294  8.947 10.837        -0.2822        死叉延续  9.76         -1,125,930      -3,044,710     624,716 -1,827,902
2026-07-03  4.02  4.42 3.94  4.38           6.83%        0.760         1.15%  4.543  6.112  8.856 10.773        -0.2011        死叉延续 16.55            213,420         198,540     554,328   -698,698
2026-07-10  4.41  4.60 4.02  4.16          -5.02%        0.525         0.64%  4.415  5.926  8.763 10.707        -0.1452        死叉延续 15.56            280,770        -164,010      66,500   -889,346
2026-07-17  4.16  4.39 4.00  4.26           2.40%        1.231         1.70%  4.363  5.767  8.674 10.643        -0.0669        死叉延续 17.97          6,900,110         479,100   1,378,074   -723,648
2026-07-24  4.26  4.64 4.18  4.52           6.10%        0.641         0.73%  4.416  5.648  8.592 10.582         0.0418          金叉 24.02          1,579,710         330,140   1,569,616   -440,188
2026-07-31  4.56  5.78 4.56  5.43          20.13%        1.166         1.50%  4.754  5.628  8.529 10.531         0.2469        金叉延续 40.57          1,351,670       4,152,250   2,065,136    999,204
2026-08-07  5.43  5.80 5.42  5.70           4.97%        0.809         0.94%  5.069  5.635  8.473 10.483         0.4194        金叉延续 44.43            728,325       4,935,280   2,168,117  1,946,552
2026-08-14  5.68  5.68 5.40  5.54          -2.81%        0.530         0.50%  5.226  5.626  8.415 10.434         0.5065        金叉延续 42.66            359,100       3,116,915   2,183,783  2,602,737
2026-08-21  5.53  5.68 5.46  5.62           1.44%        0.621         0.49%  5.357  5.625  8.360 10.386         0.5650        金叉延续 43.87                  0       2,320,805     803,761  2,971,078
2026-08-28  5.60  5.78 5.04  5.19          -7.65%        0.608         0.41%  5.302  5.584  8.297 10.334         0.5362        金叉延续 39.11            392,625       1,221,495   2,217,889    898,701

--------------------------------------------------------------------------------
生成时间: 2026-08-28 17:48:23
