问题: 对腾讯控股 (00700)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date   open   high    low  close week_change_pct volume_ratio turnover_rate    ema5   ema20  ema100  ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow       inst_5ma       ind_5ma
2026-02-06 592.70 599.20 535.70 542.20          -9.74%        1.716         2.94% 582.291 596.100 493.747 436.115       -21.6887        死叉延续 39.44       -186,780,000   7,563,770,000    700,894,000 1,982,664,000
2026-02-13 544.70 560.70 519.70 526.70          -2.86%        0.955         1.61% 563.761 589.490 494.400 437.016       -26.9627        死叉延续 36.87        222,880,000   1,784,880,000    781,718,000 2,430,674,000
2026-02-20 524.70 529.70 512.70 516.70          -1.90%        0.256         0.31% 548.074 582.558 494.842 437.809       -30.3773        死叉延续 35.27        379,980,000     207,950,000    872,188,000 2,682,450,000
2026-02-27 523.70 537.70 505.20 512.70          -0.77%        1.152         1.52% 536.283 575.905 495.195 438.554       -31.6124        死叉延续 34.63       -481,420,000   1,439,640,000    477,972,000 3,286,024,000
2026-03-06 506.20 520.20 493.50 513.70           0.20%        1.129         1.59% 528.755 569.981 495.562 439.302       -30.7066        死叉延续 34.95       -841,110,000   4,172,760,000   -181,290,000 3,033,800,000
2026-03-13 497.20 572.70 497.20 542.20           5.55%        1.208         1.91% 533.237 567.335 496.485 440.326       -24.9263        死叉延续 43.46     -3,187,200,000   6,206,150,000   -781,374,000 2,762,276,000
2026-03-20 545.70 560.70 499.70 502.70          -7.29%        1.041         1.67% 523.058 561.179 496.608 440.947       -25.0162        死叉延续 36.36     -3,259,230,000   2,883,180,000 -1,477,796,000 2,981,936,000
2026-03-27 492.50 516.20 482.30 488.10          -2.90%        0.991         1.58% 511.405 554.219 496.440 441.416       -25.5455        死叉延续 34.14       -985,750,000     627,560,000 -1,750,942,000 3,065,858,000
2026-04-03 479.70 498.70 470.70 483.90          -0.86%        0.721         1.01% 502.237 547.522 496.191 441.839       -24.9370        死叉延续 33.50        885,730,000   1,539,390,000    295,806,000   234,760,000
2026-04-10 499.20 509.20 495.70 499.20           3.16%        0.673         0.82% 501.225 542.920 496.251 442.409       -21.1014        死叉延续 38.02       -259,790,000   3,018,710,000 -1,361,248,000 2,854,998,000
2026-04-17 493.10 511.70 480.90 505.20           1.20%        0.907         1.04% 502.550 539.328 496.428 443.034       -16.5831        死叉延续 39.75      1,346,100,000     416,890,000   -454,588,000 1,697,146,000
2026-04-24 504.20 521.20 481.70 488.10          -3.38%        0.977         1.11% 497.733 534.449 496.263 443.482       -14.7844        死叉延续 36.61      1,049,180,000    -998,980,000    407,094,000   920,714,000
2026-05-01 484.70 485.70 457.90 462.50          -5.24%        1.145         1.40% 485.989 527.597 495.595 443.672       -15.8358        死叉延续 32.49     -1,782,000,000  -1,399,550,000    -96,330,000  -193,304,000
2026-05-08 464.50 475.70 454.90 466.10           0.78%        1.188         1.62% 479.359 521.740 495.011 443.895       -14.8553        死叉延续 33.62      3,463,790,000      43,780,000    763,456,000   216,170,000
2026-05-15 459.70 474.30 448.70 456.40          -2.08%        1.143         1.67% 471.706 515.517 494.246 444.019       -14.3165        死叉延续 32.06       -280,420,000     909,610,000    759,330,000  -205,650,000
2026-05-22 455.00 468.80 438.40 441.40          -3.29%        1.059         1.59% 461.604 508.458 493.200 443.993       -14.7265        死叉延续 29.76     -1,139,400,000  -1,541,170,000    262,230,000  -597,262,000
2026-05-29 438.00 442.60 420.40 427.20          -3.22%        1.048         1.62% 450.136 500.719 491.893 443.826       -15.5740        死叉延续 27.73      4,346,660,000  -2,594,670,000    921,726,000  -916,400,000
2026-06-05 432.40 484.80 430.00 453.20           6.09%        1.400         2.72% 451.157 496.194 491.126 443.919       -11.4850        死叉延续 36.29      1,950,980,000   4,587,930,000  1,668,322,000   281,096,000
