问题: 对中国铁塔 (00788)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date  open  high   low close week_change_pct volume_ratio turnover_rate   ema5  ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow    inst_5ma     ind_5ma
2026-02-06 10.78 10.82 10.47 10.48          -3.76%        1.210         1.81% 10.901 11.188 10.188  9.621        -0.2655        死叉延续 39.20        -48,750,000     -48,580,000 -41,321,600 -14,481,346
2026-02-13 10.48 10.81 10.33 10.64           1.53%        1.037         1.58% 10.814 11.135 10.197  9.631        -0.2750        死叉延续 42.16        -35,432,250     -13,779,010 -35,600,116 -14,546,982
2026-02-20 10.67 10.68 10.51 10.59          -0.47%        0.234         0.26% 10.739 11.083 10.205  9.640        -0.2744        死叉延续 41.48          1,949,770      -2,149,730 -27,706,496 -12,210,988
2026-02-27 10.66 10.92 10.65 10.78           1.79%        1.242         1.57% 10.753 11.055 10.216  9.652        -0.2363        死叉延续 45.10         27,570,040      10,063,350 -16,510,488 -15,065,004
2026-03-06 10.76 10.93 10.44 10.69          -0.83%        1.024         1.31% 10.732 11.020 10.225  9.662        -0.2118        死叉延续 43.72         40,930,000     -93,579,580  -2,746,488 -29,604,994
2026-03-13 10.63 11.12 10.35 11.11           3.93%        1.107         1.50% 10.858 11.028 10.243  9.676        -0.1316        死叉延续 51.22         24,850,000     111,554,270  11,973,512   2,421,860
2026-03-20 11.12 11.12 10.57 10.71          -3.60%        1.360         2.24% 10.809 10.998 10.252  9.687        -0.1250        死叉延续 45.06         18,449,960      81,364,060  22,749,954  21,450,474
2026-03-27 10.66 10.73 10.22 10.32          -3.64%        1.066         1.81% 10.646 10.934 10.254  9.693        -0.1634        死叉延续 40.01           -941,600       5,532,340  22,171,680  22,986,888
2026-04-03 10.26 10.43 10.07 10.38           0.58%        0.758         1.15% 10.557 10.881 10.256  9.700        -0.1701        死叉延续 41.10         30,170,000     -17,780,000   3,071,664 -11,700,560
2026-04-10 10.45 10.58 10.39 10.46           0.77%        0.580         0.73% 10.525 10.841 10.260  9.707        -0.1537        死叉延续 42.61         60,780,000     -16,405,690  26,661,672  32,852,996
2026-04-17 10.46 10.70 10.36 10.66           1.91%        0.928         1.12% 10.570 10.824 10.268  9.717        -0.1080        死叉延续 46.30          4,996,360     -16,688,010  22,690,944   7,204,540
2026-04-24 10.52 10.96 10.44 10.79           1.22%        0.945         1.11% 10.643 10.820 10.278  9.728        -0.0549        死叉延续 48.61           -400,810     -23,503,330  18,920,790 -13,768,938
2026-05-01 10.83 10.89 10.65 10.71          -0.74%        0.774         0.81% 10.665 10.810 10.287  9.737        -0.0268        死叉延续 47.26          6,184,770      39,610,000   1,322,954     419,440
2026-05-08 10.82 10.84 10.61 10.71           0.00%        0.972         1.01% 10.680 10.800 10.295  9.747        -0.0055        死叉延续 47.26          2,561,040       4,220,360  14,824,272  -2,553,334
2026-05-15 10.71 10.90 10.53 10.58          -1.21%        1.382         1.79% 10.647 10.779 10.301  9.755        -0.0062        死叉延续 44.91         23,650,000     110,332,990   7,398,272  22,794,402
2026-05-22 10.58 10.81 10.22 10.27          -2.93%        1.372         2.17% 10.521 10.731 10.300  9.760        -0.0435        死叉延续 39.83        -72,050,000     -10,192,730  -8,011,000  24,093,458
