问题: 对石药集团 (01093)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date  open  high  low close week_change_pct volume_ratio turnover_rate  ema5 ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow    inst_5ma      ind_5ma
2026-02-06  9.55  9.95 8.97  9.51           0.63%        1.019         6.47% 9.323 8.676  7.142  6.795         0.2438        金叉延续 59.21        -72,490,000      41,240,000 120,097,672  395,042,000
2026-02-13  9.55 10.55 9.55  9.96           4.73%        0.713         3.94% 9.536 8.799  7.198  6.827         0.2866        金叉延续 62.29        278,860,000     480,900,000 135,259,672  309,582,000
2026-02-20 10.04 10.42 9.82 10.37           4.12%        0.157         0.61% 9.814 8.948  7.261  6.862         0.3455        金叉延续 64.89        -27,500,000     142,020,000 125,837,672  263,902,000
2026-02-27 10.45 10.74 9.31  9.75          -5.98%        0.981         3.79% 9.792 9.025  7.310  6.891         0.2792        金叉延续 58.34         29,050,000     -27,100,000 109,899,672  277,900,000
2026-03-06  9.53  9.58 8.68  9.22          -5.44%        0.919         3.41% 9.602 9.043  7.348  6.914         0.1487        金叉延续 53.38         85,720,000    -299,562,820  58,728,000   67,499,436
2026-03-13  9.12  9.33 8.30  8.44          -8.46%        1.087         4.21% 9.214 8.986  7.369  6.929        -0.0475          死叉 47.04         34,670,000    -272,960,000  80,160,000    4,659,436
2026-03-20  8.49  9.28 8.45  8.65           2.49%        0.868         3.16% 9.026 8.954  7.395  6.946        -0.1481        死叉延续 48.80        196,364,620    -129,308,220  63,660,924 -117,382,208
2026-03-27  8.49  9.18 7.84  9.14           5.66%        1.414         6.50% 9.064 8.972  7.429  6.968        -0.1474        死叉延续 52.75        251,852,780    -103,230,000 119,531,480 -166,432,208
2026-04-03  8.91  9.73 8.82  9.56           4.60%        0.862         3.71% 9.229 9.028  7.472  6.994        -0.0918        死叉延续 55.90        197,187,400     589,080,000 128,723,480  296,023,948
2026-04-10  9.73  9.79 8.96  9.11          -4.71%        0.526         1.82% 9.190 9.035  7.504  7.015        -0.1156        死叉延续 51.91        -10,457,080      90,060,000 133,923,544   34,728,356
2026-04-17  9.05  9.40 8.66  8.81          -3.29%        0.952         3.23% 9.063 9.014  7.530  7.033        -0.1685        死叉延续 49.38        -22,260,000     352,260,000 122,537,544  159,772,356
2026-04-24  8.90  8.93 8.53  8.83           0.23%        0.991         3.36% 8.985 8.996  7.556  7.051        -0.1957        死叉延续 49.56         -6,920,000      65,330,000  81,880,620  198,700,000
2026-05-01  8.85  8.92 8.05  8.26          -6.46%        0.918         2.98% 8.744 8.926  7.570  7.063        -0.2801        死叉延续 44.77         49,750,000    -240,330,000 140,877,480  239,569,948
2026-05-08  8.32  8.43 7.93  8.05          -2.54%        0.854         2.57% 8.512 8.843  7.579  7.073        -0.3494        死叉延续 43.12        106,930,000    -309,754,760  23,408,584   -8,486,952
2026-05-15  7.96  8.14 7.49  7.63          -5.22%        1.137         3.69% 8.218 8.727  7.580  7.078        -0.4317        死叉延续 39.95         22,929,660    -207,810,000  30,085,932  -68,060,952
2026-05-22  7.63  7.72 7.13  7.54          -1.18%        0.996         3.23% 7.992 8.614  7.579  7.083        -0.4746        死叉延续 39.28        100,188,700    -363,890,840  54,575,672 -211,291,120
2026-05-29  7.62  7.62 6.49  7.35          -2.52%        1.475         6.27% 7.778 8.494  7.575  7.085        -0.5022        死叉延续 37.84        136,220,000    -155,810,000  83,203,672 -255,519,120
2026-06-05  7.53  7.73 6.97  7.09          -3.54%        1.120         5.06% 7.549 8.360  7.565  7.085        -0.5267        死叉延续 35.90       -148,690,000     -74,150,000  43,515,672 -222,283,120
