问题: 对中生制药 (01177)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date open high  low close week_change_pct volume_ratio turnover_rate  ema5 ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow    inst_5ma      ind_5ma
2026-02-06 6.59 6.59 6.10  6.43          -2.43%        1.012         1.83% 6.570 6.737  5.183  4.734        -0.2863        死叉延续 46.90         41,148,020     103,450,000 -45,003,048   99,448,728
2026-02-13 6.47 6.92 6.38  6.47           0.62%        0.739         1.19% 6.536 6.711  5.209  4.751        -0.2636        死叉延续 47.53         40,260,000      37,450,000 -20,109,048   83,506,728
2026-02-20 6.48 6.65 6.37  6.60           2.01%        0.138         0.15% 6.558 6.701  5.236  4.770        -0.2217        死叉延续 49.60           -900,000       7,927,260 -17,329,516   69,567,452
2026-02-27 6.61 6.82 5.88  6.00          -9.09%        1.423         2.02% 6.372 6.634  5.251  4.782        -0.2626        死叉延续 41.45         55,590,000      50,060,000  17,066,484   68,395,452
2026-03-06 5.92 6.11 5.53  6.08           1.33%        1.332         2.26% 6.275 6.581  5.268  4.795        -0.2660        死叉延续 42.80         51,250,000     137,220,000  37,469,604   67,221,452
2026-03-13 5.85 6.26 5.77  5.90          -2.96%        0.970         1.62% 6.150 6.516  5.280  4.806        -0.2783        死叉延续 40.54        -75,218,690      22,250,000  14,196,262   50,981,452
2026-03-20 5.91 6.25 5.83  5.93           0.51%        0.848         1.32% 6.076 6.460  5.293  4.817        -0.2680        死叉延续 41.10         12,750,000      62,350,000   8,694,262   55,961,452
2026-03-27 5.82 5.99 5.37  5.84          -1.52%        1.090         1.77% 5.998 6.401  5.304  4.827        -0.2588        死叉延续 39.88        127,167,560      95,350,000  34,307,774   73,446,000
2026-04-03 5.74 6.40 5.61  6.28           7.53%        1.379         2.77% 6.092 6.390  5.323  4.842        -0.1826        死叉延续 47.96        276,780,000     398,426,810  88,867,798  119,485,362
2026-04-10 6.51 6.53 5.84  5.87          -6.53%        0.824         1.53% 6.018 6.340  5.334  4.852        -0.1764        死叉延续 42.26         29,520,000       3,620,000  74,199,774  116,399,362
2026-04-17 5.85 6.16 5.61  5.95           1.36%        1.114         2.19% 5.995 6.303  5.346  4.863        -0.1515        死叉延续 43.67        161,070,000     203,820,000 121,457,512  152,713,362
2026-04-24 5.95 6.00 5.42  5.63          -5.38%        0.957         1.85% 5.873 6.239  5.352  4.870        -0.1669        死叉延续 39.52         26,499,500     269,410,000 124,207,412  194,125,362
2026-05-01 5.63 5.65 5.34  5.37          -4.62%        0.832         1.47% 5.706 6.156  5.352  4.875        -0.1987        死叉延续 36.49        153,590,000    -135,144,320 120,623,594   96,578,498
2026-05-08 5.37 5.46 5.27  5.38           0.19%        0.851         1.40% 5.597 6.082  5.353  4.880        -0.2041        死叉延续 36.69         91,944,010      31,650,000  92,524,702   74,671,136
