问题: 对锦鑫生殖 (01951)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date open high  low close week_change_pct volume_ratio turnover_rate  ema5 ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow   inst_5ma    ind_5ma
2026-02-06 2.40 2.43 2.34  2.38          -0.83%        0.742         2.71% 2.415 2.506  3.041  4.270         0.0214        金叉延续 42.65           -207,390       1,009,460 -3,722,612  3,918,324
2026-02-13 2.41 2.49 2.38  2.44           2.52%        0.744         2.41% 2.424 2.499  3.029  4.252         0.0282        金叉延续 45.41          4,654,250        -668,570 -4,054,040   -819,772
2026-02-20 2.40 2.44 2.38  2.43          -0.41%        0.079         0.17% 2.426 2.493  3.017  4.234         0.0317        金叉延续 45.02                  0         484,020    262,496  1,136,364
2026-02-27 2.43 2.51 2.37  2.46           1.23%        1.114         2.62% 2.437 2.490  3.006  4.216         0.0380        金叉延续 46.50        -13,081,530        -430,020 -2,862,934   -510,502
2026-03-06 2.43 2.50 2.25  2.47           0.41%        1.584         5.27% 2.448 2.488  2.995  4.199         0.0430        金叉延续 47.01         12,596,380      -9,318,180    792,342 -1,784,658
2026-03-13 2.39 2.44 2.17  2.18         -11.74%        1.352         5.45% 2.359 2.459  2.979  4.179         0.0086        金叉延续 36.19        -35,388,680      -8,224,710 -6,243,916 -3,631,492
2026-03-20 2.19 2.34 2.15  2.16          -0.92%        0.919         3.55% 2.292 2.430  2.963  4.159        -0.0142          死叉 35.58            805,440       2,277,350 -7,013,678 -3,042,308
2026-03-27 2.11 2.30 2.05  2.28           5.56%        1.192         5.11% 2.288 2.416  2.949  4.140        -0.0108        死叉延续 41.89         24,652,060     -14,375,860 -2,083,266 -6,014,284
2026-04-03 2.26 2.48 2.25  2.47           8.33%        0.975         4.13% 2.349 2.421  2.940  4.123         0.0180          金叉 50.21         35,290,000       4,860,000  9,018,558 11,104,066
2026-04-10 2.49 2.49 2.39  2.43          -1.62%        0.583         2.07% 2.376 2.422  2.930  4.107         0.0316        金叉延续 48.63        -11,850,000      -8,135,980  2,701,764 -4,719,840
2026-04-17 2.39 2.41 2.31  2.32          -4.53%        0.785         2.51% 2.357 2.412  2.918  4.089         0.0262        金叉延续 44.49         -7,364,690        -402,560  8,306,562 -3,155,410
