问题: 对港股万科企业 (02202)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date open high  low close week_change_pct volume_ratio turnover_rate  ema5 ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow    inst_5ma     ind_5ma
2026-02-06 3.54 3.84 3.51  3.67          -3.42%        0.875        10.43% 3.653 4.028  5.787  8.481         0.0295          金叉 37.78         14,004,470      50,183,290  21,316,506  39,977,556
2026-02-13 3.72 4.14 3.65  3.98           8.45%        0.963        11.28% 3.762 4.024  5.751  8.437         0.0982        金叉延续 45.32         59,020,630     -18,703,370  26,003,474  25,383,134
2026-02-20 3.95 3.95 3.74  3.86          -3.02%        0.093         0.75% 3.795 4.008  5.714  8.391         0.1284        金叉延续 43.14            369,030     -11,970,000  29,039,280  20,068,854
2026-02-27 3.80 3.95 3.67  3.76          -2.59%        1.341        13.01% 3.783 3.984  5.675  8.345         0.1352        金叉延续 41.36        -39,285,610     -99,680,000  15,337,088 -12,531,832
2026-03-06 3.71 3.71 3.35  3.49          -7.18%        0.896         8.27% 3.685 3.937  5.632  8.297         0.1049        金叉延续 36.92        -29,670,000      -6,473,010     887,704 -17,328,618
2026-03-13 3.42 3.51 3.36  3.37          -3.44%        0.550         4.14% 3.580 3.883  5.587  8.248         0.0718        金叉延续 35.11         -8,125,780     -12,610,000  -3,538,346 -29,887,276
2026-03-20 3.38 3.55 3.11  3.15          -6.53%        0.876         6.21% 3.437 3.814  5.539  8.197         0.0259        金叉延续 32.02         -4,806,090      -7,566,980 -16,303,690 -27,659,998
2026-03-27 3.13 3.13 2.97  2.97          -5.71%        0.759         4.80% 3.281 3.733  5.488  8.145        -0.0208          死叉 29.72         11,738,610      -4,105,190 -14,029,774 -26,087,036
2026-04-03 2.96 3.01 2.85  2.88          -3.03%        0.660         3.58% 3.147 3.652  5.436  8.092        -0.0538        死叉延续 28.61        -12,314,660      -4,532,230  11,357,004  30,645,384
2026-04-10 2.91 3.05 2.90  2.92           1.39%        0.575         2.56% 3.072 3.582  5.386  8.041        -0.0599        死叉延续 29.86          7,928,090      -5,361,660  -1,115,966  -6,835,212
2026-04-17 2.93 3.14 2.88  3.07           5.14%        1.023         4.62% 3.071 3.533  5.340  7.992        -0.0345        死叉延续 34.50         13,624,330       3,788,220   3,234,056  -3,555,568
