问题: 对港股万物云 (02602)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date  open  high   low close week_change_pct volume_ratio turnover_rate   ema5  ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow   inst_5ma     ind_5ma
2026-02-06 18.74 19.03 18.28 18.85          -0.63%        0.762         0.53% 18.798 19.764 20.771 24.022        -0.3923        死叉延续 41.02         -2,400,308      12,626,374  2,624,944  10,330,193
2026-02-13 18.85 19.05 18.47 18.79          -0.32%        0.662         0.38% 18.796 19.672 20.732 23.970        -0.2858        死叉延续 40.63            -59,020       3,788,301  3,297,702   9,972,933
2026-02-20 18.79 18.98 18.55 18.60          -1.01%        0.098         0.04% 18.730 19.569 20.690 23.916        -0.2180        死叉延续 39.38           -242,928        -235,490  3,241,544  10,506,170
2026-02-27 18.60 19.03 18.38 18.43          -0.91%        1.049         0.43% 18.630 19.461 20.645 23.862        -0.1750        死叉延续 38.24          1,100,859      -2,000,696  2,814,973   8,421,302
2026-03-06 18.43 18.70 17.91 18.70           1.47%        1.121         0.50% 18.653 19.388 20.607 23.810        -0.0932        死叉延续 41.15         -3,100,117       6,043,142   -940,303   4,044,326
2026-03-13 18.47 19.15 18.37 18.66          -0.21%        1.047         0.48% 18.656 19.319 20.568 23.759        -0.0307        死叉延续 40.84         -2,218,758      -8,241,134   -903,993    -129,175
2026-03-20 18.66 18.80 16.52 16.94          -9.22%        1.988         1.77% 18.084 19.093 20.496 23.691        -0.1980        死叉延续 30.36          1,605,691      14,142,418   -571,051   1,941,648
2026-03-27 16.83 16.83 15.21 15.58          -8.03%        1.193         1.18% 17.249 18.758 20.399 23.611        -0.4541        死叉延续 24.91         11,009,991       9,106,625  1,679,533   3,810,071
2026-04-03 15.58 16.03 15.39 16.00           2.70%        0.518         0.41% 16.833 18.495 20.312 23.535        -0.5242        死叉延续 29.14         -3,396,063       6,084,789 -3,468,620  -1,175,124
2026-04-10 16.04 16.41 16.03 16.23           1.44%        0.331         0.20% 16.632 18.280 20.231 23.462        -0.4972        死叉延续 31.42          2,259,959       1,164,950  1,852,164   4,451,530
2026-04-17 16.25 16.92 15.90 16.82           3.64%        0.918         0.52% 16.695 18.141 20.163 23.396        -0.3636        死叉延续 37.01          6,808,865       9,292,550  3,657,689   7,958,266
2026-04-24 16.62 16.90 16.24 16.24          -3.45%        1.524         1.18% 16.543 17.960 20.086 23.325        -0.3187        死叉延续 34.07         -7,984,855      17,106,073  1,739,579   8,550,997
2026-05-01 16.76 16.76 15.96 16.26           0.12%        1.064         0.85% 16.449 17.798 20.010 23.255        -0.2544        死叉延续 34.26          5,255,305      23,496,484   -560,645   7,048,746
2026-05-08 16.97 17.56 15.96 17.51           7.69%        0.603         0.40% 16.802 17.770 19.960 23.197        -0.0238        死叉延续 45.13          1,459,490      11,041,190  1,559,753  12,420,249
2026-05-15 17.48 18.42 17.31 17.99           2.74%        0.978         0.64% 17.198 17.791 19.921 23.146         0.2007          金叉 48.64          7,385,451      11,587,469  2,584,851  14,504,753
2026-05-22 18.39 18.39 16.32 16.37          -9.01%        0.817         0.49% 16.922 17.656 19.851 23.078         0.1412        金叉延续 39.46          1,707,204      -2,685,031  1,564,519  12,109,237
2026-05-29 16.43 17.60 16.13 17.60           7.51%        1.013         0.61% 17.148 17.651 19.807 23.024         0.2702        金叉延续 47.55          7,579,346      11,257,763  4,677,359  10,939,575
2026-06-05 17.56 20.04 17.20 19.02           8.07%        2.245         3.62% 17.772 17.781 19.791 22.984         0.5342        金叉延续 55.03         26,766,737     137,173,814  8,979,646  33,675,041
2026-06-12 18.88 21.30 17.49 21.00          10.41%        1.321         2.53% 18.848 18.088 19.815 22.964         0.9393        金叉延续 62.95         26,458,825         342,828 13,979,513  31,535,369
2026-06-19 21.00 21.00 17.81 18.08         -13.90%        0.563         0.88% 18.592 18.087 19.781 22.915         0.7840        金叉延续 49.18         -3,856,332     -66,570,564 -1,384,567 -11,356,082
2026-06-26 18.10 18.10 15.13 15.21         -15.87%        0.593         0.78% 17.465 17.813 19.690 22.839         0.2902        金叉延续 39.94        -13,821,065     -17,598,050  8,625,502  12,921,158
2026-07-03 15.29 16.60 14.63 16.47           8.28%        0.498         0.52% 17.133 17.685 19.626 22.775         0.1366        金叉延续 44.84          5,253,271       5,247,930  8,160,287  11,719,192
