问题: 对国泰海通 (02611)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date  open  high   low close week_change_pct volume_ratio turnover_rate   ema5  ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow    inst_5ma     ind_5ma
2026-02-06 16.14 17.48 16.00 17.01           4.87%        1.087         2.00% 16.554 15.871 12.259 10.603        -0.0979        死叉延续 59.69         82,450,000      89,680,000  34,914,138  26,654,208
2026-02-13 17.07 17.80 16.99 17.15           0.82%        0.637         0.99% 16.753 15.993 12.356 10.668        -0.0489        死叉延续 60.40        -11,105,940      15,491,240  13,932,950  22,759,122
2026-02-20 17.38 17.44 16.70 17.21           0.35%        0.084         0.09% 16.905 16.108 12.452 10.733        -0.0217        死叉延续 60.72         -1,804,880      -7,283,710  22,896,260  26,651,990
2026-02-27 17.18 17.68 15.32 15.54          -9.70%        1.343         1.73% 16.450 16.054 12.513 10.781        -0.2304        死叉延续 48.96        -32,780,000     -94,540,440  11,033,836   3,811,946
2026-03-06 15.35 15.38 14.16 14.62          -5.92%        1.041         1.38% 15.840 15.918 12.555 10.819        -0.4798        死叉延续 43.92         -1,580,000      40,996,680   7,035,836   8,868,754
2026-03-13 14.40 14.55 13.57 13.70          -6.29%        1.459         2.49% 15.127 15.707 12.577 10.848        -0.7405        死叉延续 39.53          3,945,670     -93,824,930  -8,665,030 -27,832,232
2026-03-20 13.65 14.58 13.55 13.87           1.24%        0.789         1.21% 14.708 15.532 12.603 10.878        -0.8538        死叉延续 40.71          8,263,560      20,852,110  -4,791,130 -26,760,058
2026-03-27 13.70 13.80 13.00 13.22          -4.69%        1.060         1.69% 14.212 15.311 12.615 10.901        -0.9716        死叉延续 37.68        -11,400,000     -66,000,000  -6,710,154 -38,503,316
2026-04-03 13.15 13.40 12.81 13.25           0.23%        0.752         1.06% 13.891 15.115 12.628 10.925        -0.9969        死叉延续 37.91         11,235,250     -36,980,000 -17,096,208   4,327,490
2026-04-10 13.45 14.34 13.28 13.88           4.75%        0.827         1.08% 13.887 14.998 12.653 10.954        -0.8841        死叉延续 42.68         50,991,160     -10,100,000  12,607,128 -37,210,564
2026-04-17 13.88 14.58 13.68 14.13           1.80%        0.808         0.94% 13.968 14.915 12.682 10.986        -0.7371        死叉延续 44.50         36,410,780      48,850,000  19,100,150  -8,675,578
2026-04-24 14.34 14.37 13.08 13.29          -5.94%        0.986         1.15% 13.742 14.760 12.694 11.008        -0.7139        死叉延续 39.91         27,213,980     -34,712,940  22,890,234 -19,788,588
2026-05-01 13.15 13.44 12.80 13.01          -2.11%        1.092         1.34% 13.498 14.593 12.700 11.028        -0.6963        死叉延续 38.49        -13,440,000       6,503,500 -18,946,838   6,151,764
2026-05-08 13.01 13.74 12.91 13.45           3.38%        0.745         0.82% 13.482 14.485 12.715 11.052        -0.5898        死叉延续 41.99         -7,637,670       6,230,080  18,707,650   3,354,128
2026-05-15 13.44 13.82 13.05 13.31          -1.04%        1.302         1.68% 13.425 14.373 12.727 11.075        -0.5057        死叉延续 41.19        -69,237,650     -45,530,610  -5,338,112  -3,731,994
2026-05-22 13.31 13.85 13.05 13.08          -1.73%        1.027         1.34% 13.310 14.250 12.734 11.095        -0.4504        死叉延续 39.84        -26,410,000     -13,286,490 -17,902,268 -16,159,292
2026-05-29 13.09 13.53 12.73 13.06          -0.15%        1.331         2.09% 13.227 14.136 12.740 11.114        -0.3883        死叉延续 39.72           -294,300     -84,945,630 -23,403,924 -26,205,830
2026-06-05 13.15 14.63 12.76 13.84           5.97%        1.287         2.35% 13.431 14.108 12.762 11.142        -0.2222        死叉延续 46.58         53,140,000     163,067,390 -10,087,924   5,106,948
2026-06-12 13.84 14.88 13.66 14.61           5.56%        1.112         2.16% 13.824 14.156 12.799 11.176        -0.0003        死叉延续 52.35         59,796,660      73,460,000   3,398,942  18,552,932
2026-06-19 14.90 15.41 14.54 14.69           0.55%        0.886         1.62% 14.113 14.207 12.836 11.211         0.1568          金叉 52.92         82,660,000     -26,240,000   6,500,002  -9,374,236
2026-06-26 14.52 15.76 14.05 14.31          -2.59%        1.303         2.81% 14.178 14.217 12.865 11.242         0.2061        金叉延续 49.87         60,770,000     151,980,000  51,214,472  55,464,352
2026-07-03 14.22 15.39 14.21 15.25           6.57%        0.757         1.46% 14.536 14.315 12.912 11.282         0.3531        金叉延续 56.54         33,254,180      34,668,900  57,924,168  79,387,258
2026-07-10 16.21 16.30 14.58 14.64          -4.00%        1.058         2.10% 14.570 14.346 12.947 11.315         0.3550        金叉延续 51.73         36,390,000      17,290,970  54,574,168  50,231,974
2026-07-17 14.74 15.30 14.15 14.87           1.57%        0.931         1.79% 14.670 14.396 12.985 11.351         0.3724        金叉延续 53.34         33,145,848      56,492,298  49,244,006  46,838,434
2026-07-24 15.03 15.50 14.70 15.24           2.49%        0.875         1.58% 14.860 14.476 13.029 11.389         0.4155        金叉延续 55.89         61,133,766     126,968,152  44,938,759  77,480,064
2026-07-31 15.30 15.43 14.73 14.93          -2.03%        0.625         0.95% 14.883 14.519 13.067 11.424         0.3847        金叉延续 53.26        -11,126,186     -10,575,406  30,559,522  44,968,983
2026-08-07 14.91 14.93 14.17 14.42          -3.42%        0.940         1.39% 14.729 14.510 13.094 11.454         0.2829        金叉延续 49.17         27,789,776    -108,075,382  29,466,641  16,420,126
2026-08-14 14.43 14.69 14.06 14.24          -1.25%        0.844         1.16% 14.566 14.484 13.117 11.482         0.1833        金叉延续 47.78         37,182,120     -44,427,566  29,625,065   4,076,419
