问题: 对南方恒生科技 (03033)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date open high  low close week_change_pct volume_ratio turnover_rate  ema5 ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow      inst_5ma      ind_5ma
2026-02-06 5.53 5.53 5.15  5.23          -6.61%        1.246        68.27% 5.482 5.559  5.011  4.998        -0.0876        死叉延续 42.71      1,260,130,000    -947,590,000   580,972,000 -262,143,986
2026-02-13 5.34 5.40 5.20  5.24           0.19%        0.782        37.50% 5.401 5.529  5.016  5.000        -0.1089        死叉延续 42.98      1,046,740,000     418,760,000   551,420,000 -112,354,000
2026-02-20 5.23 5.26 5.10  5.11          -2.48%        0.377        13.76% 5.304 5.489  5.017  5.001        -0.1338        死叉延续 40.31        270,180,000     -10,730,000   462,616,000  -95,618,000
2026-02-27 5.16 5.30 4.99  5.03          -1.57%        1.229        49.50% 5.213 5.445  5.018  5.001        -0.1528        死叉延续 38.72      2,193,760,000      24,620,000   926,418,000 -104,408,000
2026-03-06 4.95 4.97 4.64  4.84          -3.78%        1.811       113.98% 5.088 5.387  5.014  5.000        -0.1809        死叉延续 35.16      3,807,580,000   1,231,490,000 1,715,678,000  143,310,000
2026-03-13 4.65 5.01 4.63  4.87           0.62%        0.921        54.35% 5.016 5.338  5.011  4.998        -0.1847        死叉延续 36.16        676,130,000  -1,124,670,000 1,598,878,000  107,894,000
2026-03-20 4.89 5.12 4.73  4.77          -2.05%        0.902        48.90% 4.934 5.284  5.007  4.996        -0.1893        死叉延续 34.27        844,530,000  -1,308,480,000 1,558,436,000 -237,554,000
2026-03-27 4.68 4.84 4.56  4.68          -1.89%        1.100        59.89% 4.849 5.226  5.000  4.993        -0.1924        死叉延续 32.61       -735,270,000  -2,361,400,000 1,357,346,000 -707,688,000
2026-04-03 4.55 4.68 4.51  4.57          -2.35%        0.647        30.63% 4.756 5.164  4.992  4.989        -0.1965        死叉延续 30.66      1,176,710,000     694,160,000   510,008,752  159,664,000
2026-04-10 4.74 4.83 4.71  4.76           4.16%        0.746        31.87% 4.757 5.125  4.987  4.987        -0.1623        死叉延续 37.60        296,200,000     325,200,000   451,660,000 -755,038,000
2026-04-17 4.72 4.99 4.69  4.94           3.78%        1.054        46.85% 4.818 5.108  4.986  4.986        -0.1068        死叉延续 43.37         85,300,000     409,700,000   333,494,000 -448,164,000
2026-04-24 4.95 5.00 4.67  4.80          -2.83%        0.866        36.00% 4.812 5.079  4.982  4.984        -0.0814        死叉延续 40.25       -123,300,000     202,090,000   139,928,000 -146,050,000
2026-05-01 4.81 4.87 4.71  4.78          -0.42%        0.762        27.78% 4.801 5.050  4.978  4.982        -0.0608        死叉延续 39.81      1,303,334,400     375,060,000   748,365,632  241,042,000
2026-05-08 4.84 5.03 4.75  5.00           4.60%        0.915        32.20% 4.868 5.045  4.979  4.982        -0.0134        死叉延续 46.72         10,110,000     415,040,000   314,328,880  345,418,000
2026-05-15 4.96 5.14 4.81  4.83          -3.40%        1.226        49.20% 4.855 5.025  4.976  4.981        -0.0015        死叉延续 42.65       -230,630,000  -1,426,080,000   208,962,880   -4,838,000
2026-05-22 4.79 4.83 4.66  4.76          -1.45%        1.129        47.45% 4.823 5.000  4.972  4.979         0.0003          金叉 41.06        337,010,000     801,050,000   259,304,880   73,432,000
2026-05-29 4.82 4.90 4.71  4.78           0.42%        1.189        56.83% 4.809 4.979  4.968  4.977         0.0071        金叉延续 41.73        955,740,000   2,027,860,000   475,112,880  438,586,000
2026-06-05 4.79 5.10 4.77  4.79           0.21%        1.352        82.26% 4.803 4.961  4.964  4.975         0.0155        金叉延续 42.08        558,850,000     531,850,000   326,216,000  469,944,000
2026-06-12 4.70 4.73 4.50  4.61          -3.76%        1.424       110.55% 4.738 4.927  4.957  4.971         0.0001        金叉延续 37.66        977,470,000    -524,870,000   519,688,000  281,962,000
2026-06-19 4.68 4.70 4.48  4.51          -2.17%        0.651        44.87% 4.662 4.888  4.948  4.967        -0.0192          死叉 35.43        -14,771,330    -405,580,000   582,945,366   14,242,000
2026-06-26 4.51 4.51 4.15  4.18          -7.32%        1.207        92.95% 4.502 4.820  4.933  4.959        -0.0692        死叉延续 29.27        629,350,000     754,280,000   621,327,734  476,708,000
2026-07-03 4.23 4.50 4.23  4.42           5.74%        0.979        77.25% 4.474 4.782  4.923  4.953        -0.0629        死叉延续 37.74          5,750,000     336,120,000   431,329,734  138,360,000
2026-07-10 4.43 4.77 4.37  4.63           4.75%        1.141        99.53% 4.526 4.768  4.917  4.950        -0.0254        死叉延续 44.06        168,660,000     641,570,000   353,291,734  160,304,000
2026-07-17 4.63 4.81 4.48  4.53          -2.16%        1.142       108.93% 4.527 4.745  4.910  4.946        -0.0098        死叉延续 41.88      2,353,509,664   1,023,457,249   628,499,667  469,969,450
2026-07-24 4.61 4.75 4.50  4.54           0.22%        1.219       130.39% 4.532 4.725  4.902  4.942         0.0054          金叉 42.19      3,514,442,095   1,140,288,409 1,334,342,352  779,143,132
2026-07-31 4.55 4.82 4.53  4.73           4.19%        1.047       113.87% 4.598 4.726  4.899  4.940         0.0424        金叉延续 47.84      2,726,814,116     533,584,043 1,753,835,175  735,003,940
2026-08-07 4.76 4.85 4.69  4.77           0.85%        0.901        95.97% 4.655 4.730  4.896  4.938         0.0720        金叉延续 48.97      2,707,041,576     468,178,761 2,294,093,490  761,415,692
2026-08-14 4.80 4.84 4.61  4.62          -3.14%        0.882        90.21% 4.643 4.720  4.891  4.935         0.0709        金叉延续 45.03      1,719,603,416   1,468,638,458 2,604,282,173  926,829,384
2026-08-21 4.67 4.73 4.57  4.67           1.08%        0.863        83.90% 4.652 4.715  4.886  4.932         0.0760        金叉延续 46.57      1,125,943,730     656,213,246 2,358,768,987  853,380,583
2026-08-28 4.61 4.61 4.46  4.52          -3.21%        0.808        71.46% 4.608 4.696  4.879  4.928         0.0590        金叉延续 42.70      2,015,508,484     655,342,021   909,914,311  280,564,404

--------------------------------------------------------------------------------
生成时间: 2026-08-28 17:48:23
