问题: 对协鑫科技 (03800)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date open high  low close week_change_pct volume_ratio turnover_rate  ema5 ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow    inst_5ma     ind_5ma
2026-02-06 1.07 1.19 1.03  1.11           2.78%        1.275         8.02% 1.106 1.151  1.220  1.310        -0.0322        死叉延续 47.16         21,274,770     288,889,590  36,070,954  87,719,136
2026-02-13 1.17 1.22 1.16  1.20           8.11%        1.109         7.38% 1.138 1.156  1.220  1.309        -0.0142        死叉延续 52.45        207,300,000      76,630,000  71,466,954 101,283,136
2026-02-20 1.20 1.22 1.17  1.21           0.83%        0.116         0.53% 1.162 1.161  1.220  1.308        -0.0008        死叉延续 53.01         -5,520,000       8,890,000  56,250,954 123,889,918
2026-02-27 1.22 1.28 1.18  1.20          -0.83%        1.035         4.86% 1.175 1.165  1.219  1.307         0.0066          金叉 52.35        -31,555,970      36,058,630  14,679,760 101,173,644
2026-03-06 1.17 1.20 1.03  1.08         -10.00%        1.122         5.62% 1.143 1.157  1.217  1.305        -0.0043          死叉 45.02       -107,720,000     -64,590,000  16,755,760  69,175,644
2026-03-13 1.06 1.16 1.02  1.07          -0.93%        1.090         5.72% 1.119 1.148  1.214  1.302        -0.0120        死叉延续 44.46         50,918,910      -8,385,620  22,684,588   9,720,602
2026-03-20 1.07 1.08 0.95  0.99          -7.48%        1.044         5.58% 1.076 1.133  1.209  1.299        -0.0262        死叉延续 40.17       -190,820,000      96,858,930 -56,939,412  13,766,388
2026-03-27 0.96 0.97 0.88  0.90          -9.09%        1.022         5.53% 1.017 1.111  1.203  1.295        -0.0450        死叉延续 35.97        -92,605,470      19,410,000 -74,356,506  15,870,388
2026-04-03 0.89 0.94 0.84  0.94           4.44%        0.750         3.62% 0.991 1.095  1.198  1.292        -0.0489        死叉延续 39.02         44,310,000      32,260,000  40,393,722  -2,718,564
2026-04-10 0.97 1.01 0.96  0.98           4.26%        0.537         2.10% 0.988 1.084  1.194  1.289        -0.0432        死叉延续 42.00         13,085,370      44,630,000 -35,022,238  36,954,662
2026-04-17 0.98 1.02 0.94  0.97          -1.02%        1.140         4.80% 0.982 1.073  1.189  1.286        -0.0381        死叉延续 41.46        -60,622,780      51,610,000 -57,330,576  48,953,786
2026-04-24 0.97 1.03 0.96  1.00           3.09%        0.839         3.27% 0.988 1.066  1.185  1.283        -0.0284        死叉延续 43.82         86,200,000      -3,180,000  -1,926,576  28,946,000
2026-05-01 0.99 1.00 0.89  0.90         -10.00%        0.903         3.35% 0.959 1.050  1.180  1.279        -0.0329        死叉延续 38.28        -68,820,000    -188,420,000  26,547,722 -46,545,526
2026-05-08 0.91 0.94 0.87  0.91           1.11%        0.929         3.34% 0.942 1.037  1.174  1.275        -0.0319        死叉延续 39.11         19,588,650      -5,715,930  -2,113,752 -20,215,186
2026-05-15 0.92 0.93 0.87  0.89          -2.20%        0.912         3.13% 0.925 1.023  1.169  1.271        -0.0313        死叉延续 38.01        -31,390,000      -5,575,950 -11,008,826 -30,256,376
2026-05-22 0.89 0.90 0.80  0.82          -7.87%        1.024         3.57% 0.890 1.004  1.162  1.267        -0.0373        死叉延续 34.37        -72,626,090     -93,910,000 -13,409,488 -59,360,376
2026-05-29 0.82 0.85 0.79  0.83           1.22%        0.789         2.48% 0.870 0.987  1.155  1.263        -0.0368        死叉延续 35.32         25,574,600      -5,550,000 -25,534,568 -59,834,376
2026-06-05 0.83 0.84 0.72  0.73         -12.05%        1.243         4.45% 0.823 0.963  1.147  1.257        -0.0462        死叉延续 30.55        -47,610,000    -140,920,000 -21,292,568 -50,334,376
2026-06-12 0.71 0.79 0.68  0.73           0.00%        1.296         5.47% 0.792 0.940  1.139  1.252        -0.0484        死叉延续 30.55         99,012,420     126,750,000  -5,407,814 -23,841,190
2026-06-19 0.75 0.78 0.68  0.70          -4.11%        0.790         3.02% 0.761 0.918  1.130  1.246        -0.0498        死叉延续 29.18        -14,050,000        -130,000  12,867,722 -36,739,526
2026-06-26 0.70 0.73 0.65  0.68          -2.86%        1.344         6.25% 0.734 0.895  1.121  1.241        -0.0492        死叉延续 28.26        233,612,310         299,900  59,307,866  -3,910,020
2026-07-03 0.68 0.72 0.66  0.68           0.00%        0.740         3.08% 0.716 0.874  1.112  1.235        -0.0447        死叉延续 28.26         16,620,000     -35,880,000  57,516,946  -9,976,020
2026-07-10 0.68 0.68 0.61  0.64          -5.88%        0.947         3.86% 0.691 0.852  1.103  1.229        -0.0429        死叉延续 26.35         28,330,000      12,539,720  72,704,946  20,715,924
2026-07-17 0.64 0.64 0.58  0.60          -6.25%        1.065         4.50% 0.661 0.828  1.093  1.223        -0.0430        死叉延续 24.57         24,332,940       5,868,200  57,769,050  -3,460,436
2026-07-24 0.60 0.64 0.55  0.60           0.00%        0.951         3.92% 0.640 0.806  1.083  1.217        -0.0389        死叉延续 24.57         66,521,120      66,232,360  73,883,274   9,812,036
2026-07-31 0.60 0.63 0.59  0.61           1.67%        0.684         2.43% 0.630 0.788  1.074  1.211        -0.0311        死叉延续 26.02         24,894,890      53,389,990  32,139,790  20,430,054
