问题: 对众安在线 (06060)进行周度走势复盘分析，复盘区间：2026年02月06日 – 2026年08月28日（共30周）

      date  open  high   low close week_change_pct volume_ratio turnover_rate   ema5  ema20 ema100 ema200 macd_histogram macd_status rsi14 institutional_flow individual_flow   inst_5ma     ind_5ma
2026-02-06 16.60 16.60 15.41 15.46          -7.09%        0.947         3.04% 16.276 16.440 16.329 19.512        -0.0688          死叉 44.46          2,520,000       3,129,110 13,357,764    -821,854
2026-02-13 15.70 16.80 15.63 16.12           4.27%        0.933         2.90% 16.224 16.409 16.325 19.479        -0.0752        死叉延续 48.39          7,428,580        -711,760 -4,134,520 -15,687,204
2026-02-20 16.18 16.41 15.78 15.91          -1.30%        0.161         0.36% 16.119 16.362 16.317 19.443        -0.1010        死叉延续 47.25          3,720,000       1,698,190 -1,365,078     184,434
2026-02-27 15.98 16.94 15.15 15.33          -3.65%        1.359         3.63% 15.856 16.263 16.297 19.402        -0.1848        死叉延续 44.13        -33,830,000      -2,251,530 -7,656,854   5,014,128
2026-03-06 15.00 15.00 13.53 14.23          -7.18%        1.265         3.88% 15.314 16.070 16.256 19.351        -0.3664        死叉延续 38.90          4,459,970     -10,282,100 -3,140,290  -1,683,618
2026-03-13 13.66 14.60 13.63 14.03          -1.41%        0.844         2.41% 14.886 15.876 16.212 19.298        -0.4841        死叉延续 38.01         -6,847,330     -25,859,650 -5,013,756  -7,481,370
2026-03-20 14.13 15.47 13.54 13.70          -2.35%        1.371         4.81% 14.491 15.668 16.162 19.242        -0.5710        死叉延续 36.54         55,983,760      75,211,340  4,697,280   7,703,250
2026-03-27 13.30 13.68 12.89 13.28          -3.07%        0.899         3.00% 14.087 15.441 16.105 19.183        -0.6443        死叉延续 34.70         -4,556,950     -49,230,000  3,041,890  -2,482,388
2026-04-03 13.19 13.19 12.60 12.77          -3.84%        0.847         2.63% 13.648 15.187 16.039 19.119        -0.7153        死叉延续 32.55          9,358,890     -18,002,380  5,563,692   1,984,448
2026-04-10 13.14 13.96 12.84 13.60           6.50%        1.106         3.63% 13.632 15.035 15.991 19.064        -0.6084        死叉延续 39.15          3,829,050      44,980,000 11,553,484   5,419,862
