Signal_Date,Signal_Name,Details
2021-05-06,头肩顶,"{'Signal_Date': Timestamp('2021-05-06 00:00:00'), 'Break_Price': 8.41, 'Neckline': 8.46666666666664, 'Volume_Ratio': 1.8678, 'Left_Shoulder_Date': Timestamp('2021-02-22 00:00:00'), 'Left_Shoulder_Price': 7.64, 'Head_Date': Timestamp('2021-03-16 00:00:00'), 'Head_Price': 8.92, 'Right_Shoulder_Date': Timestamp('2021-04-15 00:00:00'), 'Right_Shoulder_Price': 8.72}"
2021-07-05,头肩顶,"{'Signal_Date': Timestamp('2021-07-05 00:00:00'), 'Break_Price': 9.27, 'Neckline': 10.478571428571513, 'Volume_Ratio': 2.1802, 'Left_Shoulder_Date': Timestamp('2021-04-26 00:00:00'), 'Left_Shoulder_Price': 8.86, 'Head_Date': Timestamp('2021-06-03 00:00:00'), 'Head_Price': 11.61, 'Right_Shoulder_Date': Timestamp('2021-06-29 00:00:00'), 'Right_Shoulder_Price': 10.77}"
2021-09-16,头肩顶,"{'Signal_Date': Timestamp('2021-09-16 00:00:00'), 'Break_Price': 8.19, 'Neckline': 8.349999999999996, 'Volume_Ratio': 1.5915, 'Left_Shoulder_Date': Timestamp('2021-04-26 00:00:00'), 'Left_Shoulder_Price': 8.86, 'Head_Date': Timestamp('2021-07-15 00:00:00'), 'Head_Price': 10.19, 'Right_Shoulder_Date': Timestamp('2021-09-03 00:00:00'), 'Right_Shoulder_Price': 9.11}"
2022-02-24,头肩顶,"{'Signal_Date': Timestamp('2022-02-24 00:00:00'), 'Break_Price': 8.1, 'Neckline': 8.501052631578943, 'Volume_Ratio': 1.8455, 'Left_Shoulder_Date': Timestamp('2021-12-13 00:00:00'), 'Left_Shoulder_Price': 7.81, 'Head_Date': Timestamp('2022-01-21 00:00:00'), 'Head_Price': 9.11, 'Right_Shoulder_Date': Timestamp('2022-02-10 00:00:00'), 'Right_Shoulder_Price': 8.91}"
2022-03-08,头肩顶,"{'Signal_Date': Timestamp('2022-03-08 00:00:00'), 'Break_Price': 7.76, 'Neckline': 7.826470588235296, 'Volume_Ratio': 1.7958, 'Left_Shoulder_Date': Timestamp('2021-04-26 00:00:00'), 'Left_Shoulder_Price': 8.86, 'Head_Date': Timestamp('2021-09-03 00:00:00'), 'Head_Price': 9.11, 'Right_Shoulder_Date': Timestamp('2022-02-10 00:00:00'), 'Right_Shoulder_Price': 8.91}"
2022-03-15,头肩顶,"{'Signal_Date': Timestamp('2022-03-15 00:00:00'), 'Break_Price': 6.58, 'Neckline': 6.78, 'Volume_Ratio': 2.3456, 'Left_Shoulder_Date': Timestamp('2021-02-03 00:00:00'), 'Left_Shoulder_Price': 7.61, 'Head_Date': Timestamp('2021-02-22 00:00:00'), 'Head_Price': 7.64, 'Right_Shoulder_Date': Timestamp('2021-11-17 00:00:00'), 'Right_Shoulder_Price': 7.57}"
2023-05-18,头肩顶,"{'Signal_Date': Timestamp('2023-05-18 00:00:00'), 'Break_Price': 6.71, 'Neckline': 6.950102564102565, 'Volume_Ratio': 1.6059, 'Left_Shoulder_Date': Timestamp('2022-10-05 00:00:00'), 'Left_Shoulder_Price': 7.16, 'Head_Date': Timestamp('2023-04-24 00:00:00'), 'Head_Price': 7.47, 'Right_Shoulder_Date': Timestamp('2023-05-05 00:00:00'), 'Right_Shoulder_Price': 7.46}"
2024-01-22,头肩顶,"{'Signal_Date': Timestamp('2024-01-22 00:00:00'), 'Break_Price': 5.13, 'Neckline': 5.497500000000002, 'Volume_Ratio': 1.5149, 'Left_Shoulder_Date': Timestamp('2023-11-16 00:00:00'), 'Left_Shoulder_Price': 6.71, 'Head_Date': Timestamp('2023-12-01 00:00:00'), 'Head_Price': 6.82, 'Right_Shoulder_Date': Timestamp('2023-12-15 00:00:00'), 'Right_Shoulder_Price': 6.61}"
2024-07-30,头肩顶,"{'Signal_Date': Timestamp('2024-07-30 00:00:00'), 'Break_Price': 5.27, 'Neckline': 5.68666666666666, 'Volume_Ratio': 2.2498, 'Left_Shoulder_Date': Timestamp('2024-01-26 00:00:00'), 'Left_Shoulder_Price': 5.76, 'Head_Date': Timestamp('2024-02-26 00:00:00'), 'Head_Price': 5.88, 'Right_Shoulder_Date': Timestamp('2024-07-23 00:00:00'), 'Right_Shoulder_Price': 5.78}"
2024-08-21,头肩顶,"{'Signal_Date': Timestamp('2024-08-21 00:00:00'), 'Break_Price': 5.28, 'Neckline': 5.553043478260875, 'Volume_Ratio': 4.5316, 'Left_Shoulder_Date': Timestamp('2023-10-12 00:00:00'), 'Left_Shoulder_Price': 5.38, 'Head_Date': Timestamp('2024-02-06 00:00:00'), 'Head_Price': 5.66, 'Right_Shoulder_Date': Timestamp('2024-08-08 00:00:00'), 'Right_Shoulder_Price': 5.59}"
2024-08-22,头肩顶,"{'Signal_Date': Timestamp('2024-08-22 00:00:00'), 'Break_Price': 4.46, 'Neckline': 5.054000000000002, 'Volume_Ratio': 7.4387, 'Left_Shoulder_Date': Timestamp('2024-05-14 00:00:00'), 'Left_Shoulder_Price': 6.36, 'Head_Date': Timestamp('2024-05-28 00:00:00'), 'Head_Price': 6.67, 'Right_Shoulder_Date': Timestamp('2024-08-08 00:00:00'), 'Right_Shoulder_Price': 5.59}"
2025-01-03,头肩顶,"{'Signal_Date': Timestamp('2025-01-03 00:00:00'), 'Break_Price': 4.35, 'Neckline': 4.405434782608694, 'Volume_Ratio': 1.843, 'Left_Shoulder_Date': Timestamp('2024-08-30 00:00:00'), 'Left_Shoulder_Price': 4.53, 'Head_Date': Timestamp('2024-11-08 00:00:00'), 'Head_Price': 5.31, 'Right_Shoulder_Date': Timestamp('2024-12-23 00:00:00'), 'Right_Shoulder_Price': 4.64}"
2025-09-11,头肩顶,"{'Signal_Date': Timestamp('2025-09-11 00:00:00'), 'Break_Price': 9.98, 'Neckline': 11.170952380952372, 'Volume_Ratio': 3.3843, 'Left_Shoulder_Date': Timestamp('2025-05-06 00:00:00'), 'Left_Shoulder_Price': 6.11, 'Head_Date': Timestamp('2025-06-10 00:00:00'), 'Head_Price': 9.34, 'Right_Shoulder_Date': Timestamp('2025-07-04 00:00:00'), 'Right_Shoulder_Price': 8.32}"
2025-10-09,头肩顶,"{'Signal_Date': Timestamp('2025-10-09 00:00:00'), 'Break_Price': 9.26, 'Neckline': 9.610000000000014, 'Volume_Ratio': 2.2431, 'Left_Shoulder_Date': Timestamp('2025-08-18 00:00:00'), 'Left_Shoulder_Price': 10.99, 'Head_Date': Timestamp('2025-09-09 00:00:00'), 'Head_Price': 11.49, 'Right_Shoulder_Date': Timestamp('2025-10-08 00:00:00'), 'Right_Shoulder_Price': 9.7}"
2025-10-14,头肩顶,"{'Signal_Date': Timestamp('2025-10-14 00:00:00'), 'Break_Price': 8.65, 'Neckline': 9.196666666666658, 'Volume_Ratio': 2.8042, 'Left_Shoulder_Date': Timestamp('2025-07-30 00:00:00'), 'Left_Shoulder_Price': 10.6, 'Head_Date': Timestamp('2025-08-18 00:00:00'), 'Head_Price': 10.99, 'Right_Shoulder_Date': Timestamp('2025-10-08 00:00:00'), 'Right_Shoulder_Price': 9.7}"
2026-02-26,头肩顶,"{'Signal_Date': Timestamp('2026-02-26 00:00:00'), 'Break_Price': 9.54, 'Neckline': 10.08500000000015, 'Volume_Ratio': 1.5865, 'Left_Shoulder_Date': Timestamp('2025-11-26 00:00:00'), 'Left_Shoulder_Price': 8.32, 'Head_Date': Timestamp('2026-01-30 00:00:00'), 'Head_Price': 10.96, 'Right_Shoulder_Date': Timestamp('2026-02-23 00:00:00'), 'Right_Shoulder_Price': 10.89}"
2026-05-27,头肩顶,"{'Signal_Date': Timestamp('2026-05-27 00:00:00'), 'Break_Price': 7.04, 'Neckline': 7.161538461538498, 'Volume_Ratio': 2.9007, 'Left_Shoulder_Date': Timestamp('2026-01-14 00:00:00'), 'Left_Shoulder_Price': 10.16, 'Head_Date': Timestamp('2026-02-23 00:00:00'), 'Head_Price': 10.89, 'Right_Shoulder_Date': Timestamp('2026-04-08 00:00:00'), 'Right_Shoulder_Price': 9.94}"
2022-03-15,双顶,"{'Signal_Date': Timestamp('2022-03-15 00:00:00'), 'Break_Price': 6.58, 'Neckline': 6.78, 'Volume_Ratio': 2.3456, 'Left_Peak_Date': Timestamp('2021-02-03 00:00:00'), 'Left_Peak_Price': 7.61, 'Right_Peak_Date': Timestamp('2021-02-22 00:00:00'), 'Right_Peak_Price': 7.64, 'Valley_Date': Timestamp('2021-02-09 00:00:00'), 'Valley_Price': 6.78}"
2021-11-10,双顶,"{'Signal_Date': Timestamp('2021-11-10 00:00:00'), 'Break_Price': 7.39, 'Neckline': 7.44, 'Volume_Ratio': 1.6158, 'Left_Peak_Date': Timestamp('2021-03-16 00:00:00'), 'Left_Peak_Price': 8.92, 'Right_Peak_Date': Timestamp('2021-04-15 00:00:00'), 'Right_Peak_Price': 8.72, 'Valley_Date': Timestamp('2021-03-25 00:00:00'), 'Valley_Price': 7.44}"
2022-03-08,双顶,"{'Signal_Date': Timestamp('2022-03-08 00:00:00'), 'Break_Price': 7.76, 'Neckline': 7.86, 'Volume_Ratio': 1.7958, 'Left_Peak_Date': Timestamp('2022-01-21 00:00:00'), 'Left_Peak_Price': 9.11, 'Right_Peak_Date': Timestamp('2022-02-10 00:00:00'), 'Right_Peak_Price': 8.91, 'Valley_Date': Timestamp('2022-01-27 00:00:00'), 'Valley_Price': 7.86}"
2023-05-29,双顶,"{'Signal_Date': Timestamp('2023-05-29 00:00:00'), 'Break_Price': 6.12, 'Neckline': 6.29, 'Volume_Ratio': 2.3305, 'Left_Peak_Date': Timestamp('2022-02-10 00:00:00'), 'Left_Peak_Price': 8.91, 'Right_Peak_Date': Timestamp('2022-04-04 00:00:00'), 'Right_Peak_Price': 8.8, 'Valley_Date': Timestamp('2022-03-15 00:00:00'), 'Valley_Price': 6.29}"
2023-05-31,双顶,"{'Signal_Date': Timestamp('2023-05-31 00:00:00'), 'Break_Price': 6.03, 'Neckline': 6.06, 'Volume_Ratio': 1.9264, 'Left_Peak_Date': Timestamp('2022-05-31 00:00:00'), 'Left_Peak_Price': 7.52, 'Right_Peak_Date': Timestamp('2022-07-11 00:00:00'), 'Right_Peak_Price': 7.61, 'Valley_Date': Timestamp('2022-06-17 00:00:00'), 'Valley_Price': 6.06}"
2022-08-24,双顶,"{'Signal_Date': Timestamp('2022-08-24 00:00:00'), 'Break_Price': 6.76, 'Neckline': 7.07, 'Volume_Ratio': 1.7213, 'Left_Peak_Date': Timestamp('2022-07-28 00:00:00'), 'Left_Peak_Price': 7.89, 'Right_Peak_Date': Timestamp('2022-08-15 00:00:00'), 'Right_Peak_Price': 7.97, 'Valley_Date': Timestamp('2022-08-02 00:00:00'), 'Valley_Price': 7.07}"
2023-05-18,双顶,"{'Signal_Date': Timestamp('2023-05-18 00:00:00'), 'Break_Price': 6.71, 'Neckline': 6.81, 'Volume_Ratio': 1.6059, 'Left_Peak_Date': Timestamp('2023-03-07 00:00:00'), 'Left_Peak_Price': 8.1, 'Right_Peak_Date': Timestamp('2023-03-22 00:00:00'), 'Right_Peak_Price': 7.99, 'Valley_Date': Timestamp('2023-03-20 00:00:00'), 'Valley_Price': 6.81}"
2023-10-03,双顶,"{'Signal_Date': Timestamp('2023-10-03 00:00:00'), 'Break_Price': 4.85, 'Neckline': 4.98, 'Volume_Ratio': 2.231, 'Left_Peak_Date': Timestamp('2023-08-30 00:00:00'), 'Left_Peak_Price': 5.41, 'Right_Peak_Date': Timestamp('2023-09-18 00:00:00'), 'Right_Peak_Price': 5.57, 'Valley_Date': Timestamp('2023-09-06 00:00:00'), 'Valley_Price': 4.98}"
2024-01-11,双顶,"{'Signal_Date': Timestamp('2024-01-11 00:00:00'), 'Break_Price': 5.93, 'Neckline': 6.13, 'Volume_Ratio': 3.1099, 'Left_Peak_Date': Timestamp('2023-11-16 00:00:00'), 'Left_Peak_Price': 6.71, 'Right_Peak_Date': Timestamp('2023-12-01 00:00:00'), 'Right_Peak_Price': 6.82, 'Valley_Date': Timestamp('2023-11-17 00:00:00'), 'Valley_Price': 6.13}"
2024-08-22,双顶,"{'Signal_Date': Timestamp('2024-08-22 00:00:00'), 'Break_Price': 4.46, 'Neckline': 5.11, 'Volume_Ratio': 7.4387, 'Left_Peak_Date': Timestamp('2024-03-14 00:00:00'), 'Left_Peak_Price': 6.26, 'Right_Peak_Date': Timestamp('2024-05-13 00:00:00'), 'Right_Peak_Price': 6.36, 'Valley_Date': Timestamp('2024-04-19 00:00:00'), 'Valley_Price': 5.11}"
2024-12-13,双顶,"{'Signal_Date': Timestamp('2024-12-13 00:00:00'), 'Break_Price': 4.56, 'Neckline': 4.57, 'Volume_Ratio': 1.9919, 'Left_Peak_Date': Timestamp('2024-11-22 00:00:00'), 'Left_Peak_Price': 5.04, 'Right_Peak_Date': Timestamp('2024-12-10 00:00:00'), 'Right_Peak_Price': 5.09, 'Valley_Date': Timestamp('2024-12-06 00:00:00'), 'Valley_Price': 4.57}"
2026-03-23,双顶,"{'Signal_Date': Timestamp('2026-03-23 00:00:00'), 'Break_Price': 8.27, 'Neckline': 9.12, 'Volume_Ratio': 1.5308, 'Left_Peak_Date': Timestamp('2026-01-30 00:00:00'), 'Left_Peak_Price': 10.96, 'Right_Peak_Date': Timestamp('2026-02-23 00:00:00'), 'Right_Peak_Price': 10.89, 'Valley_Date': Timestamp('2026-02-02 00:00:00'), 'Valley_Price': 9.12}"
2021-11-10,三重顶,"{'Signal_Date': Timestamp('2021-11-10 00:00:00'), 'Break_Price': 7.39, 'Neckline': 7.44, 'Volume_Ratio': 1.6158, 'Peak1_Date': Timestamp('2021-03-16 00:00:00'), 'Peak1_Price': 8.92, 'Peak2_Date': Timestamp('2021-04-15 00:00:00'), 'Peak2_Price': 8.72, 'Peak3_Date': Timestamp('2021-04-26 00:00:00'), 'Peak3_Price': 8.86}"
2023-05-29,三重顶,"{'Signal_Date': Timestamp('2023-05-29 00:00:00'), 'Break_Price': 6.12, 'Neckline': 6.29, 'Volume_Ratio': 2.3305, 'Peak1_Date': Timestamp('2022-01-21 00:00:00'), 'Peak1_Price': 9.11, 'Peak2_Date': Timestamp('2022-02-10 00:00:00'), 'Peak2_Price': 8.91, 'Peak3_Date': Timestamp('2022-04-04 00:00:00'), 'Peak3_Price': 8.8}"
2023-05-31,三重顶,"{'Signal_Date': Timestamp('2023-05-31 00:00:00'), 'Break_Price': 6.03, 'Neckline': 6.06, 'Volume_Ratio': 1.9264, 'Peak1_Date': Timestamp('2022-05-05 00:00:00'), 'Peak1_Price': 7.41, 'Peak2_Date': Timestamp('2022-05-31 00:00:00'), 'Peak2_Price': 7.52, 'Peak3_Date': Timestamp('2022-07-11 00:00:00'), 'Peak3_Price': 7.61}"
2022-08-24,三重顶,"{'Signal_Date': Timestamp('2022-08-24 00:00:00'), 'Break_Price': 6.76, 'Neckline': 7.03, 'Volume_Ratio': 1.7213, 'Peak1_Date': Timestamp('2022-07-11 00:00:00'), 'Peak1_Price': 7.61, 'Peak2_Date': Timestamp('2022-07-28 00:00:00'), 'Peak2_Price': 7.89, 'Peak3_Date': Timestamp('2022-08-15 00:00:00'), 'Peak3_Price': 7.97}"
2023-05-18,三重顶,"{'Signal_Date': Timestamp('2023-05-18 00:00:00'), 'Break_Price': 6.71, 'Neckline': 6.81, 'Volume_Ratio': 1.6059, 'Peak1_Date': Timestamp('2023-02-23 00:00:00'), 'Peak1_Price': 8.14, 'Peak2_Date': Timestamp('2023-03-07 00:00:00'), 'Peak2_Price': 8.1, 'Peak3_Date': Timestamp('2023-03-22 00:00:00'), 'Peak3_Price': 7.99}"
2024-08-22,三重顶,"{'Signal_Date': Timestamp('2024-08-22 00:00:00'), 'Break_Price': 4.46, 'Neckline': 4.66, 'Volume_Ratio': 7.4387, 'Peak1_Date': Timestamp('2023-08-30 00:00:00'), 'Peak1_Price': 5.41, 'Peak2_Date': Timestamp('2023-09-18 00:00:00'), 'Peak2_Price': 5.57, 'Peak3_Date': Timestamp('2023-10-12 00:00:00'), 'Peak3_Price': 5.38}"
2024-01-11,三重顶,"{'Signal_Date': Timestamp('2024-01-11 00:00:00'), 'Break_Price': 5.93, 'Neckline': 6.13, 'Volume_Ratio': 3.1099, 'Peak1_Date': Timestamp('2023-11-06 00:00:00'), 'Peak1_Price': 6.87, 'Peak2_Date': Timestamp('2023-11-16 00:00:00'), 'Peak2_Price': 6.71, 'Peak3_Date': Timestamp('2023-12-01 00:00:00'), 'Peak3_Price': 6.82}"
2024-01-22,三重顶,"{'Signal_Date': Timestamp('2024-01-22 00:00:00'), 'Break_Price': 5.13, 'Neckline': 5.9, 'Volume_Ratio': 1.5149, 'Peak1_Date': Timestamp('2023-11-16 00:00:00'), 'Peak1_Price': 6.71, 'Peak2_Date': Timestamp('2023-12-01 00:00:00'), 'Peak2_Price': 6.82, 'Peak3_Date': Timestamp('2023-12-15 00:00:00'), 'Peak3_Price': 6.61}"
2024-07-30,三重顶,"{'Signal_Date': Timestamp('2024-07-30 00:00:00'), 'Break_Price': 5.27, 'Neckline': 5.75, 'Volume_Ratio': 2.2498, 'Peak1_Date': Timestamp('2024-05-14 00:00:00'), 'Peak1_Price': 6.36, 'Peak2_Date': Timestamp('2024-05-28 00:00:00'), 'Peak2_Price': 6.67, 'Peak3_Date': Timestamp('2024-06-07 00:00:00'), 'Peak3_Price': 6.68}"
2025-03-21,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-03-21 00:00:00'), 'close': 4.61, 'ema5': 4.7171, 'ema20': 4.6176, 'macd_dif': 0.0688, 'macd_histogram': 0.0266, 'volume_ratio5': 1.7299}"
2025-03-24,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-03-24 00:00:00'), 'close': 4.52, 'ema5': 4.6514, 'ema20': 4.6083, 'macd_dif': 0.0525, 'macd_histogram': -0.0049, 'volume_ratio5': 0.6202}"
2025-03-25,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-03-25 00:00:00'), 'close': 4.46, 'ema5': 4.5876, 'ema20': 4.5942, 'macd_dif': 0.0343, 'macd_histogram': -0.0331, 'volume_ratio5': 0.4748}"
2025-05-09,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-05-09 00:00:00'), 'close': 5.5, 'ema5': 5.5846, 'ema20': 5.4888, 'macd_dif': 0.1987, 'macd_histogram': -0.102, 'volume_ratio5': 0.5371}"
2025-05-12,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-05-12 00:00:00'), 'close': 5.26, 'ema5': 5.4764, 'ema20': 5.467, 'macd_dif': 0.1569, 'macd_histogram': -0.1484, 'volume_ratio5': 1.4481}"
2025-05-13,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-05-13 00:00:00'), 'close': 5.29, 'ema5': 5.4143, 'ema20': 5.4501, 'macd_dif': 0.1248, 'macd_histogram': -0.1701, 'volume_ratio5': 0.5077}"
2025-08-26,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-08-26 00:00:00'), 'close': 10.24, 'ema5': 10.4097, 'ema20': 10.0625, 'macd_dif': 0.4408, 'macd_histogram': -0.12, 'volume_ratio5': 1.0376}"
2025-08-27,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-08-27 00:00:00'), 'close': 9.58, 'ema5': 10.1332, 'ema20': 10.0166, 'macd_dif': 0.3501, 'macd_histogram': -0.241, 'volume_ratio5': 1.3567}"
2025-08-28,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-08-28 00:00:00'), 'close': 9.3, 'ema5': 9.8554, 'ema20': 9.9483, 'macd_dif': 0.2528, 'macd_histogram': -0.3486, 'volume_ratio5': 1.2009}"
2025-09-12,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-09-12 00:00:00'), 'close': 10.21, 'ema5': 10.4699, 'ema20': 10.4228, 'macd_dif': 0.2392, 'macd_histogram': -0.1822, 'volume_ratio5': 0.7603}"
2025-09-15,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-09-15 00:00:00'), 'close': 10.4, 'ema5': 10.4466, 'ema20': 10.4206, 'macd_dif': 0.2106, 'macd_histogram': -0.1916, 'volume_ratio5': 0.6246}"
2025-09-16,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2025-09-16 00:00:00'), 'close': 10.14, 'ema5': 10.3444, 'ema20': 10.3939, 'macd_dif': 0.165, 'macd_histogram': -0.2262, 'volume_ratio5': 0.7386}"
2026-02-25,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2026-02-25 00:00:00'), 'close': 9.99, 'ema5': 10.1839, 'ema20': 10.0072, 'macd_dif': 0.2445, 'macd_histogram': -0.0743, 'volume_ratio5': 1.1285}"
2026-02-26,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2026-02-26 00:00:00'), 'close': 9.54, 'ema5': 9.9693, 'ema20': 9.9627, 'macd_dif': 0.1787, 'macd_histogram': -0.1647, 'volume_ratio5': 1.5865}"
2026-02-27,MACD顶背离 + 均线死叉,"{'Signal_Date': Timestamp('2026-02-27 00:00:00'), 'close': 9.9, 'ema5': 9.9462, 'ema20': 9.9567, 'macd_dif': 0.1539, 'macd_histogram': -0.1715, 'volume_ratio5': 1.1946}"
2025-03-24,MACD顶背离 + 成交量萎缩,"{'Signal_Date': Timestamp('2025-03-24 00:00:00'), 'close': 4.52, 'macd_dif': 0.0525, 'macd_histogram': -0.0049, 'volume': 86174683.0, 'volume_ratio5': 0.6202}"
2025-03-25,MACD顶背离 + 成交量萎缩,"{'Signal_Date': Timestamp('2025-03-25 00:00:00'), 'close': 4.46, 'macd_dif': 0.0343, 'macd_histogram': -0.0331, 'volume': 68305450.0, 'volume_ratio5': 0.4748}"
2025-03-26,MACD顶背离 + 成交量萎缩,"{'Signal_Date': Timestamp('2025-03-26 00:00:00'), 'close': 4.45, 'macd_dif': 0.0188, 'macd_histogram': -0.0512, 'volume': 54048104.0, 'volume_ratio5': 0.4098}"
2025-04-11,MACD顶背离 + 成交量萎缩,"{'Signal_Date': Timestamp('2025-04-11 00:00:00'), 'close': 5.03, 'macd_dif': 0.0907, 'macd_histogram': 0.0104, 'volume': 105620085.0, 'volume_ratio5': 0.4567}"
2025-04-15,MACD顶背离 + 成交量萎缩,"{'Signal_Date': Timestamp('2025-04-15 00:00:00'), 'close': 5.36, 'macd_dif': 0.1609, 'macd_histogram': 0.1036, 'volume': 109681094.0, 'volume_ratio5': 0.5565}"
2025-04-16,MACD顶背离 + 成交量萎缩,"{'Signal_Date': Timestamp('2025-04-16 00:00:00'), 'close': 5.19, 'macd_dif': 0.163, 'macd_histogram': 0.0863, 'volume': 109623380.0, 'volume_ratio5': 0.6078}"
