stock_code,data_type,rows,first_date,last_date,core_missing_rate,anomalies,grade,reasons
00020,daily_kline,1146,2021-12-30,2026-09-01,0.0,0,A,
00268,daily_kline,4099,2010-01-04,2026-09-01,0.0,0,A,
00354,daily_kline,4087,2010-01-04,2026-09-01,0.0,0,A,可清洗 7 条（停牌/无交易 7）
00357,daily_kline,4071,2010-01-04,2026-09-01,0.0,0,A,可清洗 33 条（停牌/无交易 33）
00371,daily_kline,4095,2010-01-04,2026-09-01,0.0,0,A,可清洗 209 条（前复权非正价格 208；停牌/无交易 1）
00700,daily_kline,4100,2010-01-04,2026-09-01,0.0,0,A,可清洗 4 条（前复权非正价格 4）
00788,daily_kline,1984,2018-08-08,2026-09-01,0.0,0,A,
01093,daily_kline,4099,2010-01-04,2026-09-01,0.0,0,A,可清洗 453 条（前复权非正价格 444；停牌/无交易 9）
01177,daily_kline,4097,2010-01-04,2026-09-01,0.0,0,A,可清洗 253 条（前复权非正价格 253）
01951,daily_kline,1770,2019-06-25,2026-09-01,0.0,0,A,
02202,daily_kline,2988,2014-06-25,2026-09-01,0.0,0,A,可清洗 3 条（停牌/无交易 3）
02602,daily_kline,962,2022-09-29,2026-09-01,0.0,0,A,
02611,daily_kline,2289,2017-04-11,2026-09-01,0.0,0,A,可清洗 1 条（停牌/无交易 1）
03033,daily_kline,1476,2020-08-28,2026-09-01,0.0,0,A,
03800,daily_kline,3952,2010-01-04,2026-09-01,0.0,0,A,可清洗 1 条（停牌/无交易 1）
06060,daily_kline,2194,2017-09-28,2026-09-01,0.0,0,A,
00020,daily_moneyflow,1141,2021-12-30,2026-09-01,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.6%）
00268,daily_moneyflow,1364,2021-02-03,2026-09-01,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.7%）
00354,daily_moneyflow,1364,2021-02-03,2026-09-01,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.7%）
00357,daily_moneyflow,1351,2021-02-03,2026-09-01,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.7%）
00371,daily_moneyflow,1365,2021-02-03,2026-09-01,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.7%）
00700,daily_moneyflow,1369,2021-02-03,2026-09-01,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.7%）
00788,daily_moneyflow,1351,2021-02-03,2026-09-01,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.7%）
01093,daily_moneyflow,1364,2021-02-03,2026-09-01,0.0,0,B,轻微缺失（核心 0.0% / 辅助 88.7%）
