module,prod_reachable,authority,decision_critical,decision
ablation.experiments,False,NONE,False,RESEARCH_ONLY
ablation.incremental,False,NONE,False,RESEARCH_ONLY
ablation.marginal,False,NONE,False,RESEARCH_ONLY
ablation.matrix,False,NONE,False,RESEARCH_ONLY
ablation.portfolio_counterfactual,False,NONE,False,RESEARCH_ONLY
ablation.statistical,False,NONE,False,RESEARCH_ONLY
alpha.correlation,False,NONE,False,RESEARCH_ONLY
alpha.halflife,False,NONE,False,RESEARCH_ONLY
alpha.registry,False,NONE,False,RESEARCH_ONLY
backtest.benchmark,False,NONE,False,RESEARCH_ONLY
backtest.benchmarks,False,NONE,False,RESEARCH_ONLY
backtest.calibration,False,NONE,False,RESEARCH_ONLY
backtest.canonical,True,NONE,False,MERGE
backtest.canonical_runs,False,NONE,False,RESEARCH_ONLY
backtest.cost_model,False,NONE,False,RESEARCH_ONLY
backtest.cross_sectional,False,NONE,False,RESEARCH_ONLY
backtest.cross_validation,False,NONE,False,RESEARCH_ONLY
backtest.data_pipeline,False,NONE,False,RESEARCH_ONLY
backtest.engine,False,NONE,False,RESEARCH_ONLY
backtest.information_analysis,False,NONE,False,RESEARCH_ONLY
backtest.lookahead_filter,False,NONE,False,RESEARCH_ONLY
backtest.performance,False,NONE,False,RESEARCH_ONLY
backtest.pit_universe,False,NONE,False,RESEARCH_ONLY
backtest.portfolio_constraints,False,NONE,False,RESEARCH_ONLY
backtest.portfolio_risk,False,NONE,False,RESEARCH_ONLY
backtest.research_gate,False,NONE,False,RESEARCH_ONLY
backtest.retail_utility,False,NONE,False,RESEARCH_ONLY
backtest.robustness,False,NONE,False,RESEARCH_ONLY
backtest.run_status,False,NONE,False,RESEARCH_ONLY
backtest.trade_ledger,False,NONE,False,RESEARCH_ONLY
backtest.wave_capture,False,NONE,False,RESEARCH_ONLY
behavioral.cbi,False,NONE,False,RESEARCH_ONLY
behavioral.cost_position,False,NONE,False,RESEARCH_ONLY
behavioral.monthly_stage,False,NONE,False,RESEARCH_ONLY
behavioral.turnover_factors,False,NONE,False,RESEARCH_ONLY
behavioral.volume_factors,False,NONE,False,RESEARCH_ONLY
behavioral.vp_matrix,False,NONE,False,RESEARCH_ONLY
common.asof,True,NONE,False,MERGE
common.calendar,False,NONE,False,RESEARCH_ONLY
common.config_par,True,NONE,False,MERGE
common.db,True,NONE,False,MERGE
common.logger,False,NONE,False,RESEARCH_ONLY
common.normalization,False,NONE,False,RESEARCH_ONLY
common.paths,True,NONE,False,MERGE
config.governance,False,NONE,False,RESEARCH_ONLY
config.settings,True,NONE,False,MERGE
data.asof_contract,False,NONE,False,RESEARCH_ONLY
data.evidence,False,NONE,False,RESEARCH_ONLY
data.feature_contract,True,NONE,False,MERGE
data.feature_registry,False,NONE,False,RESEARCH_ONLY
data.information_set,True,NONE,False,MERGE
data.lineage,False,NONE,False,RESEARCH_ONLY
data.loader,False,NONE,False,RESEARCH_ONLY
data.pit_registry,False,NONE,False,RESEARCH_ONLY
data.quality,True,NONE,False,MERGE
data.tradability,False,NONE,False,RESEARCH_ONLY
data.universe_snapshot,False,NONE,False,RESEARCH_ONLY
decision.abstain,False,NONE,False,RESEARCH_ONLY
decision.action_classifier,True,NONE,False,MERGE
decision.action_gate,True,NONE,False,MERGE
decision.action_generator,False,NONE,False,RESEARCH_ONLY
decision.boundary_test,False,NONE,False,RESEARCH_ONLY
decision.canonical_action,True,NONE,False,MERGE
decision.catalyst_quality,False,NONE,False,RESEARCH_ONLY
decision.certified_decision,True,EXECUTION_ELIGIBILITY,True,KEEP
decision.confidence,True,NONE,False,MERGE
decision.consensus,False,NONE,False,RESEARCH_ONLY
decision.constraint_trace,True,NONE,False,MERGE
decision.decision_certificate,False,NONE,False,RESEARCH_ONLY
decision.decision_delta,False,NONE,False,RESEARCH_ONLY
decision.decision_ledger,True,FACT,True,KEEP
decision.decision_snapshot,True,NONE,False,MERGE
decision.downside_risk,False,NONE,False,RESEARCH_ONLY
decision.dss_output,False,NONE,False,RESEARCH_ONLY
decision.dynamic_risk_budget,False,NONE,False,RESEARCH_ONLY
decision.engine,True,NONE,False,MERGE
decision.entry_quality,True,NONE,False,MERGE
decision.exit_quality,True,NONE,False,MERGE
