week_end,n_selected,portfolio_return,turnover,gross_turnover,equity
2021-01-01,0,0.0,0.0,0.0,1.0
2021-01-08,5,0.02217906,0.49,0.49,1.02217906
2021-01-15,5,-0.02505554,0.0,0.0,0.9965678116750076
2021-01-22,5,0.12263521,0.0,0.0,1.1187821145390124
2021-01-29,5,0.02504543,0.0,0.0,1.1468024936739514
2021-02-05,5,0.03862841,0.23,0.23,1.1911016505886112
2021-02-12,5,0.02800647,0.23,0.23,1.2244602032327716
2021-02-19,5,-0.03658135,0.0,0.0,1.1796677959772426
2021-02-26,5,-0.12190544,0.84,0.84,1.0358598742548066
2021-03-05,5,-0.02949334,0.10999999999999999,0.10999999999999999,1.0053089067910523
2021-03-12,4,-0.01553709,0.15,0.15,0.9896893318284381
2021-03-19,4,0.00354699,0.21999999999999997,0.21999999999999997,0.9931997499915403
2021-03-26,4,-0.00184656,0.08,0.08,0.9913657470611958
2021-04-02,5,0.02273976,0.04,0.04,1.0139091662215882
2021-04-09,5,-0.00366888,0.08,0.08,1.0101892551598213
2021-04-16,4,0.00515849,0.22999999999999998,0.22999999999999998,1.0154003063306705
2021-04-23,5,0.02897789,0.04,0.04,1.0448244647134868
2021-04-30,5,-0.00999597,0.0,0.0,1.0343804307089448
2021-05-07,4,-0.011183,0.22999999999999998,0.22999999999999998,1.0228129543523266
2021-05-14,3,-0.00035486,0.12,0.12,1.0224499989473452
2021-05-21,4,0.00438488,0.23,0.23,1.0269333194987293
2021-05-28,4,0.01841305,0.19,0.19,1.0458422940573253
2021-06-04,5,-0.00802601,0.15,0.15,1.0374483533467982
2021-06-11,5,0.04014465,0.10999999999999999,0.10999999999999999,1.0790963543849816
2021-06-18,4,-0.00087579,0.2,0.2,1.0781512925887748
2021-06-25,5,0.01257676,0.09000000000000002,0.09000000000000002,1.0917109426393536
2021-07-02,5,-0.02074791,0.0,0.0,1.0690602222554573
2021-07-09,2,0.00771962,0.28,0.28,1.077312960928385
2021-07-16,3,0.00596319,0.04,0.04,1.0837371828038633
2021-07-23,5,-0.01047543,0.08,0.08,1.0723845698070043
2021-07-30,4,-0.00584087,0.04,0.04,1.0661209109447556
2021-08-06,3,0.00400749,0.04,0.04,1.0703933798341576
2021-08-13,3,0.0157939,0.08,0.08,1.0872990658359203
2021-08-20,4,-0.0201874,0.04,0.04,1.0653493246742642
2021-08-27,3,0.01114057,0.21,0.21,1.0772179234002506
2021-09-03,4,0.02202627,0.04,0.04,1.100945016229904
2021-09-10,5,-0.01378835,0.31999999999999995,0.31999999999999995,1.0857648010153704
2021-09-17,5,-0.02441396,0.0,0.0,1.0592569825939733
2021-09-24,5,-0.00358879,0.060000000000000005,0.060000000000000005,1.05545553172741
2021-10-01,3,0.00113985,0.19,0.19,1.0566585927152494
2021-10-08,5,0.00406687,0.19,0.19,1.0609558858462051
2021-10-15,4,-0.01025247,0.1,0.1,1.0500784674552435
2021-10-22,4,0.00472902,0.0,0.0,1.0550443095294089
2021-10-29,5,-0.03079257,0.30999999999999994,0.30999999999999994,1.0225567837751228
2021-11-05,3,-0.00794154,0.24,0.24,1.0144361081745012
2021-11-12,2,0.00150062,0.1,0.1,1.0159583912871502
2021-11-19,3,0.00241591,0.04,0.04,1.0184128553242449
2021-11-26,5,-0.02646993,0.19,0.19,0.991455538332712
2021-12-03,1,-0.00546489,0.27,0.27,0.9860373428758329
2021-12-10,2,0.00089154,0.12,0.12,0.9869164346085004
2021-12-17,3,-0.0022312,0.23,0.23,0.984714426659602
2021-12-24,3,0.01345207,0.08,0.08,0.9979608740570368
2021-12-31,4,0.00693692,0.04,0.04,1.0048836488035007
2022-01-07,4,-0.00552902,0.19,0.19,0.9993276270115932
2022-01-14,2,0.00311083,0.14,0.14,1.0024363653735298
2022-01-21,4,0.0116358,0.19,0.19,1.0141005144337432
2022-01-28,4,-0.02103768,0.3,0.3,0.9927661923232507
2022-02-04,3,0.00964363,0.22999999999999998,0.22999999999999998,1.002340062158525
2022-02-11,3,0.00640327,0.24,0.24,1.0087583162083429
2022-02-18,4,-0.00059146,0.04,0.04,1.0081616760146384
2022-02-25,2,-0.00806133,0.24,0.24,1.0000345520509313
2022-03-04,3,-0.00302256,0.23,0.23,0.9970118876152843
2022-03-11,4,-0.03630148,0.04,0.04,0.9608188805172557
2022-03-18,2,-0.00910278,0.25,0.25,0.9520727576280609
2022-03-25,2,-0.00146426,0.08,0.08,0.9506786755719764
2022-04-01,2,-0.00323041,0.16,0.16,0.947607593671622
2022-04-08,1,-0.00121105,0.04,0.04,0.946459993495306
2022-04-15,2,0.00545716,0.12,0.12,0.9516249771134088
2022-04-22,4,-0.01250058,0.08,0.08,0.9397291129570045
2022-04-29,4,0.00928405,0.08,0.08,0.9484536050281529
