model,annualized_return,sharpe,max_drawdown,profit_factor,annual_turnover,churn,avg_exposure,exposure_efficiency,bad_exposure_ratio,upside_capture,downside_capture,wave_n,wave_participated,wave_missed_rate,wave_capture_ratio,wave_entry_delay,wave_mfe,wave_mae,wave_false_entry_rate,perm_violations,risk_increase_violations,illegal_jumps
A0_Legacy,-0.018533,-0.3119,-0.214653,0.8777,2.8682,0.0546,0.14,-0.1324,0.6414,0.1212,0.1409,250,188,0.248,0.0949,3.44,0.1533,-0.0869,0.8445,,,
A1_PermCap,-0.007671,-0.2527,-0.104716,0.904,1.537,0.0293,0.0795,-0.0965,0.7973,0.071,0.0793,250,181,0.276,0.0702,4.55,0.0843,-0.0398,0.8477,,,
A2_FSM,0.008937,0.2372,-0.094498,1.2487,0.9385,0.0179,0.0427,0.2094,0.9916,0.0531,0.0416,250,218,0.128,0.0001,0.47,0.0616,-0.0734,0.5661,0.0,0.0,0.0
A3_FSM_SoftExit,0.000217,0.0209,-0.053048,1.0191,0.9211,0.0176,0.027,0.008,0.9617,0.0281,0.0275,250,192,0.232,-0.0215,0.57,0.0328,-0.0516,0.5657,0.0,0.0,0.0
A4_FSM_HardExit,0.001481,0.3259,-0.005069,1.8282,0.2546,0.0048,0.003,0.4926,1.01,0.0036,0.0019,250,144,0.424,0.0089,6.38,0.008,-0.0037,0.6667,0.0,0.0,0.0
A5_PermFSM,0.003597,0.259,-0.030242,1.2044,0.2587,0.0048,0.0188,0.1914,1.0041,0.0218,0.0175,250,218,0.128,0.0384,0.47,0.0424,-0.0208,0.7502,0.0,12.0,0.0
A6_PermFSM_SoftExit,-0.000715,-0.0759,-0.030242,0.9509,0.155,0.0029,0.0145,-0.0494,1.0072,0.0151,0.0159,250,192,0.232,0.0074,0.57,0.0144,-0.0112,0.7582,0.0,17.0,0.0
A7_PermFSM_HardExit,9e-05,0.105,-0.001571,1.1351,0.0773,0.0014,0.001,0.0908,0.9879,0.0008,0.0007,250,144,0.424,0.0028,6.38,0.0028,-0.0017,0.6667,0.0,24.0,0.0
A8_PermFSM_FullExit,9e-05,0.105,-0.001571,1.1351,0.0773,0.0014,0.001,0.0908,0.9879,0.0008,0.0007,250,144,0.424,0.0028,6.38,0.0028,-0.0017,0.6667,0.0,24.0,0.0
A9_FullNoDaily,0.0,,0.0,,0.0,0.0,0.0,,,0.0,-0.0,250,0,1.0,,,,,,0.0,0.0,0.0
A10_FullNoBudget,0.0,,0.0,,0.0,0.0,0.0,,,0.0,-0.0,250,0,1.0,,,,,,0.0,0.0,0.0
