model,annualized_return,sharpe,max_drawdown,profit_factor,annual_turnover,churn,avg_exposure,exposure_efficiency,bad_exposure_ratio,upside_capture,downside_capture,wave_n,wave_participated,wave_missed_rate,wave_capture_ratio,wave_entry_delay,wave_mfe,wave_mae,wave_false_entry_rate,mechanism,perm_violations,risk_increase_violations,illegal_jumps
A0_Legacy,-0.018533,-0.3119,-0.214653,0.8777,2.8682,0.0546,0.14,-0.1324,0.6414,0.1212,0.1409,1961,515,0.7374,0.1018,5.39,0.2172,-0.1123,0.58,,,,
A1_PermCap,-0.007671,-0.2527,-0.104716,0.904,1.537,0.0293,0.0795,-0.0965,0.7973,0.071,0.0793,1961,508,0.7409,0.062,5.86,0.0969,-0.0497,0.577,,,,
A2_FSM,0.008937,0.2372,-0.094498,1.2487,0.9385,0.0179,0.0427,0.2094,0.9916,0.0531,0.0416,1961,444,0.7736,0.0341,5.03,0.0649,-0.0438,0.3915,"{'permission_dist': {'STRONG_ALLOW': 10046}, 'transition_dist': {'FLAT→FLAT': 7649, 'TESTING→TESTING': 1284, 'HOLDING→HOLDING': 654, 'BUILDING→BUILDING': 304, 'TRIMMING→HOLDING': 24, 'FLAT→TESTING': 20, 'HOLDING→TRIMMING': 18, 'TRIMMING→TRIMMING': 18, 'TESTING→BUILDING': 17, 'EXITING→COOLDOWN': 14, 'COOLDOWN→FLAT': 14, 'BUILDING→TRIMMING': 13, 'TRIMMING→EXITING': 7, 'HOLDING→EXITING': 7, 'BUILDING→HOLDING': 3}, 'target_positive_rate': 0.2344, 'exit_dist': {'NONE': 10046}, 'mean_target': 0.0573}",0.0,0.0,0.0
A3_FSM_SoftExit,0.000217,0.0209,-0.053048,1.0191,0.9211,0.0176,0.027,0.008,0.9617,0.0281,0.0275,1961,390,0.8011,0.0079,5.5,0.0406,-0.0315,0.4228,"{'permission_dist': {'STRONG_ALLOW': 10046}, 'transition_dist': {'FLAT→FLAT': 7962, 'TESTING→TESTING': 1301, 'HOLDING→HOLDING': 342, 'BUILDING→BUILDING': 282, 'FLAT→TESTING': 23, 'EXITING→COOLDOWN': 19, 'COOLDOWN→FLAT': 19, 'TESTING→BUILDING': 18, 'TRIMMING→HOLDING': 18, 'HOLDING→TRIMMING': 14, 'TRIMMING→TRIMMING': 13, 'BUILDING→TRIMMING': 11, 'HOLDING→EXITING': 8, 'TRIMMING→EXITING': 7, 'BUILDING→HOLDING': 5, 'TESTING→EXITING': 3, 'BUILDING→EXITING': 1}, 'target_positive_rate': 0.2018, 'exit_dist': {'NONE': 10026, 'RISK_EXIT': 20}, 'mean_target': 0.0445}",0.0,0.0,0.0
A4_FSM_HardExit,0.001481,0.3259,-0.005069,1.8282,0.2546,0.0048,0.003,0.4926,1.01,0.0036,0.0019,1961,201,0.8975,0.0091,9.16,0.009,-0.0046,0.5333,"{'permission_dist': {'STRONG_ALLOW': 10046}, 'transition_dist': {'EXITING→EXITING': 6347, 'FLAT→FLAT': 2200, 'EXITING→COOLDOWN': 369, 'COOLDOWN→EXITING': 355, 'COOLDOWN→FLAT': 304, 'FLAT→COOLDOWN': 298, 'TESTING→TESTING': 102, 'TESTING→EXITING': 21, 'FLAT→TESTING': 19, 'BUILDING→BUILDING': 10, 'COOLDOWN→TESTING': 7, 'TESTING→BUILDING': 4, 'BUILDING→EXITING': 2, 'HOLDING→EXITING': 2, 'HOLDING→HOLDING': 2, 'BUILDING→TRIMMING': 1, 'TRIMMING→TRIMMING': 1, 'TRIMMING→HOLDING': 1, 'BUILDING→HOLDING': 1}, 'target_positive_rate': 0.0147, 'exit_dist': {'FORCED_DELEVERAGE': 5271, 'NONE': 3021, 'HARD_EXIT': 1754}, 'mean_target': 0.002}",0.0,0.0,0.0
A5_PermFSM,-0.000154,-0.3905,-0.001206,0.5856,0.0548,0.0011,0.0007,-0.2358,0.8996,0.0001,0.0003,1961,175,0.9108,-0.0006,9.29,0.0026,-0.0034,0.186,"{'permission_dist': {'WATCH': 9640, 'BLOCK': 258, 'STRONG_ALLOW': 83, 'TEST': 65}, 'transition_dist': {'FLAT→FLAT': 5965, 'TESTING→TESTING': 4044, 'FLAT→TESTING': 14, 'TESTING→EXITING': 6, 'EXITING→COOLDOWN': 6, 'COOLDOWN→FLAT': 6, 'BUILDING→BUILDING': 3, 'TESTING→BUILDING': 1, 'BUILDING→FLAT': 1}, 'target_positive_rate': 0.0118, 'exit_dist': {'NONE': 10046}, 'mean_target': 0.0008}",3943.0,30.0,1.0
A6_PermFSM_SoftExit,-6.6e-05,-0.2271,-0.001073,0.7343,0.0281,0.0005,0.0003,-0.2195,1.0471,0.0001,0.0002,1961,163,0.9169,0.0014,9.92,0.0015,-0.0009,0.2121,"{'permission_dist': {'WATCH': 9640, 'BLOCK': 258, 'STRONG_ALLOW': 83, 'TEST': 65}, 'transition_dist': {'FLAT→FLAT': 6414, 'TESTING→TESTING': 3574, 'FLAT→TESTING': 19, 'TESTING→EXITING': 13, 'EXITING→COOLDOWN': 13, 'COOLDOWN→FLAT': 13}, 'target_positive_rate': 0.0099, 'exit_dist': {'NONE': 10026, 'RISK_EXIT': 20}, 'mean_target': 0.0006}",3494.0,30.0,0.0
A7_PermFSM_HardExit,-2e-06,-0.0045,-0.001054,0.9925,0.0186,0.0004,0.0002,-0.0113,1.0346,0.0001,0.0001,1961,101,0.9485,0.0022,11.2,0.0019,-0.0008,0.3158,"{'permission_dist': {'WATCH': 9640, 'BLOCK': 258, 'STRONG_ALLOW': 83, 'TEST': 65}, 'transition_dist': {'EXITING→EXITING': 6347, 'FLAT→FLAT': 2200, 'EXITING→COOLDOWN': 369, 'COOLDOWN→EXITING': 355, 'COOLDOWN→FLAT': 304, 'FLAT→COOLDOWN': 298, 'TESTING→TESTING': 122, 'TESTING→EXITING': 25, 'FLAT→TESTING': 19, 'COOLDOWN→TESTING': 7}, 'target_positive_rate': 0.0055, 'exit_dist': {'FORCED_DELEVERAGE': 5271, 'NONE': 3021, 'HARD_EXIT': 1754}, 'mean_target': 0.0003}",93.0,23.0,0.0
A8_PermFSM_FullExit,-2e-06,-0.0045,-0.001054,0.9925,0.0186,0.0004,0.0002,-0.0113,1.0346,0.0001,0.0001,1961,101,0.9485,0.0022,11.2,0.0019,-0.0008,0.3158,"{'permission_dist': {'WATCH': 9640, 'BLOCK': 258, 'STRONG_ALLOW': 83, 'TEST': 65}, 'transition_dist': {'EXITING→EXITING': 6347, 'FLAT→FLAT': 2200, 'EXITING→COOLDOWN': 369, 'COOLDOWN→EXITING': 355, 'COOLDOWN→FLAT': 304, 'FLAT→COOLDOWN': 298, 'TESTING→TESTING': 122, 'TESTING→EXITING': 25, 'FLAT→TESTING': 19, 'COOLDOWN→TESTING': 7}, 'target_positive_rate': 0.0055, 'exit_dist': {'FORCED_DELEVERAGE': 5271, 'NONE': 3001, 'HARD_EXIT': 1754, 'RISK_EXIT': 20}, 'mean_target': 0.0003}",93.0,23.0,0.0
A9_FullNoDaily,0.0,,0.0,,0.0,0.0,0.0,,,0.0,-0.0,1961,0,1.0,,,,,,"{'permission_dist': {'WATCH': 9640, 'BLOCK': 258, 'STRONG_ALLOW': 83, 'TEST': 65}, 'transition_dist': {'EXITING→EXITING': 6323, 'FLAT→FLAT': 2342, 'COOLDOWN→EXITING': 379, 'EXITING→COOLDOWN': 368, 'FLAT→COOLDOWN': 323, 'COOLDOWN→FLAT': 311}, 'target_positive_rate': 0.0, 'exit_dist': {'FORCED_DELEVERAGE': 5271, 'NONE': 3001, 'HARD_EXIT': 1754, 'RISK_EXIT': 20}, 'mean_target': 0.0}",0.0,0.0,0.0
