variant,buffer_pct,min_trigger,annualized_return,sharpe,sortino,calmar,max_drawdown,annual_turnover,avg_exposure,n_override_rows,n_override_stocks,n_time_stopped_rows,avg_override_target,01951_wave_return,01951_wave_pos_weeks,01951_wave_weeks,01951_wave_override_weeks,01951_wave_time_stopped_weeks,01951_wave_avg_override_target
OFF(禁用方案B),0.02,DISABLED,-0.005836,-0.0224,-0.0354,-0.0243,-0.239691,1.0521,0.2686,0,0,0,,0.0,0,39,0,0,
OFF(禁用方案B),0.05,DISABLED,-0.005836,-0.0224,-0.0354,-0.0243,-0.239691,1.0521,0.2686,0,0,0,,0.0,0,39,0,0,
OFF(禁用方案B),0.08,DISABLED,-0.005836,-0.0224,-0.0354,-0.0243,-0.239691,1.0521,0.2686,0,0,0,,0.0,0,39,0,0,
OFF(禁用方案B),0.12,DISABLED,-0.005836,-0.0224,-0.0354,-0.0243,-0.239691,1.0521,0.2686,0,0,0,,0.0,0,39,0,0,
Breakout,0.02,"[""Breakout""]",-0.006473,-0.0298,-0.0471,-0.027,-0.239816,1.126,0.2687,7,5,0,0.1143,0.0,0,39,0,0,
Breakout,0.05,"[""Breakout""]",-0.006473,-0.0298,-0.0471,-0.027,-0.239816,1.126,0.2687,7,5,0,0.1143,0.0,0,39,0,0,
Breakout,0.08,"[""Breakout""]",-0.006473,-0.0298,-0.0471,-0.027,-0.239816,1.126,0.2687,7,5,0,0.1143,0.0,0,39,0,0,
Breakout,0.12,"[""Breakout""]",-0.006473,-0.0298,-0.0471,-0.027,-0.239816,1.126,0.2687,7,5,0,0.1143,0.0,0,39,0,0,
Breakout+Pullback,0.02,"[""Breakout"", ""Pullback""]",-0.007053,-0.0361,-0.0574,-0.0294,-0.240049,1.1813,0.2695,63,11,1,0.1063,-0.03276,3,39,3,0,0.2
Breakout+Pullback,0.05,"[""Breakout"", ""Pullback""]",-0.007053,-0.0361,-0.0574,-0.0294,-0.240049,1.1813,0.2695,63,11,1,0.1063,-0.03276,3,39,3,0,0.2
Breakout+Pullback,0.08,"[""Breakout"", ""Pullback""]",-0.007053,-0.0361,-0.0574,-0.0294,-0.240049,1.1813,0.2695,63,11,1,0.1063,-0.03276,3,39,3,0,0.2
Breakout+Pullback,0.12,"[""Breakout"", ""Pullback""]",-0.007053,-0.0361,-0.0574,-0.0294,-0.240049,1.1813,0.2695,63,11,1,0.1063,-0.03276,3,39,3,0,0.2
Breakout+Pullback+Consolidation,0.02,"[""Breakout"", ""Pullback"", ""Consolidation""]",-0.002435,0.0198,0.0323,-0.0098,-0.247729,1.3909,0.282,1058,12,336,0.122,0.073132,19,39,27,0,0.2
Breakout+Pullback+Consolidation,0.05,"[""Breakout"", ""Pullback"", ""Consolidation""]",-0.002504,0.0193,0.0315,-0.01,-0.249456,1.3736,0.2839,1058,12,336,0.122,0.061723,20,39,27,0,0.2
Breakout+Pullback+Consolidation,0.08,"[""Breakout"", ""Pullback"", ""Consolidation""]",-0.003075,0.0133,0.0218,-0.0123,-0.249784,1.3593,0.2851,1058,12,336,0.122,0.059664,23,39,27,0,0.2
Breakout+Pullback+Consolidation,0.12,"[""Breakout"", ""Pullback"", ""Consolidation""]",-0.003231,0.0116,0.019,-0.0129,-0.250168,1.3549,0.2854,1058,12,336,0.122,0.059664,23,39,27,0,0.2
ANY(全部触发),0.02,[],0.001602,0.0632,0.1032,0.0069,-0.231654,1.3232,0.2796,1129,12,400,0.1198,0.073132,19,39,28,0,0.2
ANY(全部触发),0.05,[],0.00154,0.0626,0.1027,0.0066,-0.233389,1.3051,0.2818,1129,12,400,0.1198,0.061723,20,39,28,0,0.2
ANY(全部触发),0.08,[],0.00049,0.0513,0.0845,0.0021,-0.235794,1.2997,0.2827,1129,12,400,0.1198,0.059664,23,39,28,0,0.2
ANY(全部触发),0.12,[],-0.000681,0.0388,0.0641,-0.0028,-0.24038,1.2953,0.2839,1129,12,400,0.1198,0.059664,23,39,28,0,0.2
