stock_code,stock_name,decision_date,structural_regime,monthly_behavior_state,tactical_signal,chip_stability_confidence,mtf_regime,qcfp_score,structure_behavior_alignment,market_context,data_quality,catalyst_score,align_method,action_signal,base_action,base_target,risk_level,des_score,des_band,final_action,final_target,risk_override_active,alignment_override,risk_score,risk_reasons
00700,腾讯控股,2010-01-08,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,neutral,,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,5,基础:DATA_INSUFFICIENT(4)；置信度Low+1
00700,腾讯控股,2010-01-15,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,neutral,,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,5,基础:DATA_INSUFFICIENT(4)；置信度Low+1
00700,腾讯控股,2010-01-22,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,neutral,,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,5,基础:DATA_INSUFFICIENT(4)；置信度Low+1
00700,腾讯控股,2010-01-29,STATE_UNDETERMINED,,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,neutral,,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,0,NORMAL,WAIT,0.0,0,0,5,基础:DATA_INSUFFICIENT(4)；置信度Low+1
00700,腾讯控股,2010-02-05,STATE_UNDETERMINED,Stable,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,neutral,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,1,NORMAL,WAIT,0.0,0,0,6,基础:DATA_INSUFFICIENT(4)；数据质量C+1；置信度Low+1
00700,腾讯控股,2010-02-12,STATE_UNDETERMINED,Stable,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,neutral,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,3,WATCH,WAIT,0.0,0,0,6,基础:DATA_INSUFFICIENT(4)；数据质量C+1；置信度Low+1
00700,腾讯控股,2010-02-19,STATE_UNDETERMINED,Stable,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,neutral,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,3,WATCH,WAIT,0.0,0,0,6,基础:DATA_INSUFFICIENT(4)；数据质量C+1；置信度Low+1
00700,腾讯控股,2010-02-26,STATE_UNDETERMINED,Stable,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,neutral,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,3,WATCH,WAIT,0.0,0,0,6,基础:DATA_INSUFFICIENT(4)；数据质量C+1；置信度Low+1
00700,腾讯控股,2010-03-05,STATE_UNDETERMINED,Stable,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,neutral,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,1,NORMAL,WAIT,0.0,0,0,6,基础:DATA_INSUFFICIENT(4)；数据质量C+1；置信度Low+1
00700,腾讯控股,2010-03-12,STATE_UNDETERMINED,Stable,Consolidation,Low,DATA_INSUFFICIENT,,Unknown,neutral,C,0.0,data_insufficient,WAIT,WAIT,0.0,Extreme,1,NORMAL,WAIT,0.0,0,0,6,基础:DATA_INSUFFICIENT(4)；数据质量C+1；置信度Low+1
