trade_id,stock_code,entry_date,exit_date,entry_price,exit_price,initial_position,max_position,add_count,reduce_count,gross_return,net_return,mfe,mae,holding_weeks,entry_late,exit_early,exit_late
01951_2019-11-22,01951,2019-11-22,2020-02-21,13.62,10.22,0.75,0.75,0,1,-0.249633,-0.174172,0.060206,-0.276065,13,False,False,True
01951_2020-03-13,01951,2020-03-13,2020-03-13,8.66,8.66,0.2,0.2,0,0,0.0,-0.191117,0.189376,-0.092379,0,False,False,False
01951_2020-04-10,01951,2020-04-10,2020-10-23,8.9,9.21,0.2,0.75,2,2,0.034831,-0.11733,0.411236,-0.020225,28,False,True,False
01951_2020-11-06,01951,2020-11-06,2020-11-20,9.55,13.02,0.2,0.2,0,0,0.363351,0.368603,0.424084,-0.05445,2,False,True,False
01951_2021-02-26,01951,2021-02-26,2021-07-09,17.34,16.4,0.75,0.75,3,3,-0.05421,-0.367432,0.405421,-0.22722,19,True,False,True
01951_2021-08-13,01951,2021-08-13,2021-08-20,13.4,11.46,0.2,0.2,0,0,-0.144776,-0.20061,0.091045,-0.18806,1,False,True,False
01951_2021-10-01,01951,2021-10-01,2021-10-08,11.42,11.82,0.2,0.2,0,0,0.035026,-0.041526,0.136602,-0.035026,1,False,False,True
01951_2021-11-26,01951,2021-11-26,2021-11-26,11.3,11.3,0.2,0.2,0,0,0.0,-0.066518,0.072566,-0.010619,0,False,False,True
01951_2022-01-28,01951,2022-01-28,2022-01-28,7.34,7.34,0.2,0.2,0,0,0.0,-0.143008,0.160763,-0.032698,0,False,True,False
01951_2022-02-18,01951,2022-02-18,2022-02-18,7.92,7.92,0.2,0.2,0,0,0.0,-0.025722,0.042929,-0.012626,0,False,False,True
01951_2022-03-04,01951,2022-03-04,2022-03-18,8.67,6.36,0.2,0.2,0,0,-0.266436,-0.338742,0.058824,-0.509804,2,True,False,True
01951_2022-06-03,01951,2022-06-03,2022-08-05,5.76,5.66,0.2,0.5,2,1,-0.017361,-0.20623,0.267361,-0.092014,9,True,False,True
01951_2022-08-19,01951,2022-08-19,2022-08-19,5.44,5.44,0.2,0.2,0,0,0.0,-0.014409,0.126838,-0.011029,0,False,False,True
01951_2022-09-02,01951,2022-09-02,2022-09-02,4.73,4.73,0.2,0.2,0,0,0.0,-0.088606,0.093023,0.0,0,False,False,True
01951_2022-10-14,01951,2022-10-14,2022-11-04,4.0,4.39,0.2,0.2,0,0,0.0975,0.19741,0.16,-0.1375,3,False,True,False
01951_2022-11-18,01951,2022-11-18,2023-03-10,5.44,5.16,0.2,0.75,3,2,-0.051471,0.130622,0.503676,-0.158088,16,True,True,False
01951_2023-03-24,01951,2023-03-24,2023-03-24,5.28,5.28,0.2,0.2,0,0,0.0,0.00606,0.030303,-0.049242,0,False,False,True
01951_2023-04-07,01951,2023-04-07,2023-04-28,5.5,5.05,0.2,0.2,0,0,-0.081818,-0.017963,0.036364,-0.125455,3,True,False,True
01951_2023-05-12,01951,2023-05-12,2023-05-12,4.63,4.63,0.2,0.2,0,0,0.0,-0.08848,0.105832,-0.00216,0,False,False,True
01951_2023-09-08,01951,2023-09-08,2023-09-08,3.77,3.77,0.2,0.2,0,0,0.0,-0.016589,0.039788,-0.005305,0,False,False,False
01951_2023-11-17,01951,2023-11-17,2023-12-01,3.84,3.58,0.2,0.2,0,0,-0.067708,-0.071346,0.049479,-0.067708,2,True,False,True
01951_2024-03-01,01951,2024-03-01,2024-03-01,2.31,2.31,0.05,0.05,0,0,0.0,-0.036973,0.077922,-0.017316,0,True,False,False
01951_2024-05-17,01951,2024-05-17,2024-05-31,3.08,3.04,0.2,0.2,0,0,-0.012987,0.035174,0.13961,-0.048701,2,True,False,True
01951_2025-11-21,01951,2025-11-21,2025-11-28,2.3,2.35,0.2,0.2,0,0,0.021739,-0.054342,0.082609,-0.004348,1,False,False,False
01951_2025-12-12,01951,2025-12-12,2026-03-13,2.47,2.18,0.2,0.2,1,1,-0.117409,-0.159834,0.064777,-0.121457,13,False,True,False
01951_2026-04-03,01951,2026-04-03,2026-04-10,2.47,2.43,0.2,0.2,0,1,-0.016194,0.072207,0.008097,-0.089069,1,False,False,False
01951_2026-05-08,01951,2026-05-08,2026-05-15,2.37,2.34,0.2,0.2,0,0,-0.012658,-0.007648,0.012658,-0.029536,1,False,False,True
