stock_code,decision_date,legacy_action,legacy_target,inst_state,permission,setup,daily,risk,des,fsm,new_target,diff
02202,2026-08-21,REDUCE,,NEUTRAL,WATCH,NONE,DAILY_NEUTRAL,Extreme,,COOLDOWN,0.0,True
00357,2026-08-21,HOLD,,RECOVERY,TEST,NONE,DAILY_NEUTRAL,Low,,FLAT,0.0,True
02611,2026-08-21,HOLD,,NEUTRAL,WATCH,NONE,DAILY_NEUTRAL,Low,,FLAT,0.0,True
02602,2026-08-21,REDUCE,,ACCUMULATION_WEAK,WATCH,NONE,DAILY_PULLBACK,Low,,FLAT,0.0,True
06060,2026-08-21,REDUCE,,NEUTRAL,WATCH,ACCUMULATION,DAILY_ACCUMULATION,High,,FLAT,0.0,True
00020,2026-08-21,REDUCE,,NEUTRAL,WATCH,NONE,DAILY_NEUTRAL,High,,FLAT,0.0,True
00700,2026-08-21,REDUCE,,NEUTRAL,WATCH,NONE,DAILY_DECLINE,Medium,,FLAT,0.0,True
01177,2026-08-21,REDUCE,,RECOVERY,WATCH,ACCUMULATION,DAILY_ACCUMULATION,High,,FLAT,0.0,True
03033,2026-08-21,WAIT,,NEUTRAL,WATCH,NONE,DAILY_DECLINE,Extreme,,COOLDOWN,0.0,True
03800,2026-08-21,REDUCE,,ACCUMULATION_WEAK,WATCH,NONE,DAILY_PULLBACK,High,,FLAT,0.0,True
01951,2026-08-21,REDUCE,0.2,ACCUMULATION_WEAK,WATCH,ACCUMULATION,DAILY_ACCUMULATION,Extreme,1.0,COOLDOWN,0.0,True
00371,2026-08-21,EXIT,0.0,NEUTRAL,WATCH,NONE,DAILY_DECLINE,Extreme,12.0,COOLDOWN,0.0,True
00354,2026-08-21,REDUCE,0.05,NEUTRAL,WATCH,NONE,DAILY_NEUTRAL,Extreme,2.0,COOLDOWN,0.0,True
00788,2026-08-21,REDUCE,0.2,NEUTRAL,WATCH,NONE,DAILY_NEUTRAL,Extreme,2.0,COOLDOWN,0.0,True
01093,2026-08-21,HOLD,0.75,NEUTRAL,WATCH,ACCUMULATION,DAILY_ACCUMULATION,Low,1.0,FLAT,0.0,True
00268,2026-08-21,HOLD,0.75,RECOVERY,WATCH,NONE,DAILY_NEUTRAL,Medium,2.0,FLAT,0.0,True
