decision_id,stock_code,decision_date,institutional_state,institutional_permission,permission_cap,exit_event_kind,exit_event_reason,setup_type,prev_fsm_state,next_fsm_state,previous_position,target_position,decision_path,rule_version,model_version,schema_version,base_fsm_state,raw_target_position,permission_constraint_applied,override_rule_ids,input_fingerprint,settings_hash,institutional_pressure,institutional_persistence,institutional_reasons,context,primary_reason,secondary_reasons,run_id,participation_mode,participation_cap,position_class,exit_severity,feature_manifest_hash,trade_quality,trade_quality_band,pit_grade,evidence_grade
00020_2021-12-31,00020,2021-12-31,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,FLAT,COOLDOWN,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,FLAT,0.0,False,['hard_exit'],e17b509bab84c0e1,b32234659953,0,0,[],"{'structural_regime': nan, 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_NEUTRAL', 'data_quality': nan, 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=nan', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 15.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,15.0,Noise,C,C
00020_2022-01-07,00020,2022-01-07,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,COOLDOWN,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,COOLDOWN,0.0,False,['hard_exit'],fd2a885292f9f4a5,b32234659953,0,0,[],"{'structural_regime': nan, 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_NEUTRAL', 'data_quality': nan, 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=nan', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 15.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,15.0,Noise,C,C
00020_2022-01-14,00020,2022-01-14,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],256ba2c5791d11a9,b32234659953,0,0,[],"{'structural_regime': nan, 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_NEUTRAL', 'data_quality': nan, 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=nan', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 15.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,15.0,Noise,C,C
00020_2022-01-21,00020,2022-01-21,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],4d563dd0e11c9f1f,b32234659953,0,0,[],"{'structural_regime': nan, 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_PULLBACK', 'data_quality': nan, 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=nan', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 15.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,15.0,Noise,C,C
00020_2022-01-28,00020,2022-01-28,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],e7d2112e8c8f5507,b32234659953,0,0,[],"{'structural_regime': nan, 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_NEUTRAL', 'data_quality': nan, 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=nan', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 15.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,15.0,Noise,C,C
00020_2022-02-04,00020,2022-02-04,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],74db87acef8c246b,b32234659953,0,0,[],"{'structural_regime': nan, 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'neutral', 'daily_trigger': 'DAILY_NEUTRAL', 'data_quality': nan, 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=nan', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 19.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,19.0,Noise,C,C
00020_2022-02-11,00020,2022-02-11,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],ec14223ba680049d,b32234659953,0,0,[],"{'structural_regime': nan, 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'neutral', 'daily_trigger': 'DAILY_NEUTRAL', 'data_quality': nan, 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=nan', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 17.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,17.0,Noise,C,C
00020_2022-02-18,00020,2022-02-18,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],9e3a880858a7947b,b32234659953,0,0,[],"{'structural_regime': 'STATE_UNDETERMINED', 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_DECLINE', 'data_quality': 'C', 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=C', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 7.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,7.0,Noise,C,C
00020_2022-02-25,00020,2022-02-25,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],9989d359baba4959,b32234659953,0,0,[],"{'structural_regime': 'STATE_UNDETERMINED', 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_NEUTRAL', 'data_quality': 'C', 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=C', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 7.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,7.0,Noise,C,C
00020_2022-03-04,00020,2022-03-04,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],7dcef9131a69b59a,b32234659953,0,0,[],"{'structural_regime': 'STATE_UNDETERMINED', 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_PULLBACK', 'data_quality': 'C', 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=C', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 13.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,13.0,Noise,C,C
00020_2022-03-11,00020,2022-03-11,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],07bdb69448399c0b,b32234659953,0,0,[],"{'structural_regime': 'STATE_UNDETERMINED', 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_NEUTRAL', 'data_quality': 'C', 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=C', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 11.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,11.0,Noise,C,C
00020_2022-03-18,00020,2022-03-18,NEUTRAL,WATCH,TESTING,HARD_EXIT,des_ge_threshold,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],cc406529bd2695e6,b32234659953,0,0,[],"{'structural_regime': 'STATE_UNDETERMINED', 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_DECLINE', 'data_quality': 'C', 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=C', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'HARD_EXIT', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 7.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",HARD_EXIT,(),shadow_20260825_235949,STAND,0.0,NONE,3,ed8b6eceb02a5815,7.0,Noise,C,C
00020_2022-03-25,00020,2022-03-25,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],6524308673cb80ea,b32234659953,0,0,[],"{'structural_regime': 'STATE_UNDETERMINED', 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_NEUTRAL', 'data_quality': 'C', 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=C', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 7.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,7.0,Noise,C,C
00020_2022-04-01,00020,2022-04-01,NEUTRAL,WATCH,TESTING,FORCED_DELEVERAGE,extreme_risk,NONE,EXITING,EXITING,0.0,0.0,"['evidence', 'institutional', 'exit_events', 'setup', 'participation_budget', 'fsm', 'sizing', 'permission_cap', 'trade_quality', 'governance', 'final_target']",GOV-2.5.0,QCFP-MTF-2.5.0,DECISION-1.1,EXITING,0.0,False,['hard_exit'],59ccbb51c949c9a6,b32234659953,0,0,[],"{'structural_regime': 'STATE_UNDETERMINED', 'mtf_regime': 'DATA_INSUFFICIENT', 'market_context': 'risk_off', 'daily_trigger': 'DAILY_NEUTRAL', 'data_quality': 'C', 'participation': {'mode': 'STAND', 'cap': 0.0, 'reason': 'watch_no_setup_or_high_risk'}, 'position_class': 'NONE', 'pit_grade': 'C', 'evidence_grade': 'C', 'grade_reasons': ('dq=C', 'estimated_period_end_lag'), 'trace': {'institutional': ('base',), 'exit': 'FORCED_DELEVERAGE', 'setup': 'NONE', 'participation': 'STAND', 'fsm': ('hard_exit',), 'sizing_raw': 0.0, 'permission_cap': 0.0, 'trade_quality': 7.0, 'governance': 'PASSED'}, 'config': {'permission': True, 'soft_exit': True, 'hard_exit': True, 'daily': True, 'budget': True}}",FORCED_DELEVERAGE,(),shadow_20260825_235949,STAND,0.0,NONE,2,ed8b6eceb02a5815,7.0,Noise,C,C
