stock_code,stock_name,decision_date,mtf_regime,structural_regime,monthly_behavior_state,tactical_signal,risk_level,des_score,des_band,chip_stability_confidence,market_context,structure_behavior_alignment,data_quality,daily_state,structural_regime_q,q_position_52w,f_state,c_state,p_state,inst_state,inst_pressure,inst_perm,inst_permission,pool,pool4,traffic_light,retail_action
02202,港股万科企业,2026-08-21,BULLISH_WARNING,STRUCTURAL_DECLINE,Improving,Consolidation,Extreme,,,Low,neutral,Divergence,C,DAILY_NEUTRAL,STRUCTURAL_DECLINE,0.0,F↓,C→,P↓,NEUTRAL,-1,"{'permission': 'WATCH', 'state': 'NEUTRAL', 'pressure': -1, 'persistence': 0, 'confidence': 'Low', 'reason_codes': ['divergence', 'low_confidence']}",WATCH,,D,RED,EXIT
00357,美兰空港,2026-08-21,BULLISH_STABLE,STRUCTURAL_ACCUMULATION,Improving,Consolidation,Low,,,Medium,neutral,Aligned,C,DAILY_NEUTRAL,STRUCTURAL_ACCUMULATION,0.0,F↑,C→,P↓,RECOVERY,1,"{'permission': 'TEST', 'state': 'RECOVERY', 'pressure': 1, 'persistence': 1, 'confidence': 'Medium', 'reason_codes': []}",TEST,,,YELLOW,HOLD
02611,国泰海通,2026-08-21,BULLISH_STABLE,STRUCTURAL_BULLISH,Stable,Consolidation,Low,,,Medium,neutral,Aligned,B,DAILY_NEUTRAL,STRUCTURAL_BULLISH,0.5497159090909091,F→,C→,P↑,NEUTRAL,0,"{'permission': 'WATCH', 'state': 'NEUTRAL', 'pressure': 0, 'persistence': 0, 'confidence': 'Medium', 'reason_codes': []}",WATCH,,,YELLOW,HOLD
02602,港股万物云,2026-08-21,BULLISH_WARNING,STRUCTURAL_BOTTOM_CANDIDATE,Improving,Consolidation,Low,,,High,neutral,Aligned,A,DAILY_PULLBACK,STRUCTURAL_BOTTOM_CANDIDATE,0.0,F→,C↑,P↓,ACCUMULATION_WEAK,1,"{'permission': 'WATCH', 'state': 'ACCUMULATION_WEAK', 'pressure': 1, 'persistence': 0, 'confidence': 'High', 'reason_codes': []}",WATCH,,,YELLOW,REDUCE
06060,众安在线,2026-08-21,BULLISH_WARNING,STRUCTURAL_BOTTOM_CANDIDATE,Improving,Consolidation,High,,,Low,neutral,Aligned,C,DAILY_ACCUMULATION,STRUCTURAL_BOTTOM_CANDIDATE,0.0,F→,C→,P↓,NEUTRAL,0,"{'permission': 'WATCH', 'state': 'NEUTRAL', 'pressure': 0, 'persistence': 0, 'confidence': 'Low', 'reason_codes': ['low_confidence']}",WATCH,,,YELLOW,REDUCE
00020,商汤科技,2026-08-21,BULLISH_WARNING,STRUCTURAL_BOTTOM_CANDIDATE,Improving,Consolidation,High,,,Low,neutral,Aligned,C,DAILY_NEUTRAL,STRUCTURAL_BOTTOM_CANDIDATE,0.037267080745341644,F→,C→,P↓,NEUTRAL,0,"{'permission': 'WATCH', 'state': 'NEUTRAL', 'pressure': 0, 'persistence': 0, 'confidence': 'Low', 'reason_codes': ['low_confidence']}",WATCH,,,YELLOW,REDUCE
00700,腾讯控股,2026-08-21,BULLISH_WARNING,STRUCTURAL_DECLINE,Stable,Consolidation,Medium,,,Low,neutral,Aligned,B,DAILY_DECLINE,STRUCTURAL_DECLINE,0.06912442396313363,F→,C→,P↓,NEUTRAL,0,"{'permission': 'WATCH', 'state': 'NEUTRAL', 'pressure': 0, 'persistence': 0, 'confidence': 'Low', 'reason_codes': ['low_confidence']}",WATCH,,,YELLOW,REDUCE
01177,中生制药,2026-08-21,BULLISH_WARNING,STRUCTURAL_DECLINE,Deteriorating,Consolidation,High,,,Low,neutral,Aligned,C,DAILY_ACCUMULATION,STRUCTURAL_DECLINE,0.031914893617021343,F↑,C→,P↓,RECOVERY,1,"{'permission': 'WATCH', 'state': 'RECOVERY', 'pressure': 1, 'persistence': 1, 'confidence': 'Low', 'reason_codes': ['low_confidence']}",WATCH,,,YELLOW,REDUCE
03033,南方恒生科技,2026-08-21,DATA_INSUFFICIENT,,Deteriorating,Consolidation,Extreme,,,Low,neutral,Aligned,,DAILY_DECLINE,,,,,,NEUTRAL,0,"{'permission': 'WATCH', 'state': 'NEUTRAL', 'pressure': 0, 'persistence': 0, 'confidence': 'Low', 'reason_codes': ['low_confidence']}",WATCH,,D,RED,EXIT
03800,协鑫科技,2026-08-21,BULLISH_WARNING,STRUCTURAL_BOTTOM_CANDIDATE,Deteriorating,Consolidation,High,,,Low,neutral,Aligned,C,DAILY_PULLBACK,STRUCTURAL_BOTTOM_CANDIDATE,0.024999999999999887,F→,C↑,P↓,ACCUMULATION_WEAK,1,"{'permission': 'WATCH', 'state': 'ACCUMULATION_WEAK', 'pressure': 1, 'persistence': 0, 'confidence': 'Low', 'reason_codes': ['low_confidence']}",WATCH,,,YELLOW,REDUCE
01951,锦鑫生殖,2026-08-21,BULLISH_WARNING,STRUCTURAL_DECLINE,Improving,Consolidation,Extreme,1.0,NORMAL,Medium,neutral,Divergence,C,DAILY_ACCUMULATION,STRUCTURAL_DECLINE,0.02721088435374152,F→,C↑,P↓,ACCUMULATION_WEAK,1,"{'permission': 'WATCH', 'state': 'ACCUMULATION_WEAK', 'pressure': 1, 'persistence': 0, 'confidence': 'Medium', 'reason_codes': ['divergence']}",WATCH,,D,RED,EXIT
00371,北控水务,2026-08-21,BULLISH_WARNING,STRUCTURAL_BULLISH,Improving,Breakdown,Extreme,12.0,DE-RISK,Medium,neutral,Aligned,C,DAILY_DECLINE,STRUCTURAL_BULLISH,0.08955223880596958,F↓,C↑,P↓,NEUTRAL,0,"{'permission': 'WATCH', 'state': 'NEUTRAL', 'pressure': 0, 'persistence': 0, 'confidence': 'Medium', 'reason_codes': []}",WATCH,,D,RED,EXIT
00354,中软国际,2026-08-21,BULLISH_WARNING,STRUCTURAL_DECLINE,Deteriorating,Consolidation,Extreme,2.0,NORMAL,Low,neutral,Aligned,C,DAILY_NEUTRAL,STRUCTURAL_DECLINE,0.0,F→,C→,P↓,NEUTRAL,0,"{'permission': 'WATCH', 'state': 'NEUTRAL', 'pressure': 0, 'persistence': 0, 'confidence': 'Low', 'reason_codes': ['low_confidence']}",WATCH,,D,RED,EXIT
00788,中国铁塔,2026-08-21,BULLISH_WARNING,STRUCTURAL_DIVERGENCE,Improving,Consolidation,Extreme,2.0,NORMAL,Medium,neutral,Aligned,A,DAILY_NEUTRAL,STRUCTURAL_DIVERGENCE,0.0,F↓,C→,P↓,NEUTRAL,-1,"{'permission': 'WATCH', 'state': 'NEUTRAL', 'pressure': -1, 'persistence': 0, 'confidence': 'Medium', 'reason_codes': []}",WATCH,,D,RED,EXIT
01093,石药集团,2026-08-21,BULLISH_STABLE,STRUCTURAL_BULLISH,Improving,Consolidation,Low,1.0,NORMAL,Medium,neutral,Aligned,C,DAILY_ACCUMULATION,STRUCTURAL_BULLISH,0.07048458149779724,F↓,C↑,P↓,NEUTRAL,0,"{'permission': 'WATCH', 'state': 'NEUTRAL', 'pressure': 0, 'persistence': 0, 'confidence': 'Medium', 'reason_codes': []}",WATCH,A,C,GREEN,HOLD
00268,金蝶国际,2026-08-21,BULLISH_STABLE,STRUCTURAL_BULLISH,Stable,Consolidation,Medium,2.0,NORMAL,Low,neutral,Aligned,C,DAILY_NEUTRAL,STRUCTURAL_BULLISH,0.018264840182648418,F↑,C→,P↓,RECOVERY,1,"{'permission': 'WATCH', 'state': 'RECOVERY', 'pressure': 1, 'persistence': 1, 'confidence': 'Low', 'reason_codes': ['low_confidence']}",WATCH,,,GREEN,HOLD
