stock,t0,t0_close,milestone,date,close,gain,wave_26w_return,state_q_regime,state_q_f,state_q_ok,state_m_state,state_m_ok,state_w_signal,state_w_ok,state_d_state,state_d_ok
00020,2024-03-29,0.71,+0%,2024-03-29,0.71,0.0,1.0563,STRUCTURAL_BULLISH,F→,True,Deteriorating,False,Breakdown,False,DAILY_NEUTRAL,False
00020,2024-03-29,0.71,+20%,2024-04-26,1.19,0.6761,1.0563,STRUCTURAL_BULLISH,F→,True,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
00020,2024-03-29,0.71,+50%,2024-04-26,1.19,0.6761,1.0563,STRUCTURAL_BULLISH,F→,True,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
00020,2024-03-29,0.71,+90%,2024-05-03,1.6,1.2535,1.0563,STRUCTURAL_BULLISH,F→,True,Deteriorating,False,Breakout,True,DAILY_NEUTRAL,False
00268,2024-07-26,5.98,+0%,2024-07-26,5.98,0.0,0.6555,STRUCTURAL_DECLINE,F↓,False,Deteriorating,False,Breakdown,False,DAILY_NEUTRAL,False
00268,2024-07-26,5.98,+20%,2024-09-27,8.11,0.3562,0.6555,STRUCTURAL_DECLINE,F↓,False,Stable,False,Consolidation,False,DAILY_BREAKOUT,True
00268,2024-07-26,5.98,+50%,2024-10-04,10.9,0.8227,0.6555,STRUCTURAL_DECLINE,F↓,False,Deteriorating,False,Breakout,True,DAILY_NEUTRAL,False
00268,2024-07-26,5.98,+90%,2025-02-07,12.38,1.0702,0.6555,STRUCTURAL_DECLINE,F→,False,Improving,True,Breakout,True,DAILY_BREAKOUT,True
00354,2024-08-09,3.41,+0%,2024-08-09,3.41,0.0,0.8123,STRUCTURAL_DECLINE,F↓,False,Deteriorating,False,Breakdown,False,DAILY_NEUTRAL,False
00354,2024-08-09,3.41,+20%,2024-09-27,4.67,0.3695,0.8123,STRUCTURAL_DECLINE,F↓,False,Stable,False,Consolidation,False,DAILY_NEUTRAL,False
00354,2024-08-09,3.41,+50%,2024-10-04,6.37,0.868,0.8123,STRUCTURAL_DECLINE,F↓,False,Stable,False,Breakout,True,DAILY_NEUTRAL,False
00354,2024-08-09,3.41,+90%,2025-08-29,6.5,0.9062,0.8123,STRUCTURAL_DECLINE,F↓,False,Stable,False,Consolidation,False,DAILY_PULLBACK,False
00371,2024-02-09,1.36,+0%,2024-02-09,1.36,0.0,0.5074,STRUCTURAL_BULLISH,F↓,True,Deteriorating,False,Pullback,False,DAILY_NEUTRAL,False
00371,2024-02-09,1.36,+20%,2024-05-10,1.83,0.3456,0.5074,STRUCTURAL_BULLISH,F→,True,Stable,False,Consolidation,False,DAILY_NEUTRAL,False
00371,2024-02-09,1.36,+50%,2024-05-17,2.05,0.5074,0.5074,STRUCTURAL_BULLISH,F↑,True,Stable,False,Consolidation,False,DAILY_NEUTRAL,False
00371,2024-02-09,1.36,+90%,2026-01-30,2.6,0.9118,0.5074,STRUCTURAL_BULLISH,F↑,True,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
00700,2024-04-05,296.8,+0%,2024-04-05,296.8,0.0,0.5761,STRUCTURAL_DECLINE,F↓,False,Stable,False,Consolidation,False,DAILY_NEUTRAL,False
00700,2024-04-05,296.8,+20%,2024-05-10,357.8,0.2055,0.5761,STRUCTURAL_DECLINE,F↓,False,Stable,False,Consolidation,False,DAILY_NEUTRAL,False
00700,2024-04-05,296.8,+50%,2024-10-04,467.8,0.5761,0.5761,STRUCTURAL_DECLINE,F→,False,Stable,False,Breakout,True,DAILY_NEUTRAL,False
00700,2024-04-05,296.8,+90%,2025-08-15,586.7,0.9768,0.5761,STRUCTURAL_DECLINE,F↑,False,Improving,True,Consolidation,False,DAILY_NEUTRAL,False
01093,2024-11-29,4.68,+0%,2024-11-29,4.68,0.0,0.6474,STRUCTURAL_BOTTOM_CANDIDATE,F↑,True,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
01093,2024-11-29,4.68,+20%,2025-04-25,5.72,0.2222,0.6474,STRUCTURAL_BOTTOM_CANDIDATE,F↑,True,Stable,False,Consolidation,False,DAILY_NEUTRAL,False
01093,2024-11-29,4.68,+50%,2025-05-30,7.71,0.6474,0.6474,STRUCTURAL_BOTTOM_CANDIDATE,F→,True,Deteriorating,False,Breakout,True,DAILY_BREAKOUT,True
01093,2024-11-29,4.68,+90%,2025-07-18,8.9,0.9017,0.6474,STRUCTURAL_BOTTOM_CANDIDATE,F→,True,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
01177,2024-04-05,2.62,+0%,2024-04-05,2.62,0.0,0.5305,STRUCTURAL_DECLINE,F→,False,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
01177,2024-04-05,2.62,+20%,2024-09-20,3.22,0.229,0.5305,STRUCTURAL_DECLINE,F↓,False,Improving,True,Consolidation,False,DAILY_NEUTRAL,False
01177,2024-04-05,2.62,+50%,2024-10-04,4.01,0.5305,0.5305,STRUCTURAL_DECLINE,F↓,False,Improving,True,Breakout,True,DAILY_NEUTRAL,False
01177,2024-04-05,2.62,+90%,2025-06-13,5.39,1.0573,0.5305,STRUCTURAL_DECLINE,F→,False,Stable,False,Breakout,True,DAILY_NEUTRAL,False
01177,2024-12-13,3.16,+0%,2024-12-13,3.16,0.0,0.7057,STRUCTURAL_DECLINE,F↑,False,Stable,False,Consolidation,False,DAILY_ACCUMULATION,True
01177,2024-12-13,3.16,+20%,2025-04-25,3.81,0.2057,0.7057,STRUCTURAL_DECLINE,F→,False,Stable,False,Consolidation,False,DAILY_NEUTRAL,False
01177,2024-12-13,3.16,+50%,2025-06-13,5.39,0.7057,0.7057,STRUCTURAL_DECLINE,F→,False,Stable,False,Breakout,True,DAILY_NEUTRAL,False
01177,2024-12-13,3.16,+90%,2025-07-18,6.8,1.1519,0.7057,STRUCTURAL_DECLINE,F→,False,Deteriorating,False,Breakout,True,DAILY_ACCUMULATION,True
01951,2024-04-05,2.26,+0%,2024-04-05,2.26,0.0,0.7257,STRUCTURAL_DECLINE,F→,False,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
01951,2024-04-05,2.26,+20%,2024-05-03,2.74,0.2124,0.7257,STRUCTURAL_DECLINE,F→,False,Stable,False,Consolidation,False,DAILY_NEUTRAL,False
01951,2024-04-05,2.26,+50%,2024-10-04,3.9,0.7257,0.7257,STRUCTURAL_DECLINE,F→,False,Stable,False,Breakout,True,DAILY_NEUTRAL,False
02202,2024-04-05,4.33,+0%,2024-04-05,4.33,0.0,1.5404,STRUCTURAL_DECLINE,F↓,False,Deteriorating,False,Breakdown,False,DAILY_NEUTRAL,False
02202,2024-04-05,4.33,+20%,2024-05-17,6.84,0.5797,1.5404,STRUCTURAL_DECLINE,F↓,False,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
02202,2024-04-05,4.33,+50%,2024-05-17,6.84,0.5797,1.5404,STRUCTURAL_DECLINE,F↓,False,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
02202,2024-04-05,4.33,+90%,2024-10-04,11.0,1.5404,1.5404,STRUCTURAL_DECLINE,F→,False,Stable,False,Breakout,True,DAILY_NEUTRAL,False
02602,2024-04-05,12.96,+0%,2024-04-05,12.96,0.0,0.8009,STRUCTURAL_DECLINE,F_UNKNOWN,False,Stable,False,Consolidation,False,DAILY_NEUTRAL,False
02602,2024-04-05,12.96,+20%,2024-05-03,18.75,0.4468,0.8009,STRUCTURAL_DECLINE,F_UNKNOWN,False,Improving,True,Consolidation,False,DAILY_NEUTRAL,False
02602,2024-04-05,12.96,+50%,2024-05-10,19.45,0.5008,0.8009,STRUCTURAL_DECLINE,F_UNKNOWN,False,Improving,True,Consolidation,False,DAILY_NEUTRAL,False
02602,2024-04-05,12.96,+90%,2025-09-12,25.18,0.9429,0.8009,STRUCTURAL_BOTTOM_CANDIDATE,F_UNKNOWN,True,Improving,True,Consolidation,False,DAILY_NEUTRAL,False
02611,2024-03-15,7.39,+0%,2024-03-15,7.39,0.0,0.5413,STRUCTURAL_ACCUMULATION,F↓,True,Improving,True,Consolidation,False,DAILY_NEUTRAL,False
02611,2024-03-15,7.39,+20%,2024-10-11,11.39,0.5413,0.5413,STRUCTURAL_ACCUMULATION,F↑,True,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
02611,2024-03-15,7.39,+50%,2024-10-11,11.39,0.5413,0.5413,STRUCTURAL_ACCUMULATION,F↑,True,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
02611,2024-03-15,7.39,+90%,2025-07-11,15.02,1.0325,0.5413,STRUCTURAL_ACCUMULATION,F↑,True,Stable,False,Breakout,True,DAILY_BREAKOUT,True
03033,2024-04-05,3.39,+0%,2024-04-05,3.39,0.0,0.5162,,,False,Stable,False,Consolidation,False,DAILY_NEUTRAL,False
03033,2024-04-05,3.39,+20%,2024-09-27,4.39,0.295,0.5162,,,False,Deteriorating,False,Breakout,True,DAILY_BREAKOUT,True
03033,2024-04-05,3.39,+50%,2024-10-04,5.14,0.5162,0.5162,,,False,Stable,False,Breakout,True,DAILY_NEUTRAL,False
03033,2024-04-05,3.39,+90%,2025-10-03,6.48,0.9115,0.5162,,,False,Stable,False,Consolidation,False,DAILY_NEUTRAL,False
06060,2024-11-29,12.6,+0%,2024-11-29,12.6,0.0,0.5286,STRUCTURAL_DECLINE,F→,False,Deteriorating,False,Consolidation,False,DAILY_NEUTRAL,False
06060,2024-11-29,12.6,+20%,2025-05-30,19.26,0.5286,0.5286,STRUCTURAL_DECLINE,F↑,False,Deteriorating,False,Breakout,True,DAILY_NEUTRAL,False
06060,2024-11-29,12.6,+50%,2025-05-30,19.26,0.5286,0.5286,STRUCTURAL_DECLINE,F↑,False,Deteriorating,False,Breakout,True,DAILY_NEUTRAL,False
