stock_code,data_type,rows,first_date,last_date,actual_periods,expected_periods,note
00020,daily_kline,1138,2021-12-30,2026-08-20,1138.0,1138.0,周期完整度 1138/1138
00020,daily_moneyflow,1133,2021-12-30,2026-08-20,1133.0,,
00020,institutional_holdings,19,,,,,
00020,monthly_kline,56,2021-12-31,2026-07-31,56.0,56.0,周期完整度 56/56
00020,monthly_moneyflow,58,2021-12-01,2026-07-31,58.0,,
00020,quarterly_kline,19,2021-12-31,2026-06-30,19.0,19.0,周期完整度 19/19
00020,quarterly_moneyflow,19,2021-12-31,2026-06-30,19.0,,
00020,weekly_kline,242,2021-12-31,2026-08-14,242.0,242.0,周期完整度 242/242
00020,weekly_moneyflow,241,2021-12-31,2026-08-14,241.0,,
00268,daily_kline,4091,2010-01-04,2026-08-20,4091.0,4092.0,周期完整度 4091/4092
00268,daily_moneyflow,1356,2021-02-03,2026-08-20,1356.0,,
00268,institutional_holdings,90,,,,,
00268,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00268,monthly_moneyflow,68,2021-02-01,2026-07-31,68.0,,
00268,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00268,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
00268,weekly_kline,867,2010-01-08,2026-08-14,867.0,867.0,周期完整度 867/867
00268,weekly_moneyflow,288,2021-02-05,2026-08-14,288.0,,
00354,daily_kline,4079,2010-01-04,2026-08-20,4079.0,4092.0,周期完整度 4079/4092
00354,daily_moneyflow,1356,2021-02-03,2026-08-20,1356.0,,
00354,institutional_holdings,87,,,,,
00354,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00354,monthly_moneyflow,68,2021-02-01,2026-07-31,68.0,,
00354,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00354,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
00354,weekly_kline,866,2010-01-08,2026-08-14,866.0,867.0,周期完整度 866/867
00354,weekly_moneyflow,288,2021-02-05,2026-08-14,288.0,,
00357,daily_kline,4063,2010-01-04,2026-08-20,4063.0,4092.0,周期完整度 4063/4092
00357,daily_moneyflow,1343,2021-02-03,2026-08-20,1343.0,,
00357,institutional_holdings,90,,,,,
00357,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00357,monthly_moneyflow,68,2021-02-01,2026-07-31,68.0,,
00357,quarterly_kline,66,2010-03-31,2026-06-30,66.0,66.0,周期完整度 66/66
00357,quarterly_moneyflow,22,2021-03-31,2026-06-30,22.0,,
00357,weekly_kline,863,2010-01-08,2026-08-14,863.0,867.0,周期完整度 863/867
00357,weekly_moneyflow,286,2021-02-05,2026-08-14,286.0,,
00371,daily_kline,4087,2010-01-04,2026-08-20,4087.0,4092.0,周期完整度 4087/4092
00371,daily_moneyflow,1357,2021-02-03,2026-08-20,1357.0,,
00371,institutional_holdings,82,,,,,
00371,monthly_kline,199,2010-01-31,2026-07-31,199.0,199.0,周期完整度 199/199
00371,monthly_moneyflow,68,2021-02-01,2026-07-31,68.0,,
