stock_code,week_end,decision_dt,available_date_dt,structural_regime,c_state,f_state,p_state,inst_ownership_pct_chg,q_inst_flow_z,q_return,month_end_dt,cbi_score,mtf_regime,fwd_4w,fwd_13w,fwd_26w
01177,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_ACCUMULATION,C→,F_UNKNOWN,P↓,0.46000000000000085,,-13.729729729729723,2020-12-31,19.333830699258307,BULLISH_STABLE,-0.0382436260623229,0.03682719546742219,0.0014164305949009304
02611,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_DECLINE,C→,F_UNKNOWN,P→,0.08200000000000074,,0.2781641168289273,2020-12-31,17.769516273757493,BEARISH_CONFIRMED,-0.002574002574002532,0.005148005148005064,-0.051480051480051414
00268,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_DIVERGENCE,C↓,F_UNKNOWN,P↑,-5.913999999999994,,10.987791342952269,2020-12-31,42.728549869598154,BULLISH_WARNING,-0.009493670886076,-0.20727848101265822,-0.19145569620253167
01093,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_DIVERGENCE,C↓,F_UNKNOWN,P↑,-0.5050000000000026,,3.3333333333333437,2020-12-31,16.068822152692942,BULLISH_WARNING,-0.0015105740181268201,0.22054380664652573,0.4833836858006042
03033,2021-01-01,2021-01-01,,,,,,,,,2020-12-31,,DATA_INSUFFICIENT,0.11961722488038284,0.014354066985646119,-0.06339712918660279
02202,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_DECLINE,C→,F_UNKNOWN,P→,0.16600000000001103,,1.3500000000000068,2020-12-31,26.359015584094927,BEARISH_CONFIRMED,0.047068891741548935,0.10269576379974321,-0.09841677364142065
06060,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_DIVERGENCE,C→,F_UNKNOWN,P→,0.2469999999999999,,-0.1303780964797996,2020-12-31,38.40020864863127,BULLISH_WARNING,0.3204419889502761,0.3591160220994476,0.16436464088397784
00371,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_DIVERGENCE,C→,F_UNKNOWN,P↑,0.4299999999999997,,2.9126213592232997,2020-12-31,67.60388237078814,BULLISH_WARNING,0.01785714285714257,-0.07589285714285732,-0.0357142857142857
03800,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_ACCUMULATION,C↑,F_UNKNOWN,P↑,1.8969999999999985,,62.5,2020-12-31,0.42263785194919634,BULLISH_STABLE,1.0,0.6379310344827587,0.9482758620689655
00354,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_DIVERGENCE,C↓,F_UNKNOWN,P↑,-2.5489999999999995,,34.51776649746192,2020-12-31,20.547266809203762,BULLISH_WARNING,0.09461077844311383,-0.026347305389221476,0.5293413173652695
01951,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_DECLINE,C↓,F_UNKNOWN,P↓,-3.1200000000000045,,-16.695652173913047,2020-12-31,22.627199661290398,BEARISH_CONFIRMED,-0.008962868117797673,0.12804097311139584,0.21895006402048667
00357,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_DIVERGENCE,C↓,F_UNKNOWN,P↑,-7.803999999999988,,300.5524861878453,2020-12-31,11.783261267245981,BULLISH_WARNING,0.0924574209245741,-0.17639902676399022,-0.3126520681265207
00700,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_DIVERGENCE,C→,F_UNKNOWN,P↑,-0.007000000000005002,,2.6959005985851547,2020-12-31,47.187406069620714,BULLISH_WARNING,0.2160652663913989,0.16549977061017684,0.022260786308419656
00788,2021-01-01,2021-01-01,2020-11-14,STRUCTURAL_DECLINE,C↓,F_UNKNOWN,P↓,-2.4000000000000057,,-2.638522427440626,2020-12-31,41.22561263680613,BEARISH_CONFIRMED,-0.02205071664829117,0.022050716648291058,-0.058434399117971436
00371,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_DIVERGENCE,C→,F_UNKNOWN,P↑,0.4299999999999997,,2.9126213592232997,2020-12-31,67.60388237078814,BULLISH_WARNING,-0.017316017316017285,-0.09090909090909094,-0.06926406926406936
03033,2021-01-08,2021-01-08,,,,,,,,,2020-12-31,,DATA_INSUFFICIENT,0.13387660069848661,-0.04074505238649584,-0.1431897555296856
00788,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_DECLINE,C↓,F_UNKNOWN,P↓,-2.4000000000000057,,-2.638522427440626,2020-12-31,41.22561263680613,BEARISH_CONFIRMED,0.07255139056831927,0.09673518742442577,0.03264812575574361
01951,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_DECLINE,C↓,F_UNKNOWN,P↓,-3.1200000000000045,,-16.695652173913047,2020-12-31,22.627199661290398,BEARISH_CONFIRMED,0.2813333333333332,0.17866666666666675,0.09333333333333327
02202,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_DECLINE,C→,F_UNKNOWN,P→,0.16600000000001103,,1.3500000000000068,2020-12-31,26.359015584094927,BEARISH_CONFIRMED,0.09141156462585043,0.0659013605442178,-0.10841836734693877
01177,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_ACCUMULATION,C→,F_UNKNOWN,P↓,0.46000000000000085,,-13.729729729729723,2020-12-31,19.333830699258307,BULLISH_STABLE,-0.018232819074333828,0.07433380084151486,-0.0813464235624124
00700,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_DIVERGENCE,C→,F_UNKNOWN,P↑,-0.007000000000005002,,2.6959005985851547,2020-12-31,47.187406069620714,BULLISH_WARNING,0.28942566175460627,0.08592508290328271,-0.05951376488825222
02611,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_DECLINE,C→,F_UNKNOWN,P→,0.08200000000000074,,0.2781641168289273,2020-12-31,17.769516273757493,BEARISH_CONFIRMED,-0.06083650190114065,-0.05323193916349811,-0.08111533586818753
00354,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_DIVERGENCE,C↓,F_UNKNOWN,P↑,-2.5489999999999995,,34.51776649746192,2020-12-31,20.547266809203762,BULLISH_WARNING,0.24550128534704352,0.05141388174807182,0.7930591259640101
06060,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_DIVERGENCE,C→,F_UNKNOWN,P→,0.2469999999999999,,-0.1303780964797996,2020-12-31,38.40020864863127,BULLISH_WARNING,0.29810298102981037,0.30758807588075876,0.12059620596205978
01093,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_DIVERGENCE,C↓,F_UNKNOWN,P↑,-0.5050000000000026,,3.3333333333333437,2020-12-31,16.068822152692942,BULLISH_WARNING,-0.0014619883040934978,0.19590643274853803,0.30701754385964897
00268,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_DIVERGENCE,C↓,F_UNKNOWN,P↑,-5.913999999999994,,10.987791342952269,2020-12-31,42.728549869598154,BULLISH_WARNING,0.22084805653710227,-0.12014134275618382,-0.12014134275618382
03800,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_ACCUMULATION,C↑,F_UNKNOWN,P↑,1.8969999999999985,,62.5,2020-12-31,0.42263785194919634,BULLISH_STABLE,1.2142857142857144,1.0071428571428571,0.6428571428571428
00357,2021-01-08,2021-01-08,2020-11-14,STRUCTURAL_DIVERGENCE,C↓,F_UNKNOWN,P↑,-7.803999999999988,,300.5524861878453,2020-12-31,11.783261267245981,BULLISH_WARNING,-0.04656319290465638,-0.2682926829268293,-0.4467849223946785
06060,2021-01-15,2021-01-15,2020-11-14,STRUCTURAL_DIVERGENCE,C→,F_UNKNOWN,P→,0.2469999999999999,,-0.1303780964797996,2020-12-31,38.40020864863127,BULLISH_WARNING,0.4566929133858266,0.22440944881889746,0.24146981627296582
01951,2021-01-15,2021-01-15,2020-11-14,STRUCTURAL_DECLINE,C↓,F_UNKNOWN,P↓,-3.1200000000000045,,-16.695652173913047,2020-12-31,22.627199661290398,BEARISH_CONFIRMED,0.4762258543833582,0.3447251114413077,0.19613670133729566
02611,2021-01-15,2021-01-15,2020-11-14,STRUCTURAL_DECLINE,C→,F_UNKNOWN,P→,0.08200000000000074,,0.2781641168289273,2020-12-31,17.769516273757493,BEARISH_CONFIRMED,-0.1281741233373639,-0.10157194679564685,-0.09794437726723093
