stock_code,stock_name,month_end,change_percent,turnover_rate,m_turnover_zscore,m_turnover_pctl,m_turnover_ma_ratio,turnover_liquidity_regime,m_volume_ma_ratio,m_volume_accel,vol_dir,turn_dir,m_vp_regime,cbi_score,cbi_state,cost_position,cost_vs_weekly_vwap,cost_vs_monthly_vwap,cost_vs_quarterly_vwap,monthly_behavior_state,m_vwap_deviation,m_turnover_efficiency,data_quality
01093,石药集团,2010-01-31,-47.3558,6.62,,,,,,,,,,,,,-0.8952904164504522,-0.9492245542096696,,,-0.9492245542096696,-7.153444108761329,C
01093,石药集团,2010-02-28,36.2445,3.61,,,,,,,,,,,,,-0.8563491832736112,-0.8994831717911669,,,-0.8994831717911669,10.040027700831025,C
01093,石药集团,2010-03-31,95.4955,7.76,,,1.2940522512506947,,1.2931505914443264,,↑,↑,VP_EXPANSION,,,,-0.7314072919283248,,-0.7138811749074622,Improving,,12.30612113402062,C
01093,石药集团,2010-04-30,74.3472,16.13,,,1.8909730363423212,,1.8934778037457234,1.4456000758045429,↑↑,↑↑,VP_OVERHEAT,,,,-0.6323192319596159,,-0.5011599593240701,Deteriorating,,4.6092498450093,C
01093,石药集团,2010-05-31,-37.582,10.43,,,1.1705948372615038,,1.1712881820652472,1.884243776833685,↑,↑,VP_SELLING_ACTIVE,,,,-0.7238288135672767,,-0.7072885752509521,Deteriorating,,-3.6032598274209016,C
01093,石药集团,2010-06-30,11.9816,3.97,-1.170265252364718,0.3333333333333333,0.49093157460840897,T2,0.489937322095437,-0.48847435198556044,↓,↓,VP_LOCKED_CANDIDATE,50.0,CBI_STABLE,,-0.7034255890947103,,-0.7365849334042447,Improving,,3.0180352644836272,C
01093,石药集团,2010-07-31,-23.2267,4.78,-0.774273514246011,0.42857142857142855,0.6143958868894601,T2,0.6160793187758322,-0.7030343413689906,↓,↓,VP_DECLINE_SILENT,50.0,CBI_STABLE,,-0.7574570196392318,,-0.8005416779686462,Deteriorating,,-4.8591422594142255,C
01093,石药集团,2010-08-31,-35.5476,7.81,0.04750687170572978,0.75,0.9209905660377358,T3,0.9208445938095492,-0.25151469502777424,→,→,VP_NEUTRAL,50.0,CBI_STABLE,COST_NEUTRAL,-0.8313911803866955,1.075748328965973,-0.8702798231716377,Stable,1.075748328965973,-4.551549295774649,C
01093,石药集团,2010-09-30,1.3928,8.96,0.3428101156757369,0.7777777777777778,1.0322580645161292,T3,1.0325536773472663,1.26441466019812,→,→,VP_NEUTRAL,50.0,CBI_STABLE,COST_DISADVANTAGE,-0.8318973736337163,-0.912432752335648,-0.8353910690157162,Stable,-0.912432752335648,0.15544642857142857,C
01093,石药集团,2010-10-31,39.7368,12.88,1.3929150848289868,0.9,1.5826336268687282,T4,1.5833454626838246,1.6892819446933456,↑↑,↑↑,VP_OVERHEAT,50.0,CBI_STABLE,COST_DISADVANTAGE,-0.7694022437342112,-0.8759588681361544,-0.7598699385916079,Deteriorating,-0.8759588681361544,3.0851552795031054,C
01093,石药集团,2010-11-30,-0.9506,7.99,-0.08044524319666842,0.6363636363636364,1.0334123733563267,T3,1.031536542092522,0.021549690320769033,→,→,VP_NEUTRAL,50.0,CBI_STABLE,COST_DISADVANTAGE,-0.7716646537638934,-0.8844109379557921,-0.764392161970297,Stable,-0.8844109379557921,-0.11897371714643304,C
01093,石药集团,2010-12-31,4.0777,4.77,-0.9671607435438122,0.25,0.6064844246662429,T2,0.6050892470182696,-0.4691700114953957,↓,↓,VP_LOCKED_CANDIDATE,50.0,CBI_STABLE,COST_DISADVANTAGE,-0.758375315785088,-0.8713142870667687,-0.7623516513919747,Improving,-0.8713142870667687,0.8548637316561846,C
01093,石药集团,2011-01-31,0.0,3.67,-1.1874393894209312,0.16666666666666666,0.4778645833333333,T2,0.4769593002291394,-0.7159534869425184,↓,↓,VP_SHRINK,50.0,CBI_STABLE,COST_DISADVANTAGE,-0.7727102933058791,-0.8837085626841098,-0.7690022581627216,Stable,-0.8837085626841098,0.0,C
01093,石药集团,2011-02-28,60.7767,4.6,-0.9412166410135154,0.25,0.6438068579426172,T2,0.6472939239949242,-0.42002201205115275,↓,↓,VP_LOCKED_CANDIDATE,50.0,CBI_STABLE,COST_DISADVANTAGE,-0.6705324350136675,-0.8178765281753828,-0.6328865062547668,Improving,-0.8178765281753828,13.212326086956523,C
01093,石药集团,2011-03-31,-18.2367,6.73,-0.28179534544699836,0.5,0.9936023622047244,T3,0.9945026463235902,0.41574744381150164,→,→,VP_NEUTRAL,50.0,CBI_STABLE,COST_DISADVANTAGE,-0.7121184228154045,-0.9989387151559438,-0.7199289967220407,Stable,-0.9989387151559438,-2.7097622585438335,C
01093,石药集团,2011-04-30,-2.276,4.89,-0.7336296198626081,0.5,0.8986217457886677,T2,0.9003893102304482,0.33863046369458716,→,↓,VP_NEUTRAL,50.0,CBI_STABLE,COST_DISADVANTAGE,-0.7164271984059067,-0.8476049986652174,-0.7157920542807119,Stable,-0.8476049986652174,-0.465439672801636,C
01093,石药集团,2011-05-31,-41.1444,3.95,-0.94656707119819,0.16666666666666666,0.8283816847256205,T2,0.8267076583050863,-0.14720985131318087,↓,↓,VP_DECLINE_SILENT,50.0,CBI_STABLE,COST_DISADVANTAGE,-0.7899701571535811,-0.5852300033876757,-0.8212840865345962,Deteriorating,-0.5852300033876757,-10.416303797468354,C
01093,石药集团,2011-06-30,-15.7407,4.87,-0.5984198399111751,0.5,1.0177638453500522,T2,1.012670875288685,-0.2806245955270019,→,→,VP_NEUTRAL,50.0,CBI_STABLE,,-0.8025838011949732,,-0.8319288085599105,Stable,,-3.23217659137577,C
01093,石药集团,2011-07-31,-35.5263,2.69,-1.426105694286487,0.08333333333333333,0.582041110710422,T2,0.5804103460146822,-0.4525046677098711,↓,↓,VP_DECLINE_SILENT,50.0,CBI_STABLE,,-0.8674923721094557,,-0.8868751596076321,Deteriorating,,-13.206802973977695,C
01093,石药集团,2011-08-31,-157.551,3.64,-0.8384047322953834,0.16666666666666666,0.8158386253268584,T2,0.8115482643405959,-0.08350135372750556,↓,↓,VP_DECLINE_SILENT,50.0,CBI_STABLE,,-1.0889511068155993,,-1.0651044999809138,Deteriorating,,-43.28324175824175,C
